year,lgid,tmid,franchid,confid,divid,rank,playoff,g,w,l,t,otl,pts,sow,sol,gf,ga,name,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1972,NHL,TOR,TOR,,ED,6,,78,27,41,10.0,,64,,,247,279,Toronto Maple Leafs,716,2,44,274,8,51,239,3
2011,NHL,BOS,BOS,EC,NE,1,CQF,82,49,29,,4,102,9,3,269,202,Boston Bruins,1101,8,43,250,1,43,260,8
1985,NHL,STL,STL,CC,NO,3,CF,80,37,34,9.0,,83,,,302,291,St. Louis Blues,1478,10,78,362,14,74,324,9
1999,NHL,TOR,TOR,EC,NE,1,CSF,82,45,27,7.0,3,100,,,246,222,Toronto Maple Leafs,1103,12,57,321,5,58,330,11
1933,NHL,NYA,BKN,,CA,4,,48,15,23,10.0,,40,,,104,132,New York Americans,374,,,,,,,
1943,NHL,BOS,BOS,,,5,,50,19,26,5.0,,43,,,223,268,Boston Bruins,225,,,,,,,
2001,NHL,NJD,NJD,EC,AT,3,CQF,82,41,28,9.0,4,95,,,205,187,New Jersey Devils,1010,18,44,261,8,43,264,2
1915,PCHA,VML,VMR,,,2,,18,9,9,0.0,,18,,,75,69,Vancouver Millionaires,,,,,,,,
2006,NHL,EDM,EDM,WC,NW,5,,82,32,43,,7,71,3,3,195,248,Edmonton Oilers,1285,22,53,373,4,59,382,6
1910,NHA,OT1,STE,,,1,,16,13,3,0.0,,26,,,122,69,Ottawa Senators,,,,,,,,
2000,NHL,COL,COL,WC,NW,1,SC,82,52,16,10.0,4,118,,,270,192,Colorado Avalanche,1138,16,80,363,11,59,342,11
1947,NHL,NYR,NYR,,,4,SF,60,21,26,13.0,,55,,,176,201,New York Rangers,482,,,,,,,
1984,NHL,CHI,CHI,CC,NO,2,CF,80,38,35,7.0,,83,,,309,299,Chicago Black Hawks,1432,20,62,285,5,77,334,10
1975,WHA,QUN,COL,,CW,2,AVQF,81,50,27,4.0,,104,,,371,316,Quebec Nordiques,1654,,77,249,10,69,305,5
1970,NHL,BOS,BOS,,ED,1,QF,78,57,14,7.0,,121,,,399,207,Boston Bruins,1156,8,80,289,4,53,336,25
2002,NHL,CBS,CBS,WC,CE,5,,82,29,42,8.0,3,69,,,213,263,Columbus Blue Jackets,1505,28,71,410,9,60,409,12
2007,NHL,DAL,DAL,WC,PC,3,CF,82,45,30,,7,97,5,3,242,207,Dallas Stars,1178,16,64,354,8,51,354,13
