playerid,year,ppa,sha
mckegto01,1990,7,
broteaa01,1989,3,
bullami01,1988,13,
maclebr01,1988,8,
broteaa01,1990,1,
skrikpe01,1990,5,
poulida02,1989,1,1
johanca01,1988,7,
kontoch01,1987,6,
sheehne01,1987,1,
ruffli01,1988,1,
fentopa01,1990,2,
petitmi01,1990,16,
courtge01,1987,7,
pavesji01,1987,1,
jonssto01,1988,24,
duguaro01,1987,2,
malondo01,1988,2,
ledyagr01,1987,5,
hunteda01,1988,,1
petitmi01,1987,9,1
konrost01,1988,1,1
laughcr01,1987,3,
samueul01,1990,,2
kurveto01,1990,15,
grahadi01,1987,7,1
courtru01,1988,2,
hardyma01,1988,5,
libaig01,1988,6,
carsoli01,1987,1,1
ramagro01,1987,19,2
lemiejo01,1989,1,1
huntema01,1990,4,
rousebo01,1988,,1
dineego01,1988,2,
simpscr01,1987,10,1
pederma01,1990,7,
nichobe01,1989,37,1
norwole01,1990,3,
hardyma01,1987,10,1
klimape01,1989,11,
frycemi01,1988,3,
brownje02,1989,24,
bassebo01,1988,,1
hrdinji01,1990,4,
mckegto01,1989,3,
zezelpe01,1988,17,
loisecl01,1990,1,1
josepch01,1987,6,
ledyagr01,1988,6,
mcbeawa01,1988,1,
larsore01,1988,14,
murphla01,1990,19,
frasecu01,1987,2,
gartnmi01,1988,9,
halwado01,1988,1,
brownro01,1990,10,
creigad01,1988,7,
joycebo01,1989,3,
wellsja01,1989,3,2
mcdonhu01,1989,1,
kennede01,1988,,2
robergo01,1987,3,
vaiveri01,1988,15,
ferrara01,1990,5,
linseke01,1989,8,
cullejo01,1990,29,
stastpe01,1989,23,
carpebo01,1988,4,
ciccadi01,1988,10,1
adamsgr01,1988,1,
cyrpa01,1987,1,
carsoji01,1989,5,
macdepa01,1989,2,
macivno01,1988,19,
crossdo01,1990,21,
quinnda01,1989,15,1
franclo01,1990,1,1
smaildo01,1990,1,1
proppbr01,1989,9,
tuckejo01,1990,1,
cunnera01,1989,4,
nylunga01,1988,1,
allismi01,1987,5,
wilsoca01,1988,19,
playfla01,1988,,1
tantito01,1989,9,
bodgedo01,1988,25,1
archida01,1989,4,
makelmi01,1989,1,
lawtobr01,1988,4,
charbjo01,1988,1,
ruotsre01,1989,9,
erickbr01,1987,6,
chrisda01,1989,7,
bennibr01,1989,5,
tantito01,1990,5,
pederba01,1989,7,1
sanipev01,1989,2,
hullbr01,1987,10,
wilsoca01,1990,4,
foligmi01,1990,1,
wilsoca01,1987,9,3
gingrga01,1987,9,
iafraal01,1990,11,1
