constructorresultsid,raceid,constructorid,points,status
5231,433,32,8.0,
11360,676,191,0.0,
3693,329,34,0.0,
3826,1,4,4.0,
4067,360,22,2.0,
14598,880,9,23.0,
5640,460,53,0.0,
12569,576,66,0.0,
11190,682,167,3.0,
15010,918,6,6.0,
13567,537,25,2.0,
4111,362,22,0.0,
3087,294,35,0.0,
1150,128,19,0.0,
13130,575,59,0.0,
12106,625,32,6.0,
11554,661,180,3.0,
13012,567,27,0.0,
133,30,10,0.0,
14361,860,5,2.0,
1399,151,22,0.0,
3339,310,18,0.0,
12926,562,25,4.0,
3653,327,39,0.0,
15432,968,3,2.0,
2230,227,17,3.0,
6252,498,1,1.0,
576,71,15,0.0,
2687,265,29,5.0,
5347,441,53,3.0,
13999,345,4,10.0,
3361,311,25,0.0,
809,95,16,8.0,
1022,116,16,2.0,
13298,554,58,9.0,
2789,272,29,0.0,
14374,861,5,4.0,
11830,654,198,0.0,
10010,747,101,0.0,
10380,735,172,0.0,
3485,318,34,0.0,
12310,616,37,0.0,
13389,527,32,9.0,
1351,147,22,0.0,
3151,298,18,0.0,
743,88,6,2.0,
5134,426,25,0.0,
13392,527,1,3.0,
1844,192,3,2.0,
1912,198,24,0.0,
9657,773,32,0.0,
14886,907,131,43.0,
4674,393,18,0.0,
396,55,7,6.0,
14707,891,6,24.0,
6283,500,56,0.0,
1382,150,17,2.0,
1226,135,21,0.0,
2748,269,18,0.0,
583,72,1,5.0,
1747,183,20,0.0,
13153,544,34,0.0,
11834,655,82,2.0,
4211,367,35,0.0,
11894,637,34,0.0,
10355,732,176,0.0,
4752,398,34,0.0,
