raceid,driverid,lap,position,time,milliseconds
88,18,34,2,1:34.101,94101
7,2,36,12,1:28.894,88894
212,44,11,13,1:28.264,88264
1,8,26,5,1:31.718,91718
161,15,8,10,1:30.446,90446
936,3,63,2,1:27.179,87179
931,154,48,10,1:22.233,82233
86,27,29,15,2:04.094,124094
979,839,37,13,1:22.471,82471
125,63,25,6,1:50.042,110042
888,807,28,6,2:20.969,140969
964,8,21,6,1:37.633,97633
961,20,44,3,1:26.444,86444
938,833,46,18,1:31.769,91769
156,49,72,10,1:16.413,76413
192,55,2,10,1:23.987,83987
897,3,53,3,1:44.986,104986
34,10,18,11,1:39.694,99694
47,22,40,17,1:30.223,90223
12,22,8,12,1:50.191,110191
46,16,7,20,1:26.082,86082
26,10,5,9,1:38.283,98283
851,67,1,14,2:06.089,126089
129,49,39,13,1:13.515,73515
128,13,59,6,1:23.136,83136
900,815,48,11,1:34.686,94686
93,30,24,1,1:21.211,81211
227,35,45,1,1:22.090,82090
193,73,46,18,1:36.837,96837
99,15,49,3,1:17.307,77307
867,813,16,12,1:45.444,105444
951,828,43,14,1:42.086,102086
168,25,29,12,1:48.899,108899
124,8,50,3,1:30.259,90259
967,831,51,7,2:12.416,132416
110,15,43,6,1:25.036,85036
226,44,49,9,1:32.413,92413
57,27,41,15,1:37.778,97778
874,13,45,2,1:37.273,97273
204,71,36,6,1:29.284,89284
959,830,19,2,1:20.813,80813
142,4,49,13,1:45.689,105689
82,30,51,4,1:18.606,78606
166,15,25,6,1:21.118,81118
232,65,23,13,1:22.769,82769
199,64,18,11,1:51.656,111656
208,21,48,10,1:20.255,80255
868,20,1,5,1:46.371,106371
174,50,38,8,1:43.058,103058
186,70,15,6,1:57.584,117584
127,2,13,9,1:27.683,87683
115,2,31,12,1:18.752,78752
930,815,58,13,1:33.055,93055
847,808,61,5,1:25.426,85426
205,75,39,15,1:27.544,87544
46,20,6,18,1:25.224,85224
73,22,8,10,1:34.702,94702
90,4,3,3,1:25.638,85638
940,817,4,19,1:40.787,100787
85,8,13,11,1:23.725,83725
73,13,10,12,1:34.332,94332
147,22,50,2,1:20.637,80637
184,48,18,13,1:50.838,110838
909,822,13,2,1:23.604,83604
59,2,74,7,1:18.114,78114
35,6,51,15,1:21.035,81035
145,44,23,7,1:23.330,83330
205,71,26,6,1:23.922,83922
202,56,6,4,1:21.520,81520
33,4,57,1,1:20.066,80066
844,808,45,6,1:32.458,92458
979,807,57,12,1:22.508,82508
48,4,5,1,2:15.342,135342
939,828,58,12,1:54.567,114567
847,2,55,6,1:25.135,85135
863,17,47,4,1:37.509,97509
151,35,58,8,1:26.009,86009
844,1,51,4,1:31.001,91001
48,23,51,15,1:25.530,85530
926,807,44,7,1:51.359,111359
165,56,43,17,1:40.178,100178
221,63,13,16,1:23.254,83254
350,808,24,13,1:27.842,87842
202,15,9,15,1:24.477,84477
976,825,41,7,1:46.557,106557
341,807,4,13,1:30.219,90219
