playerid,usefirst,firstname,middlename,lastname,namegiven,fullgivenname,namesuffix,namenick,pos,firstseason,lastseason,height,weight,college,collegeother,birthdate,birthcity,birthstate,birthcountry,highschool,hscity,hsstate,hscountry,deathdate,race
abdulka01,Kareem,Kareem,,Abdul-Jabbar,,"Ferdinand Lewis Alcindor, Jr.",,"Lew, Cap",C,0,0,85.0,225,UCLA,,1947-04-16,New York,NY,USA,Power Memorial,New York,NY,USA,0000-00-00,B
abdursh01,Shareef,Julius,Shareef,Abdur-Rahim,,,,"Shareef, Reef",F,0,0,81.0,225,California,,1976-12-11,Marietta,GA,USA,Wheeler,Marietta,GA,USA,0000-00-00,B
adamsal01,Alvan,Alvan,Leigh,Adams,,,,"Double A, The Oklahoma Kid",C-F,0,0,81.0,210,Oklahoma,,1954-07-19,Lawrence,KS,USA,Putnam City,Putnam City,OK,USA,0000-00-00,W
adamsmi01,Michael,Michael,,Adams,,,,,G,0,0,70.0,162,Boston College,,1963-01-19,Hartford,CT,USA,Hartford Public,Hartford,CT,USA,0000-00-00,B
aguirma01,Mark,Mark,Anthony,Aguirre,,,,,F-G,0,0,78.0,232,DePaul,,1959-12-10,Chicago,IL,USA,Austin / Westinghouse Voc.,Chicago,IL,USA,0000-00-00,B
aingeda01,Danny,Daniel,Ray,Ainge,,,,Danny,G-F,0,0,76.0,175,Brigham Young,,1959-03-17,Eugene,OR,USA,North Eugene,North Eugene,OR,USA,0000-00-00,W
allenra02,Ray,Walter,Ray,Allen,,,,Ray,G,0,0,77.0,205,Connecticut,,1975-07-20,Merced,CA,USA,Hillcrest,Dalzell,SC,USA,0000-00-00,B
anderke01,Kenny,Kenneth,,Anderson,,,,Kenny,G,0,0,72.0,168,Georgia Tech,,1970-10-09,Corona,NY,USA,Archbishop Molloy,Briarwood,NY,USA,0000-00-00,B
anthoca01,Carmelo,Carmelo,Kyam,Anthony,,,,Melo,F,0,0,80.0,220,Syracuse,,1984-05-29,Brooklyn,NY,USA,Towson Catholic / Oak Hill Academy,Towson / Mouth of Wilson,MD / VA,USA,0000-00-00,B
archina01,Nate,Nathaniel,,Archibald,,,,"Nate, Tiny",G,0,0,73.0,150,UTEP,Arizona Western JC,1948-09-02,New York,NY,USA,DeWitt Clinton,Bronx,NY,USA,0000-00-00,B
arenagi01,Gilbert,Gilbert,Jay,Arenas,,,,Agent Zero,G,0,0,75.0,191,Arizona ,,1982-01-06,Tampa,FL,USA,Grant,Van Nuys,CA,USA,0000-00-00,B
arizipa01,Paul,Paul,Joseph,Arizin,,,,Pitchin' Paul,F-G,0,0,74.0,190,Villanova,,1928-04-09,Philadelphia,PA,USA,LaSalle (DNP),Philadelphia,PA,USA,2006-12-12,W
armstbj01,B.J.,Benjamin,Roy,Armstrong,,,Jr.,"B.J., The Kid",G,0,0,74.0,175,Iowa,,1967-09-09,Detroit,MI,USA,Brother Rice,Birmingham,MI,USA,0000-00-00,B
artesro01,Metta,Metta,,World Peace,,Ronald William Artest,,Ron,G-F,0,0,78.0,244,St. John's (NY),,1979-11-13,Queensbridge,NY,USA,LaSalle Academy,New York,NY,USA,0000-00-00,B
bakervi01,Vin,Vincent,Lamont,Baker,,,,Vin,F,0,0,82.5,232,Hartford,,1971-11-23,Lake Wales,FL,USA,Old Saybrook,Old Saybrook,CT,USA,0000-00-00,B
barklch01,Charles,Charles,Wade,Barkley,,,,"Sir Charles, Chuck, The Chuckster",F,0,0,77.0,250,Auburn,,1963-02-20,Leeds,AL,USA,Leeds,Leeds,AL,USA,0000-00-00,B
barksdo01,Don,Donald,Argee,Barksdale,,,,,F-C,0,0,78.0,200,UCLA,Marin JC,1923-03-31,Oakland,CA,USA,Berkeley,Berkeley,CA,USA,1993-03-08,B
barnedi01,Dick,Richard,,Barnett,,,,"Dick, Skull, Fall Back Baby",G-F,0,0,76.0,190,Tennessee State,,1936-10-02,Gary,IN,USA,Roosevelt,Gary,IN,USA,0000-00-00,B
barnema01,Marvin,Marvin,Jerome,Barnes,,,,"Good News, The Magnificent",F-C,0,0,80.0,210,Providence,,1952-07-27,Providence,RI,USA,Central,Providence,RI,USA,0000-00-00,B
barnhle01,Leo,Leo,A.,Barnhorst,,,,Barney,F-G,0,0,76.0,190,Notre Dame,,1924-05-17,Beech Grove,IN,USA,Cathedral,Indianapolis,IN,USA,2000-08-25,W
barroda01,Dana,Dana,Bruce,Barros,,,,,G,0,0,71.0,163,Boston College,,1967-04-13,Boston,MA,USA,Xaverian,Westwood,MA,USA,0000-00-00,B
barryri01,Rick,Richard,Francis  Dennis,Barry,,,III,Rick,F,0,0,79.0,205,Miami (FL),,1944-03-28,Elizabeth,NJ,USA,Roselle Park,Roselle Park,NJ,USA,0000-00-00,W
bayloel01,Elgin,Elgin,Gay,Baylor,,,,Rabbit,F,0,0,77.0,225,Seattle,College of Idaho,1934-09-16,Washington,DC,USA,Spingarn / Phelps Vocational,Washington,DC,USA,0000-00-00,B
beardbu01,Butch,Alfred,,Beard,,,Jr.,Butch,G,0,0,75.0,185,Louisville,,1947-05-04,Hardinsburg,KY,USA,Breckenridge County,Hardinsburg,KY,USA,0000-00-00,B
