id,year,round,series,tmidwinner,lgidwinner,tmidloser,lgidloser,w,l
2,1946,QF,M,NYK,NBA,CLR,NBA,2,1
6,1947,F,O,BLB,NBA,PHW,NBA,4,2
8,1947,QF,M,CHS,NBA,BOS,NBA,2,1
17,1948,DF,K,MNL,NBA,ROC,NBA,2,0
29,1949,SF,N,MNL,NBA,AND,NBA,2,0
48,1952,DSF,J,BOS,NBA,SYR,NBA,2,0
50,1952,F,O,MNL,NBA,NYK,NBA,4,1
56,1953,RR,I,BOS,NBA,,NBA,2,2
68,1955,DF,K,PHW,NBA,SYR,NBA,3,2
69,1955,DSF,J,SYR,NBA,BOS,NBA,2,1
74,1955,DSF,J,STL,NBA,MNL,NBA,2,1
83,1957,DSF,J,PHW,NBA,SYR,NBA,2,1
87,1958,DF,K,BOS,NBA,SYR,NBA,4,3
111,1962,DSF,J,STL,NBA,DET,NBA,3,1
117,1964,DF,K,BOS,NBA,PHI,NBA,4,3
120,1964,DF,K,LAL,NBA,BAL,NBA,4,2
121,1964,DSF,J,BAL,NBA,STL,NBA,3,1
134,1967,DF,K,BOS,NBA,PHI,NBA,4,3
135,1967,DSF,J,BOS,NBA,DET,NBA,4,2
139,1967,DSF,J,LAL,NBA,CHI,NBA,4,1
144,1968,F,O,BOS,NBA,LAL,NBA,4,3
167,1971,CSF,M,LAL,NBA,CHI,NBA,4,0
178,1973,CSF,M,NYK,NBA,CAP,NBA,4,3
187,1974,F,O,GSW,NBA,WSB,NBA,4,0
191,1974,CSF,M,GSW,NBA,SEA,NBA,4,2
198,1975,CFR,L,DET,NBA,MIL,NBA,2,1
213,1977,CFR,L,NYK,NBA,CLE,NBA,2,0
220,1977,CFR,L,SEA,NBA,LAL,NBA,2,1
241,1979,CFR,L,PHO,NBA,KCK,NBA,2,1
242,1979,CFR,L,SEA,NBA,POR,NBA,2,1
250,1980,CF,N,HOU,NBA,KCK,NBA,4,1
252,1980,CFR,L,KCK,NBA,POR,NBA,2,1
255,1981,CF,N,PHI,NBA,BOS,NBA,4,3
274,1982,CFR,L,DEN,NBA,PHO,NBA,2,1
276,1982,CSF,M,SAS,NBA,DEN,NBA,4,1
281,1983,CFR,L,NYK,NBA,DET,NBA,3,2
286,1983,CFR,L,LAL,NBA,KCK,NBA,3,0
305,1984,CSF,M,DEN,NBA,UTA,NBA,4,1
324,1986,CFR,L,DET,NBA,WSB,NBA,3,0
342,1987,CSF,M,BOS,NBA,ATL,NBA,4,3
356,1988,CSF,M,DET,NBA,MIL,NBA,4,0
357,1988,CSF,M,CHI,NBA,NYK,NBA,4,2
392,1990,CFR,L,POR,NBA,SEA,NBA,3,2
393,1990,CSF,M,LAL,NBA,GSW,NBA,4,1
398,1991,CFR,L,CLE,NBA,NJN,NBA,3,1
399,1991,CFR,L,NYK,NBA,DET,NBA,3,2
418,1992,CF,N,PHO,NBA,SEA,NBA,4,3
432,1993,F,O,HOU,NBA,NYK,NBA,4,3
438,1993,CSF,M,HOU,NBA,PHO,NBA,4,3
451,1994,CFR,L,LAL,NBA,SEA,NBA,3,1
455,1995,CF,N,CHI,NBA,ORL,NBA,4,0
459,1995,CFR,L,ATL,NBA,IND,NBA,3,2
473,1996,CFR,L,ATL,NBA,DET,NBA,3,2
480,1996,CFR,L,UTA,NBA,LAC,NBA,3,0
492,1997,F,O,CHI,NBA,UTA,NBA,4,2
507,1998,F,O,SAS,NBA,NYK,NBA,4,1
513,1998,CSF,M,SAS,NBA,LAL,NBA,4,0
544,2000,CSF,M,SAS,NBA,DAL,NBA,4,1
547,2001,CFR,L,BOS,NBA,PHI,NBA,3,2
551,2001,CSF,M,NJN,NBA,CHH,NBA,4,1
553,2001,CF,N,LAL,NBA,SAC,NBA,4,3
555,2001,CFR,L,LAL,NBA,POR,NBA,3,0
557,2001,CFR,L,SAS,NBA,SEA,NBA,3,2
577,2003,CFR,L,NJN,NBA,NYK,NBA,4,0
585,2003,CFR,L,LAL,NBA,HOU,NBA,4,1
590,2004,CF,N,DET,NBA,MIA,NBA,4,3
591,2004,CFR,L,MIA,NBA,NJN,NBA,4,0
594,2004,CFR,L,IND,NBA,BOS,NBA,4,3
602,2004,CFR,L,DAL,NBA,HOU,NBA,4,3
605,2005,CF,N,MIA,NBA,DET,NBA,4,2
608,2005,CFR,L,MIA,NBA,CHI,NBA,4,2
615,2005,CFR,L,LAC,NBA,DEN,NBA,4,1
623,2006,CFR,L,DET,NBA,ORL,NBA,4,0
632,2006,CFR,L,UTA,NBA,HOU,NBA,4,3
633,2006,CSF,M,UTA,NBA,GSW,NBA,4,1
654,2008,CFR,L,BOS,NBA,CHI,NBA,4,3
667,2009,CFR,L,BOS,NBA,MIA,NBA,4,1
701,2011,CSF,M,BOS,NBA,PHI,NBA,4,3
705,2011,CFR,L,SAS,NBA,UTA,NBA,4,0
707,2011,CFR,L,LAL,NBA,DEN,NBA,4,3
710,1980,F,O,BOS,NBA,HOU,NBA,4,2
713,1967,F,D,PTP,ABA,NOB,ABA,4,3
724,1968,DSF,B,MMF,ABA,MNP,ABA,4,3
748,1971,DSF,B,UTS,ABA,DLC,ABA,4,0
753,1972,DSF,B,KEN,ABA,VIR,ABA,4,1
772,1975,F,D,NYA,ABA,DNA,ABA,4,2
775,1975,FR,B,KEN,ABA,INA,ABA,2,1
