coachid,year,tmid,lgid,stint,won,lost,post_wins,post_losses
ramsaja01,1978,POR,NBA,1,45.0,37.0,1.0,2.0
belmojo01,1970,DNR,ABA,1,3.0,10.0,0.0,0.0
jordaed01,2004,WAS,NBA,1,45.0,37.0,4.0,6.0
osheake01,1961,SFS,ABL1,2,,,,
skilesc01,2008,MIL,NBA,1,34.0,48.0,0.0,0.0
vanbrbu01,1969,DET,NBA,1,31.0,51.0,0.0,0.0
mcmilna01,2007,POR,NBA,1,41.0,41.0,0.0,0.0
skilesc01,2005,CHI,NBA,1,41.0,41.0,2.0,4.0
mottadi01,1973,CHI,NBA,1,54.0,28.0,4.0,7.0
woodsmi01,2004,ATL,NBA,1,13.0,69.0,0.0,0.0
mottadi01,1995,DAL,NBA,1,26.0,56.0,0.0,0.0
jacksph01,2008,LAL,NBA,1,65.0,17.0,16.0,7.0
cowenda01,1998,CHH,NBA,1,4.0,11.0,0.0,0.0
macaued01,1959,STL,NBA,1,46.0,29.0,7.0,7.0
brownhu01,2003,MEM,NBA,1,50.0,32.0,0.0,4.0
nelsodo01,1992,GSW,NBA,1,34.0,48.0,0.0,0.0
pfundra01,1993,LAL,NBA,1,27.0,37.0,0.0,0.0
musseer01,2003,GSW,NBA,1,37.0,45.0,0.0,0.0
isselda01,1993,DEN,NBA,1,42.0,40.0,6.0,6.0
russejo01,1947,BOS,NBA,1,20.0,28.0,1.0,2.0
wolfch01,1963,DET,NBA,1,23.0,57.0,0.0,0.0
zasloma01,1968,NYA,ABA,1,17.0,61.0,0.0,0.0
collido01,1987,CHI,NBA,1,50.0,32.0,4.0,6.0
fratemi01,1984,ATL,NBA,1,34.0,48.0,0.0,0.0
cheekma01,2002,POR,NBA,1,50.0,32.0,3.0,4.0
gentral01,1998,DET,NBA,1,29.0,21.0,2.0,3.0
dardeji01,1949,DNN,NBA,1,11.0,51.0,0.0,0.0
maclejo01,1986,PHO,NBA,1,22.0,34.0,0.0,0.0
fratemi01,1995,CLE,NBA,1,47.0,35.0,0.0,3.0
wanzebo01,1956,ROC,NBA,1,31.0,41.0,0.0,0.0
collido01,1996,DET,NBA,1,54.0,28.0,2.0,3.0
chanedo01,1990,HOU,NBA,1,52.0,30.0,0.0,3.0
heinsto01,1972,BOS,NBA,1,68.0,14.0,7.0,6.0
russejo01,1946,BOS,NBA,1,22.0,38.0,0.0,0.0
silaspa01,1998,CHH,NBA,2,22.0,13.0,0.0,0.0
corbity01,2011,UTA,NBA,1,36.0,30.0,0.0,4.0
seymopa01,1960,STL,NBA,1,51.0,28.0,5.0,7.0
frankla01,2004,NJN,NBA,1,42.0,40.0,0.0,4.0
pollaji01,1968,MMF,ABA,1,43.0,35.0,5.0,7.0
auerbre01,1952,BOS,NBA,1,46.0,25.0,3.0,3.0
adelmri01,1993,POR,NBA,1,47.0,35.0,1.0,3.0
vanbrbu01,1967,LAL,NBA,1,52.0,30.0,10.0,5.0
obrieji03,2002,BOS,NBA,1,44.0,38.0,4.0,6.0
silaspa01,1999,CHH,NBA,1,49.0,33.0,1.0,3.0
beatyze01,1975,VIR,ABA,5,9.0,33.0,0.0,0.0
nelsodo01,2004,DAL,NBA,1,42.0,22.0,0.0,0.0
harride01,1994,LAL,NBA,1,48.0,34.0,5.0,5.0
skilesc01,2011,MIL,NBA,1,31.0,35.0,0.0,0.0
heinsto01,1969,BOS,NBA,1,34.0,48.0,0.0,0.0
chanedo01,1989,HOU,NBA,1,41.0,41.0,1.0,3.0
westppa01,1993,PHO,NBA,1,56.0,26.0,6.0,4.0
