id,draftyear,draftround,draftselection,draftoverall,tmid,firstname,lastname,suffixname,playerid,draftfrom,lgid
171,1968,0,0,0,HSM,Warren,Chapman,,,Duke,ABA
234,1968,0,0,0,MMF,Jerry,Waugh,,,Northern Iowa,ABA
297,1969,0,0,0,CAR,LC,Bowen,,,Bradley,ABA
448,1970,0,0,0,DNR,Ken,Warzyski,,,DePaul,ABA
494,1970,0,0,0,MMP,George,Johnson,,johnsge01,Dillard,ABA
550,1970,0,0,0,UTS,Rudy,Tomjanovich,,tomjaru01,Michigan,ABA
658,1971,0,0,0,INA,Clarence,Glover,,glovecl01,Western Kentucky,ABA
952,1972,0,0,0,UTS,Dwight,Holliday,,,Hawaii,ABA
1036,1973,1,0,0,SDA,Larry,Moore,,moorela01,Texas,ABA
1143,1973,6,0,0,UTS,Lee,Colburn,,,South Dakota State,ABA
1442,1975,8,0,0,SSL,Ted,Hathaway,,,Cleveland State,ABA
1561,1948,0,0,0,INJ,Reede,Berg,,,Oregon,NBA
1563,1948,0,0,0,INJ,Alex,Hannum,,hannual01,Southern California,NBA
1978,1952,0,0,0,NYK,Bud,Julian,,,SW Missouri State,NBA
2110,1953,0,0,0,SYR,Joe,Hughes,,,Denver,NBA
2157,1954,2,1,10,BLB,Bob,Leonard,,leonasl01,Indiana,NBA
2412,1956,0,0,0,SYR,Chester,Webb,,,Georgia State Teachers,NBA
2507,1957,10,4,73,PHW,Jerry,Calvert,,,Kentucky,NBA
2561,1958,6,2,41,CIN,Jim,McClennan,,,St. Francis (PA),NBA
2759,1960,9,5,67,SYR,Bernie,Findlay,,,San Diego State,NBA
2862,1961,8,2,70,CIN,Jerry,Thelen,,,Villa Madonna,NBA
2886,1961,11,3,94,DET,Richard,Kraft,,,Brockport,NBA
2963,1962,8,2,62,NYK,Warren,Fouts,,,Oklahoma,NBA
3002,1963,0,0,0,CIN,Tom,Thacker,,thackto01,Cincinnati,NBA
3246,1965,7,4,57,PHI,John,Young,,,Midwestern (TX),NBA
3562,1967,15,10,152,SEA,Willie,Campbell,,,Nebraska,NBA
3652,1968,7,2,80,SEA,Jim,McKean,,,Loyola (CA),NBA
3694,1968,10,2,122,SEA,Joe,Kennedy,,kennejo01,Memphis State,NBA
3878,1969,7,7,92,SFW,Pat,Foley,,,Pacific,NBA
3949,1969,12,8,163,BOS,Rod,Forbes,,,Boston State,NBA
4033,1970,2,12,29,PHO,Joe,DePre,,deprejo01,St. John's,NBA
4187,1970,11,13,183,BAL,Mel,Bell,,,Houston,NBA
4367,1971,7,17,119,MIL,Gene,Phillips,,phillge01,Southern Methodist,NBA
4459,1971,14,4,211,BAL,Rudolph,Peele,,,Norfolk State,NBA
4746,1973,4,11,63,GSW,Ron,King,,kingro01,Florida State,NBA
4808,1973,8,5,125,CLE,John,Ritter,,,Indiana,NBA
5004,1974,7,2,110,POR,Doug,Richards,,,Brigham Young,NBA
5157,1975,5,13,85,KCK,Ed,Stahl,,,North Carolina,NBA
5200,1975,8,2,128,LAL,Mike,Cashman,,,Willamette,NBA
5212,1975,8,14,140,CHI,John,Murphy,,,Massachusetts,NBA
5276,1976,2,13,30,PHO,Al,Fleming,,flemial01,Arizona,NBA
5795,1978,10,8,194,CLE,Gary,Winston,,,Army,NBA
6063,1980,3,12,58,NYK,Kurt,Rambis,,rambiku01,Santa Clara,NBA
6072,1980,3,21,67,PHI,Reggie,Gaines,,,Winston-Salem,NBA
6218,1980,10,14,213,PHI,Joe,Hand,,,Kings (PA),NBA
6289,1981,4,1,70,DAL,Eddie,Moss,,,Syracuse,NBA
6369,1981,7,12,150,KCK,Clinton,Wheeler,,wheelcl01,William Paterson,NBA
6481,1982,2,16,39,PHO,Kevin,Magee,,,California-Irvine,NBA
6594,1982,7,14,152,GSW,Matt,Waldron,,,Pacific,NBA
6704,1983,2,13,37,DEN,David,Russell,,,St. John's,NBA
6722,1983,3,8,55,DET,Erich,Santifer,,,Syracuse,NBA
6808,1983,7,2,141,IND,Tony,Brown,,,Indiana,NBA
6992,1984,5,6,99,WSB,Cohn,Irish,,,Bowling Green,NBA
7020,1984,6,11,127,ATL,Jim,Master,,,Kentucky,NBA
7066,1984,8,11,173,ATL,Robert,Brown,,,Long Island,NBA
7381,1986,5,5,98,CHI,Jimmy,Gilbert,,,Texas A&M,NBA
7425,1986,7,3,142,CLE,Ralph,Dalton,,,Georgetown,NBA
7427,1986,7,5,144,CHI,Robert,Henderson,,,Michigan,NBA
7623,1988,1,17,17,UTA,Eric,Leckner,,leckner01,Wyoming,NBA
7657,1988,3,1,51,LAC,Robert,Lock,,lockro01,Kentucky,NBA
7714,1989,2,6,33,LAC,Jay,Edwards,,edwarja02,Indiana,NBA
7864,1992,1,21,21,BOS,Jon,Barry,,barryjo01,Georgia Tech,NBA
7956,1994,1,5,5,WSB,Juwan,Howard,,howarju01,Michigan,NBA
8001,1994,2,23,50,PHO,Charles,Claxton,,claxtch01,Georgia,NBA
8141,1997,1,20,20,MIN,Paul,Grant,,grantpa01,Wisconsin,NBA
8154,1997,2,5,33,PHI,Marko,Milic,,milicma01,Slovenia,NBA
8311,2000,1,17,17,SEA,Desmond,Mason,,masonde01,Oklahoma State,NBA
8357,2001,1,5,5,GSW,Jason,Richardson,,richaja01,Michigan St.,NBA
8743,2007,2,10,40,LAL,Sun,Yue,,yuesu01,Beijing Olympians (ABA),NBA
