territoryid,territorydescription,regionid
55113,Розвилл,3
80202,Денвер,2
2139,Камбридж,1
48304,Блумфилд Хиллс,3
40222,Луизвилл,1
8837,Эдисон,1
1833,Георгияв,1
94025,Менло-Парк,2
30346,Атланда,4
3801,Портсмут,3
7960,Мористун,1
2116,Бостон,1
2184,Браintree,1
2903,Продвижение,1
19713,Нейварт,1
14450,Файпорт,1
31406,Саванна,4
98052,Редмонд,2
95008,Кэмпбель,2
94105,Сан-Франциско,2
98004,Беллвью,2
85251,Скоттсвалл,2
6897,Виллтон,1
48084,Трой,3
90405,Санта Моника,2
75234,Даллас,4
78759,Аустин,4
95060,Санта-Круз,2
1581,Вестборн,1
10038,Нью-Йорк,1
10019,Нью-Йорк,1
20852,Рок-Вилл,1
33607,Тампа,4
98104,Сайент,2
44122,Бейчмуд,3
80909,Колорадо Принес,2
55439,Минессей,3
3049,Холлис /,3
72716,Бентоунвилл,4
29202,Колумбия,4
27511,Кари,1
19428,Филадельфия,3
45839,Финлайд,3
48075,Соутифайл,3
95054,Санта Клара,2
1730,Бедфорд,1
53404,Ракин,3
85014,Феникс,2
27403,Грейнсборо,1
60601,Чикаго,2
32859,Орландо,4
60179,Хофман Этажи,2
11747,Мелвил,1
