orderid,customerid,employeeid,orderdate,requireddate,shippeddate,shipvia,freight,shipname,shipaddress,shipcity,shipregion,shippostalcode,shipcountry
10400,EASTC,1,1997-01-01 00:00:00,1997-01-29 00:00:00,16 января 1997 года,3,83.93,Восточное соединение,35 короля Георга,Лондон,,WKF-725R,Великобритания
10401,RATTC,1,1997-01-01 00:00:00,1997-01-29 00:00:00,1997-01-10 00:00:00,1,12.51,"Супермаркет ""Острый язвенный ущелье""","Милтон-др., 2817",Альбукерке,NM,87110,США
10402,ERNSH,8,1997-01-02 00:00:00,13.02.1997 г. 00:00:00,1997-01-10 00:00:00,2,67.88,Эрнст Хандель,Кирхгассе 6,Граз,,8010,Австрия
10403,ERNSH,4,1997-01-03 00:00:00,31.01.1997 г. 00:00,1997-01-09 00:00:00,3,73.79,Эрнст Хандель,Кирхгассе 6,Граз,,8010,Австрия
10404,MAGAA,2,1997-01-03 00:00:00,31.01.1997 г. 00:00,1997-01-08 00:00:00,1,155.97,Магазинни Альментари Рьюнитати,"Вия Лодивико Моро, 22",Бергамо,,24100,Италия
10405,LINOD,1,1997-01-06 00:00:00,1997-02-03 00:00:00,1997-01-22 00:00:00,1,34.82,Лино-Деликатесы,"День Пять Май, Порламар",Маргарита,Новая Спартея,4980,Венесуэла
10406,QUEEN,7,1997-01-07 00:00:00,1997-02-18 00:00:00,1997-01-13 00:00:00,1,108.04,Королева Кухня,"Алameda дос Канриос, 891",Сан-Паулу,сп,05487-020,Бразилия
10407,OTTIK,2,1997-01-07 00:00:00,1997-02-04 00:00:00,1997-01-30 00:00:00,2,91.48,Оттилии Кселаден,"Mehrингерштрассе, 369",Клин,,50739,Германия
10408,FOLIG,8,1997-01-08 00:00:00,1997-02-05 00:00:00,14.01.1997 г. 00:00:00,1,11.26,Фоли-гурмандес,"184, шосе де Турнай",Лилль,,59000,Франция
10409,OCEAN,3,1997-01-09 00:00:00,1997-02-06 00:00:00,14.01.1997 г. 00:00:00,1,29.83,Океанский Атлантический Ltd.,"Инженера Густаво Монкада, 8585, 20-й этаж",Buенос-Айрес,,1010,Аргентина
10410,BOTTM,3,1997-01-10 00:00:00,1997-02-07 00:00:00,1997-01-15 00:00:00,3,2.4,Рынки Bottom-Dollar,"Бульвар Тсавассен, 23",Цавассен,Б,Т2Ф 8М4,Канада
10411,BOTTM,9,1997-01-10 00:00:00,1997-02-07 00:00:00,1997-01-21 00:00:00,3,23.65,Рынки Bottom-Dollar,"Бульвар Тсавассен, 23",Цавассен,Б,Т2Ф 8М4,Канада
10412,WARTH,8,1997-01-13 00:00:00,1997-02-10 00:00:00,1997-01-15 00:00:00,2,3.77,Вартян Херкку,"Торикату, 38",Улу,,90110,Финляндия
10413,LAMAI,3,14.01.1997 г. 00:00:00,11.02.1997 г.,16 января 1997 года,2,95.66,Дом Азии,1 улица Эльзаса-Лотарингии,Тулуза,,31000,Франция
10414,FAMIA,2,14.01.1997 г. 00:00:00,11.02.1997 г.,1997-01-17 00:00:00,3,21.48,Семья Аркибалдо,"Улица Орса, 92",Сан-Паулу,сп,05442-030,Бразилия
10415,HUNGC,3,1997-01-15 00:00:00,1997-02-12 00:00:00,24.01.1997 г.,1,0.2,Голодный койот Импорт магазин,Центральный площадь города 516 Главной улицы,Элгин,О,97827,США
10416,WARTH,8,16 января 1997 года,13.02.1997 г. 00:00:00,1997-01-27 00:00:00,3,22.72,Вартян Херкку,"Торикату, 38",Улу,,90110,Финляндия
10417,SIMOB,4,16 января 1997 года,13.02.1997 г. 00:00:00,1997-01-28 00:00:00,3,70.29,Бистро Симонс,Винблет 34,Копенгаген,,1734,Дания
10418,QUICK,4,1997-01-17 00:00:00,1997-02-14 00:00:00,24.01.1997 г.,1,17.55,Остановить,"Тауэрстрассе, 10",Куневальде,,1307,Германия
10419,RICSU,4,1997-01-20 00:00:00,1997-02-17 00:00:00,1997-01-30 00:00:00,2,137.35,Ричтер Супермаркет,Старенвег 5,Женева,,1204,Швейцария
10420,WELLI,3,1997-01-21 00:00:00,1997-02-18 00:00:00,1997-01-27 00:00:00,1,44.12,Уэллингтон Импортадора,"Руа До Меркаду, 12",Резенде,сп,08737-363,Бразилия
10421,QUEDE,8,1997-01-21 00:00:00,1997-03-04 00:00:00,1997-01-27 00:00:00,1,99.23,Ква делиция,"Улица Пекария, 12",Рио-де-Жанейро,РЖ,02389-673,Бразилия
10422,FRANS,2,1997-01-22 00:00:00,1997-02-19 00:00:00,31.01.1997 г. 00:00,1,3.02,Франчи С.п.а.,"Вия Монте Бяппо, 34",Турин,,10100,Италия
10423,GOURL,6,1997-01-23 00:00:00,1997-02-06 00:00:00,1997-02-24 00:00:00,3,24.5,Гурман-ланчонет,"Ав. Бразилия, 442",Кампинас,сп,04876-786,Бразилия
10424,MEREP,7,1997-01-23 00:00:00,1997-02-20 00:00:00,1997-01-27 00:00:00,2,370.61,Мре Паиларде,43 улица Сен-Лоран,Монреаль,Квебек,Х1В 1С3,Канада
10425,LAMAI,6,24.01.1997 г.,1997-02-21 00:00:00,1997-02-14 00:00:00,2,7.93,Дом Азии,1 улица Эльзаса-Лотарингии,Тулуза,,31000,Франция
10426,GALED,4,1997-01-27 00:00:00,1997-02-24 00:00:00,1997-02-06 00:00:00,1,18.69,Гастрономы,"Рамбла де Каталония, 23",Барселона,,8022,Испания
10427,PICCO,4,1997-01-27 00:00:00,1997-02-24 00:00:00,1997-03-03 00:00:00,2,31.29,Пикколо и другие,"Геислевег, 14",Цюрих,,5020,Австрия
10428,REGGC,7,1997-01-28 00:00:00,1997-02-25 00:00:00,1997-02-04 00:00:00,1,11.09,Реггьяни Кэйсификати,Провинциальная дорога №124,Регγιο-Эмилия,,42100,Италия
10429,HUNGO,3,1997-01-29 00:00:00,1997-03-12 00:00:00,1997-02-07 00:00:00,2,56.63,Голодный сова круглосуточные магазины,8 Джонуотер-роуд,Корк,Корк,,Ирландия
10430,ERNSH,4,1997-01-30 00:00:00,13.02.1997 г. 00:00:00,1997-02-03 00:00:00,1,458.78,Эрнст Хандель,Кирхгассе 6,Граз,,8010,Австрия
10431,BOTTM,4,1997-01-30 00:00:00,13.02.1997 г. 00:00:00,1997-02-07 00:00:00,2,44.17,Рынки Bottom-Dollar,"Бульвар Тсавассен, 23",Цавассен,Б,Т2Ф 8М4,Канада
10432,SPLIR,3,31.01.1997 г. 00:00,1997-02-14 00:00:00,1997-02-07 00:00:00,2,4.34,Раздвоенный шейк Пиво и Аль,П.О. коробка 555,Ландер,ВЙ,82520,США
