supplierid,companyname,contactname,contacttitle,address,city,region,postalcode,country,phone,fax,homepage
1,Экзотические жидкости,Шарлотта Купер,Менеджер по закупкам,49 Гилберт-стрит.,Лондон,,ЭК-1 4СД,Великобритания,(171) 555-2222,,
2,Нуары Оушен Каджун Делайтс,Шелли Берк,Администратор заказа,П.О. ящик 78934,Новый Орлеан,Лос-Анджелес,70117,США,(100) 555-4822,,#CAJUN.HTML#
3,Дом Келли,Регина Мерфи,Специалист по продажам,707 Оксфорд-роуд.,Анн-Арбор,МИ,48104,США,(313) 555-5735,(313) 555-3349,
4,Токийские трейдеры,Йоси Нагасе,Менеджер по маркетингу,"9-8 Секимай
Мусаси-но-си",Токио,,100,Япония,(03) 3555-5011,,
5,Ассоциация сыра 'Коровы',Антонио дель Вале Сасабеду,Администратор экспорта,Улица Дель Розал 4,Овьедо,Астурия,33007,Испания,(98) 598-76-54,,
6,Майуми,Майуми Оно,Маркетинг-представитель,"92 Сецуко
Чёдо-ку",Осака,,545,Япония,(06) 431-7877,,Майуми's (на Веб-сайте)#http://www.microsoft.com/accessdev/sampleapps/mayumi.htm#
7,"Павлова, ООО",Иэн Девлинг,Менеджер по маркетингу,"74 ул. Розы
Муни Пондс",Мельбурн,Виктория,3058,Австралия,(03) 444-2343,(03) 444-6588,
8,"Специализированные Бисквиты, Лимитед",Питер Уилсон,Специалист по продажам,29 Кинг-вей,Манчестер,,М14 ГСД,Великобритания,(161) 555-4448,,
9,ПБ Конекбруд АБ,Ларс Петерсон,Продажи агент,"Калоадагатан, 13",Гётеборг,,С-345 67,Швеция,031-987 65 43,031-987 65 91,
10,Refрескос Американас ЛТД,Carlos Diaz,Менеджер по маркетингу,Аvenue дас Америкаш 12 890,Сан-Паулу,,5442,Бразилия,(11) 555-46-40,,
11,Хели Сварен ГмбХ & Ко. КГ,Петра Винтер,Менеджер продаж,"Тиргартенштрассе, 5",Берлин,,10785,Германия,(010) 998-45-10,,
12,Плюстер Продуктовые Супермаркеты АГ,Мартин Бейн,Менеджер международного маркетинга,"Богеналлее, дом 51",Франкфурт,,60439,Германия,(069) 992-755,,Плутзер (на Веб-сайте)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#
13,Северо-Восточная рыбная компания,Свен Петерсен,Координатор внешних рынков,Фрахмереддер 112а,Кухнев,,27478,Германия,(04721) 87-13,(047-21) 87-14,
14,Формагги Фортини срл,Элио Росси,Специалист по продажам,"Виале Данте, 75",Равенна,,48100,Италия,(0544) 603-23,(0544) 60-60-33,#Формагг.htm#
15,Норвежские мейерии,Беат Вилеид,Менеджер по маркетингу,Хатлевеген 5,Сандвика,,1320,Норвегия,(0)2-953-01-00,,
16,Бигфут Брейкери,Черил Сэйлор,Региональный ассистент по учету,Аvenue 3400 - 8,Круг,О,97101,США,(503) 555-9931,,
17,Swedish Sjfda AB,Майкл Бьёрн,Специалист по продажам,Броваллавген 231,Стокгольм,,С-123/45,Швеция,08-123 45 67,,
18,Счастливые церковные пения,Гайлен Нодье,Менеджер продаж,"203, улица Французов-Буржских",Париж,,75004,Франция,(1) 03.83.00.68,(1) 03.83.00.62,
19,Нью-Энди Морепродукты Пакетно-сушечная фабрика,Робб Мерчант,Дистрибьюторский агент счетов,"Отдел обработки заказов
Пространство Пола Ревир, 2100",Бостон,М,02134,США,(617) 555-3267,(617) 555-3389,
20,Лека Трейдинг,Чандра Лека,Владелец,"471 Серангуна Лупа, Суит #402",Сингапур,,0512,Сингапур,555-8787,,
21,Лингбизилд,Нильс Петерсен,Менеджер продаж,"Лингби-Силд
Фискебаккен 10",Лингби,,2800,Дания,43844108,43844115,
22,Зaanse Снэп Фабрика,Дирк Люхте,Бухгалтерский менеджер,"Продажа
Рейнвейг 22",Заандам,,9999 ЗЗ,Нидерланды,(12 345) 1 212 /думать,(12345) 12-10,
23,Каркки Ою,Анна Хейконен,Продукт-менеджер,Вальтакату 12,Лаппеенранта,,53120,Финляндия,(953) 1095-6,,
24,"Здравствуйте, Мате",Венди Маккензи,Специалист по продажам,Пригород: 170 Принца Эдварда Парад,Сидней,Нью-Сауксвилл,2042,Австралия,(02) 555-5914,(02) 555-4873,"Здравствуй, Матей (на Всемирной паутине)#http://www.microsoft.com/accessdev/sampleapps/gdaymate.htm#"
25,Моя дом,Жан-Гийом Лаузон,Менеджер по маркетингу,"Улица Сент-Лоран, 2960",Монреаль,Квебек,Х1В 1С3,Канада,(514) 555-9022,,
26,Паста Баттини срл.,Джованни Джудичи,Администратор заказа,"Вия де Гέλсоминати, 153",Салерно,,84100,Италия,(089) 654-7665,(089) 654-7667,
27,Новые escargots,Мари Делаμαρ,Менеджер продаж,"22, улица Х. Вьернона",Монцео,,71300,Франция,85.57.00.07,,
28,Гай птураж,Элиане Ноз,Специалист по продажам,"Бат. Б 3, улица Альп",Анси,,74000,Франция,38.76.98.06,38.76.98.58,
29,Форты драбλες,Чантал Гуле,Бухгалтерский менеджер,148 улица Охотника,Сент-Иакинта,Квебек,J2S 7S8,Канада,(514) 555-2955,(514) 555-2921,
