title_id,lorange,hirange,royalty
TC4203,16001,24000,16
PC8888,15001,50000,16
TC7777,0,5000,10
MC3021,1001,2000,12
MC3021,8001,10000,20
MC2222,4001,8000,14
BU2075,0,1000,10
BU2075,1001,3000,12
BU1111,28001,50000,24
BU1111,12001,16000,16
BU7832,5001,10000,12
MC2222,20001,50000,20
BU2075,3001,5000,14
MC2222,8001,12000,16
BU1111,0,4000,10
BU2075,7001,10000,18
TC4203,32001,40000,20
PS3333,5001,10000,12
PS1372,20001,30000,14
PS3333,0,5000,10
PC1035,4001,10000,16
BU7832,20001,25000,18
TC3218,12001,14000,22
TC3218,4001,6000,14
BU7832,35001,50000,24
PS2106,5001,10000,14
MC2222,2001,4000,12
