payment_no,member_no,payment_dt,payment_amt,statement_no,payment_code
6,209,1999-09-02 00:00:00,3857.0,0,
30,350,1999-09-02 00:00:00,379.0,0,
96,659,1999-09-02 00:00:00,4552.0,0,
102,687,1999-09-02 00:00:00,2187.0,0,
117,732,1999-09-02 00:00:00,4615.0,0,
118,736,1999-09-02 00:00:00,692.0,0,
119,739,1999-09-02 00:00:00,3909.0,0,
134,794,1999-09-02 00:00:00,146.0,0,
146,816,1999-09-02 00:00:00,2598.0,0,
184,913,1999-09-02 00:00:00,1382.0,0,
188,924,1999-09-02 00:00:00,2911.0,0,
258,1095,1999-09-02 00:00:00,4736.0,0,
268,1114,1999-09-02 00:00:00,1460.0,0,
272,1121,1999-09-02 00:00:00,1332.0,0,
289,1168,1999-09-02 00:00:00,1958.0,0,
398,1398,1999-09-02 00:00:00,583.0,0,
403,1412,1999-09-02 00:00:00,3313.0,0,
435,1467,1999-09-02 00:00:00,928.0,0,
453,1494,1999-09-02 00:00:00,3730.0,0,
476,1533,1999-09-02 00:00:00,874.0,0,
508,1590,1999-09-02 00:00:00,3017.0,0,
517,1603,1999-09-02 00:00:00,1733.0,0,
521,1613,1999-09-02 00:00:00,835.0,0,
523,1615,1999-09-02 00:00:00,1453.0,0,
527,1626,1999-09-02 00:00:00,6791.0,0,
544,1652,1999-09-02 00:00:00,7081.0,0,
623,1794,1999-09-02 00:00:00,147.0,0,
637,1814,1999-09-02 00:00:00,2230.0,0,
649,1830,1999-09-02 00:00:00,7330.0,0,
654,1835,1999-09-02 00:00:00,7533.0,0,
663,1849,1999-09-02 00:00:00,3087.0,0,
666,1853,1999-09-02 00:00:00,10944.0,0,
671,1863,1999-09-02 00:00:00,2322.0,0,
673,1866,1999-09-02 00:00:00,3748.0,0,
680,1876,1999-09-02 00:00:00,4040.0,0,
689,1888,1999-09-02 00:00:00,5445.0,0,
694,1897,1999-09-02 00:00:00,4062.0,0,
695,1899,1999-09-02 00:00:00,4110.0,0,
707,1916,1999-09-02 00:00:00,1164.0,0,
732,1951,1999-09-02 00:00:00,4269.0,0,
738,1962,1999-09-02 00:00:00,5863.0,0,
742,1968,1999-09-02 00:00:00,5107.0,0,
746,1976,1999-09-02 00:00:00,6723.0,0,
798,2051,1999-09-02 00:00:00,2724.0,0,
810,2068,1999-09-02 00:00:00,6498.0,0,
816,2077,1999-09-02 00:00:00,1281.0,0,
819,2080,1999-09-02 00:00:00,5173.0,0,
861,2145,1999-09-02 00:00:00,5556.0,0,
870,2157,1999-09-02 00:00:00,4940.0,0,
951,2277,1999-09-02 00:00:00,6764.0,0,
960,2291,1999-09-02 00:00:00,3175.0,0,
968,2299,1999-09-02 00:00:00,6353.0,0,
971,2303,1999-09-02 00:00:00,5229.0,0,
992,2331,1999-09-02 00:00:00,4101.0,0,
1023,2370,1999-09-02 00:00:00,4765.0,0,
1047,2397,1999-09-02 00:00:00,7864.0,0,
1057,2409,1999-09-02 00:00:00,6992.0,0,
1059,2412,1999-09-02 00:00:00,6777.0,0,
1080,2445,1999-09-02 00:00:00,9943.0,0,
1119,2498,1999-09-02 00:00:00,5441.0,0,
1136,2523,1999-09-02 00:00:00,5740.0,0,
1171,2575,1999-09-02 00:00:00,2834.0,0,
1177,2582,1999-09-02 00:00:00,454.0,0,
1206,2623,1999-09-02 00:00:00,2983.0,0,
1208,2626,1999-09-02 00:00:00,8458.0,0,
1211,2629,1999-09-02 00:00:00,876.0,0,
1218,2638,1999-09-02 00:00:00,3096.0,0,
1219,2640,1999-09-02 00:00:00,2096.0,0,
1229,2652,1999-09-02 00:00:00,666.0,0,
1232,2657,1999-09-02 00:00:00,4305.0,0,
1244,2671,1999-09-02 00:00:00,8023.0,0,
1272,2705,1999-09-02 00:00:00,9019.0,0,
1294,2731,1999-09-02 00:00:00,5413.0,0,
1331,2774,1999-09-02 00:00:00,3715.0,0,
1347,2794,1999-09-02 00:00:00,12460.0,0,
1348,2795,1999-09-02 00:00:00,2848.0,0,
1349,2796,1999-09-02 00:00:00,14507.0,0,
1371,2820,1999-09-02 00:00:00,5375.0,0,
1376,2826,1999-09-02 00:00:00,3010.0,0,
1387,2839,1999-09-02 00:00:00,1211.0,0,
1391,2845,1999-09-02 00:00:00,10677.0,0,
1396,2850,1999-09-02 00:00:00,8322.0,0,
1413,2872,1999-09-02 00:00:00,18906.0,0,
1432,2895,1999-09-02 00:00:00,5942.0,0,
1436,2901,1999-09-02 00:00:00,10754.0,0,
1444,2911,1999-09-02 00:00:00,9142.0,0,
1479,2954,1999-09-02 00:00:00,10030.0,0,
1480,2956,1999-09-02 00:00:00,7548.0,0,
1481,2957,1999-09-02 00:00:00,1894.0,0,
1483,2959,1999-09-02 00:00:00,2524.0,0,
1508,2991,1999-09-02 00:00:00,10479.0,0,
1510,2994,1999-09-02 00:00:00,4710.0,0,
1517,3003,1999-09-02 00:00:00,3848.0,0,
1534,3034,1999-09-02 00:00:00,4690.0,0,
1537,3039,1999-09-02 00:00:00,5509.0,0,
1540,3042,1999-09-02 00:00:00,165.0,0,
1541,3043,1999-09-02 00:00:00,1013.0,0,
1565,3068,1999-09-02 00:00:00,1255.0,0,
1578,3086,1999-09-02 00:00:00,5601.0,0,
1590,3099,1999-09-02 00:00:00,2189.0,0,
1599,3109,1999-09-02 00:00:00,10736.0,0,
1605,3115,1999-09-02 00:00:00,2193.0,0,
1687,3206,1999-09-02 00:00:00,8412.0,0,
1688,3207,1999-09-02 00:00:00,4593.0,0,
1692,3211,1999-09-02 00:00:00,482.0,0,
1702,3225,1999-09-02 00:00:00,4092.0,0,
1710,3234,1999-09-02 00:00:00,1251.0,0,
1717,3244,1999-09-02 00:00:00,6586.0,0,
1732,3260,1999-09-02 00:00:00,5017.0,0,
1733,3261,1999-09-02 00:00:00,666.0,0,
1735,3263,1999-09-02 00:00:00,4837.0,0,
1753,3286,1999-09-02 00:00:00,5601.0,0,
1759,3292,1999-09-02 00:00:00,5219.0,0,
1769,3302,1999-09-02 00:00:00,5684.0,0,
1773,3306,1999-09-02 00:00:00,8371.0,0,
1780,3313,1999-09-02 00:00:00,2193.0,0,
1792,3329,1999-09-02 00:00:00,3407.0,0,
1800,3337,1999-09-02 00:00:00,11306.0,0,
1814,3354,1999-09-02 00:00:00,131.0,0,
1820,3360,1999-09-02 00:00:00,7337.0,0,
1825,3368,1999-09-02 00:00:00,4066.0,0,
1826,3369,1999-09-02 00:00:00,18963.0,0,
1831,3375,1999-09-02 00:00:00,6934.0,0,
1836,3380,1999-09-02 00:00:00,3473.0,0,
1852,3397,1999-09-02 00:00:00,4012.0,0,
1866,3414,1999-09-02 00:00:00,4840.0,0,
1875,3424,1999-09-02 00:00:00,7536.0,0,
1880,3431,1999-09-02 00:00:00,1095.0,0,
1882,3433,1999-09-02 00:00:00,4691.0,0,
1921,3477,1999-09-02 00:00:00,5364.0,0,
1924,3481,1999-09-02 00:00:00,13472.0,0,
1932,3489,1999-09-02 00:00:00,1772.0,0,
1941,3500,1999-09-02 00:00:00,2212.0,0,
1954,3513,1999-09-02 00:00:00,3956.0,0,
1993,3556,1999-09-02 00:00:00,262.0,0,
2001,3566,1999-09-02 00:00:00,2017.0,0,
2021,3586,1999-09-02 00:00:00,5892.0,0,
2040,3610,1999-09-02 00:00:00,16363.0,0,
2043,3614,1999-09-02 00:00:00,4731.0,0,
2077,3650,1999-09-02 00:00:00,8749.0,0,
2079,3652,1999-09-02 00:00:00,7290.0,0,
2117,3692,1999-09-02 00:00:00,11062.0,0,
2129,3705,1999-09-02 00:00:00,1424.0,0,
2163,3744,1999-09-02 00:00:00,2384.0,0,
2191,3773,1999-09-02 00:00:00,4999.0,0,
2198,3781,1999-09-02 00:00:00,15478.0,0,
2215,3801,1999-09-02 00:00:00,10810.0,0,
2222,3809,1999-09-02 00:00:00,8618.0,0,
2233,3821,1999-09-02 00:00:00,9292.0,0,
2235,3823,1999-09-02 00:00:00,21525.0,0,
2268,3858,1999-09-02 00:00:00,3228.0,0,
2288,3881,1999-09-02 00:00:00,8844.0,0,
2298,3891,1999-09-02 00:00:00,12953.0,0,
2321,3917,1999-09-02 00:00:00,4781.0,0,
2329,3925,1999-09-02 00:00:00,10426.0,0,
2343,3940,1999-09-02 00:00:00,7656.0,0,
2353,3950,1999-09-02 00:00:00,18036.0,0,
2356,3953,1999-09-02 00:00:00,6418.0,0,
2361,3959,1999-09-02 00:00:00,1173.0,0,
2364,3962,1999-09-02 00:00:00,12013.0,0,
