provider_no,provider_name,street,city,state_prov,mail_code,country,phone_no,issue_dt,expr_dt,region_no,provider_code
1,Prov. Apex Key, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,8,
2,Prov. Apex Ligh, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
3,Prov. Apex Mach, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
4,Prov. Apex Need, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
5,Prov. Apex Oper, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
6,Prov. Apex Petr, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
7,Prov. Apex Ques, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,7,
8,Prov. Apex Rest, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
9,Prov. Apex Sail, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,7,
10,Prov. Apex Tran, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
11,Prov. Boston Ke, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
12,Prov. Boston Li, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
13,Prov. Boston Ma, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
14,Prov. Boston Ne, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,7,
15,Prov. Boston Op, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,8,
16,Prov. Boston Pe, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,6,
17,Prov. Boston Qu, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,5,
18,Prov. Boston Re, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
19,Prov. Boston Sa, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
20,Prov. Boston Tr, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
21,Prov. Computer, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,8,
22,Prov. Computer, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,5,
24,Prov. Computer, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
25,Prov. Computer, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,4,
27,Prov. Computer, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,8,
