season,slot,strongseed,weakseed
1998,Р1Х3,X03,X14
2006,Р3З2,R2Z2,I do not understand your request. Could you please clarify your question or prompt?
1986,Рекс-1,R2X-1,Р2Х4
1997,R2Y2,Р1Y2,R1Y7
1999,Р3Й1,Р2-Я1,Р2Й4
2010,Р1З6,З06,З-11
2005,R1W3,"No additional text provided, only a code. Translation: ""Да"" (Yes)",W14
2001,Р1З6,З06,З-11
1988,Р2Й4,R1Y4,R1Y5
2008,R1З8,З08,З09
1994,R1V2,W02,W15
2009,Р2-Я1,R1V1,Р1Y8
2014,R4X1,Рекс-1,Рекс-2
2001,Р1Х3,X03,X14
1993,Р4В1,Ревизор,R2E5
2013,R2E5,Р2В2,Р2В3
2011,Р4В1,Ревизор,R2E5
2003,Р2В2,R1V2,R1W7
2011,R2E5,Р2В2,Р2В3
2010,R1З1,Z01,Зи16
2006,Р4В1,Ревизор,R2E5
2011,R2X-1,R1Х1,R1X8
2000,Р1З4,З04,З-13
1991,Р1Y2,2,Y15
1994,Р3Й1,Р2-Я1,Р2Й4
1991,R1V5,W05,W12
2014,R1З7,З07,З10
1987,R1X8,X08,X09
2013,R1W8,В08,W09
2007,Зи16,Z16а,Z16б
1993,R1З3,З03,Z14
2011,R1V5,W05,W12
1996,Р2Й4,R1Y4,R1Y5
2002,Р2-Я1,R1V1,Р1Y8
2006,Р1Y2,2,Y15
1991,R2Y3,Р1Y3,Р1Я6
1987,Р1Я6,2017,Y11
2000,R1Z4,З-05,Z12
1994,Р1Х3,X03,X14
1989,R1З7,З07,З10
2012,R1З3,З03,Z14
2013,R2Z2,R1З2,R1З7
1992,Рекс-1,R2X-1,Р2Х4
1993,Р1Y8,1992-04-13,9
1993,Рекс-1,R2X-1,Р2Х4
2000,R2Z2,R1З2,R1З7
2011,Р1Х6,X06,X11
1985,R1Y7,Y07,Я-10
2003,R1Х4,X04,Х13
1985,I do not understand your request. Could you please clarify your question or prompt?,R1З3,Р1З6
1995,R1З7,З07,З10
2000,R4З1,Р3З1,Р3З2
1997,R1X-5,0x05,Т12
2001,R1W7,В07,В10
1999,Р2Х4,R1Х4,R1X-5
2007,Р3З2,R2Z2,I do not understand your request. Could you please clarify your question or prompt?
1986,R1W8,В08,W09
2004,R2В1,R1В1,R1W8
2007,R1В1,W01,В16
1997,Р1Х6,X06,X11
1991,R5WX,Р4В1,R4X1
1987,R1З7,З07,З10
1986,R2В1,R1В1,R1W8
1991,R2Y2,Р1Y2,R1Y7
2013,Р2В3,R1W3,R1V6
1997,R5WX,Р4В1,R4X1
1990,R1W4,W04,W13
2005,R2Z4,Р1З4,R1Z4
2000,Р2В4,R1W4,R1V5
1997,R1X-7,X07,Х10
1998,Рекс-2,Р2Х2,R2X3
1985,Рекс-1,R2X-1,Р2Х4
1987,R1Z4,З-05,Z12
1995,R1З2,З02,З-15
2004,Р1Х6,X06,X11
2012,Р1Х6,X06,X11
2005,Р1Y8,1992-04-13,9
1998,Р4В1,Ревизор,R2E5
2012,R1З1,Z01,Зи16
1987,R1V6,В06,W11
