season,seed,team
1985,X06,1409
1987,W01,1314
1989,З03,1276
1992,Зи16,1290
2001,В07,1234
1998,"No additional text provided, only a code. Translation: ""Да"" (Yes)",1376
1992,В16,1144
1987,W09,1276
2006,X03,1211
2004,Т12,1140
2002,В06,1403
1991,X16,1209
2006,Т12,1245
2008,W15,1110
2005,З-05,1437
1995,З-15,1293
1991,1992-04-13,1210
1985,9,1229
2000,X02,1153
2014,W09,1203
2006,Я-10,1320
1985,Z01,1276
1993,В16,1187
2010,З09,1199
2014,Зи16,1451
2012,X02,1242
1997,Х13,1375
1992,З10,1408
1989,З-13,1292
1996,X11,1409
1995,Z01,1246
1989,"No additional text provided, only a code. Translation: ""Да"" (Yes)",1390
2002,Y11,1335
1988,W12,1235
2014,В07,1163
2004,Я-16,1251
1990,З-05,1333
1988,В16,1250
1995,З-13,1264
2011,W15,1254
2006,X15,1125
2000,Z12,1232
1987,13,1462
2001,З09,1201
2012,"No additional text provided, only a code. Translation: ""Да"" (Yes)",1199
2002,0x05,1196
2004,З09,1412
1988,X09,1272
2007,Z16б,1310
2003,З02,1242
2009,Это что-то вроде шестнадцатого года нашей эры.,1106
2002,W02,1163
2014,З-13,1308
2009,В07,1400
1985,X16,1380
1986,З-13,1419
2002,A32-4567890-12345,1181
1989,X14,1283
2012,X16b,1436
2000,9,1387
1997,X04,1112
1998,Я-16,1341
2006,Y15,1172
1994,З-05,1143
2008,В06,1328
2009,З-15,1169
2009,W14,1110
1998,W02,1163
2002,X04,1228
