season,daynum,wteam,wscore,lteam,lscore,wloc,numot
2007,22,1364,89,1337,80,А,2
2007,68,1130,74,1301,58,А,0
2014,54,1217,94,1200,86,А,0
1986,47,1183,57,1410,56,А,0
1985,54,1140,84,1449,75,"Добро пожаловать в ресторан «Маяк». Мы рады предложить вам нашу специальную меню на сегодня.

**Закуски:**
- Салат из свежих овощей с vinaigrette соусом (500 р.)
- Запеченный помидор с базиликом и пармезаном (400 р.)
- Куриные шашлыки с соусом из йогурта и мяты (600 р.)

**Основное блюдо:**
- Жареная рыба с лимонным соусом и овощами (800 р.)
- Стейк из говядины с грибным соусом и картофелем фри (1200 р.)
- Паста болоньезе (700 р.)

**Десерты:**
- Тирамису (400 р.)
- Совный торт (500 р.)
- Фруктовый салат (300 р.)

Вы можете сделать заказ по этому меню или запросить что-то другое. Мы также предлагаем широкий выбор напитков, включая вина, пиво и безалкогольные напитки.

Ждем вашего заказа!",0
2004,33,1145,78,1382,64,А,0
2014,65,1182,87,1200,81,"Добро пожаловать в ресторан «Маяк». Мы рады предложить вам нашу специальную меню на сегодня.

**Закуски:**
- Салат из свежих овощей с vinaigrette соусом (500 р.)
- Запеченный помидор с базиликом и пармезаном (400 р.)
- Куриные шашлыки с соусом из йогурта и мяты (600 р.)

**Основное блюдо:**
- Жареная рыба с лимонным соусом и овощами (800 р.)
- Стейк из говядины с грибным соусом и картофелем фри (1200 р.)
- Паста болоньезе (700 р.)

**Десерты:**
- Тирамису (400 р.)
- Совный торт (500 р.)
- Фруктовый салат (300 р.)

Вы можете сделать заказ по этому меню или запросить что-то другое. Мы также предлагаем широкий выбор напитков, включая вина, пиво и безалкогольные напитки.

Ждем вашего заказа!",0
1985,59,1438,66,1336,54,Translation: Да,0
1990,82,1373,63,1193,57,"Добро пожаловать в ресторан «Маяк». Мы рады предложить вам нашу специальную меню на сегодня.

**Закуски:**
- Салат из свежих овощей с vinaigrette соусом (500 р.)
- Запеченный помидор с базиликом и пармезаном (400 р.)
- Куриные шашлыки с соусом из йогурта и мяты (600 р.)

**Основное блюдо:**
- Жареная рыба с лимонным соусом и овощами (800 р.)
- Стейк из говядины с грибным соусом и картофелем фри (1200 р.)
- Паста болоньезе (700 р.)

**Десерты:**
- Тирамису (400 р.)
- Совный торт (500 р.)
- Фруктовый салат (300 р.)

Вы можете сделать заказ по этому меню или запросить что-то другое. Мы также предлагаем широкий выбор напитков, включая вина, пиво и безалкогольные напитки.

Ждем вашего заказа!",0
1987,82,1238,47,1108,45,А,0
1992,99,1131,91,1299,87,"Добро пожаловать в ресторан «Маяк». Мы рады предложить вам нашу специальную меню на сегодня.

**Закуски:**
- Салат из свежих овощей с vinaigrette соусом (500 р.)
- Запеченный помидор с базиликом и пармезаном (400 р.)
- Куриные шашлыки с соусом из йогурта и мяты (600 р.)

**Основное блюдо:**
- Жареная рыба с лимонным соусом и овощами (800 р.)
- Стейк из говядины с грибным соусом и картофелем фри (1200 р.)
- Паста болоньезе (700 р.)

**Десерты:**
- Тирамису (400 р.)
- Совный торт (500 р.)
- Фруктовый салат (300 р.)

Вы можете сделать заказ по этому меню или запросить что-то другое. Мы также предлагаем широкий выбор напитков, включая вина, пиво и безалкогольные напитки.

Ждем вашего заказа!",0
2007,53,1132,79,1267,78,А,0
1988,58,1133,97,1173,80,А,0
2007,129,1246,79,1104,67,Translation: Да,0
1995,117,1293,96,1122,79,А,0
2010,11,1362,73,1142,62,"Добро пожаловать в ресторан «Маяк». Мы рады предложить вам нашу специальную меню на сегодня.

**Закуски:**
- Салат из свежих овощей с vinaigrette соусом (500 р.)
- Запеченный помидор с базиликом и пармезаном (400 р.)
- Куриные шашлыки с соусом из йогурта и мяты (600 р.)

**Основное блюдо:**
- Жареная рыба с лимонным соусом и овощами (800 р.)
- Стейк из говядины с грибным соусом и картофелем фри (1200 р.)
- Паста болоньезе (700 р.)

**Десерты:**
- Тирамису (400 р.)
- Совный торт (500 р.)
- Фруктовый салат (300 р.)

Вы можете сделать заказ по этому меню или запросить что-то другое. Мы также предлагаем широкий выбор напитков, включая вина, пиво и безалкогольные напитки.

Ждем вашего заказа!",0
2007,86,1222,73,1416,70,"Добро пожаловать в ресторан «Маяк». Мы рады предложить вам нашу специальную меню на сегодня.

**Закуски:**
- Салат из свежих овощей с vinaigrette соусом (500 р.)
- Запеченный помидор с базиликом и пармезаном (400 р.)
- Куриные шашлыки с соусом из йогурта и мяты (600 р.)

**Основное блюдо:**
- Жареная рыба с лимонным соусом и овощами (800 р.)
- Стейк из говядины с грибным соусом и картофелем фри (1200 р.)
- Паста болоньезе (700 р.)

**Десерты:**
- Тирамису (400 р.)
- Совный торт (500 р.)
- Фруктовый салат (300 р.)

Вы можете сделать заказ по этому меню или запросить что-то другое. Мы также предлагаем широкий выбор напитков, включая вина, пиво и безалкогольные напитки.

Ждем вашего заказа!",1
1989,92,1206,85,1110,79,"Добро пожаловать в ресторан «Маяк». Мы рады предложить вам нашу специальную меню на сегодня.

**Закуски:**
- Салат из свежих овощей с vinaigrette соусом (500 р.)
- Запеченный помидор с базиликом и пармезаном (400 р.)
- Куриные шашлыки с соусом из йогурта и мяты (600 р.)

**Основное блюдо:**
- Жареная рыба с лимонным соусом и овощами (800 р.)
- Стейк из говядины с грибным соусом и картофелем фри (1200 р.)
- Паста болоньезе (700 р.)

**Десерты:**
- Тирамису (400 р.)
- Совный торт (500 р.)
- Фруктовый салат (300 р.)

Вы можете сделать заказ по этому меню или запросить что-то другое. Мы также предлагаем широкий выбор напитков, включая вина, пиво и безалкогольные напитки.

Ждем вашего заказа!",0
1988,61,1268,93,1448,76,"Добро пожаловать в ресторан «Маяк». Мы рады предложить вам нашу специальную меню на сегодня.

**Закуски:**
- Салат из свежих овощей с vinaigrette соусом (500 р.)
- Запеченный помидор с базиликом и пармезаном (400 р.)
- Куриные шашлыки с соусом из йогурта и мяты (600 р.)

**Основное блюдо:**
- Жареная рыба с лимонным соусом и овощами (800 р.)
- Стейк из говядины с грибным соусом и картофелем фри (1200 р.)
- Паста болоньезе (700 р.)

**Десерты:**
- Тирамису (400 р.)
- Совный торт (500 р.)
- Фруктовый салат (300 р.)

Вы можете сделать заказ по этому меню или запросить что-то другое. Мы также предлагаем широкий выбор напитков, включая вина, пиво и безалкогольные напитки.

Ждем вашего заказа!",0
1992,93,1318,68,1233,65,"Добро пожаловать в ресторан «Маяк». Мы рады предложить вам нашу специальную меню на сегодня.

**Закуски:**
- Салат из свежих овощей с vinaigrette соусом (500 р.)
- Запеченный помидор с базиликом и пармезаном (400 р.)
- Куриные шашлыки с соусом из йогурта и мяты (600 р.)

**Основное блюдо:**
- Жареная рыба с лимонным соусом и овощами (800 р.)
- Стейк из говядины с грибным соусом и картофелем фри (1200 р.)
- Паста болоньезе (700 р.)

**Десерты:**
- Тирамису (400 р.)
- Совный торт (500 р.)
- Фруктовый салат (300 р.)

Вы можете сделать заказ по этому меню или запросить что-то другое. Мы также предлагаем широкий выбор напитков, включая вина, пиво и безалкогольные напитки.

Ждем вашего заказа!",0
2006,70,1313,74,1271,62,"Добро пожаловать в ресторан «Маяк». Мы рады предложить вам нашу специальную меню на сегодня.

**Закуски:**
- Салат из свежих овощей с vinaigrette соусом (500 р.)
- Запеченный помидор с базиликом и пармезаном (400 р.)
- Куриные шашлыки с соусом из йогурта и мяты (600 р.)

**Основное блюдо:**
- Жареная рыба с лимонным соусом и овощами (800 р.)
- Стейк из говядины с грибным соусом и картофелем фри (1200 р.)
- Паста болоньезе (700 р.)

**Десерты:**
- Тирамису (400 р.)
- Совный торт (500 р.)
- Фруктовый салат (300 р.)

Вы можете сделать заказ по этому меню или запросить что-то другое. Мы также предлагаем широкий выбор напитков, включая вина, пиво и безалкогольные напитки.

Ждем вашего заказа!",0
2010,89,1426,82,1402,78,А,0
