File,Row,Column,Length_Orig,Length_Trans,Diff_%,Original,Translated
lake.csv,79,name,5,25,400.0,Inari,&lt; &lt; Инари &gt; &gt;
lake.csv,104,name,6,26,333.3,Nam Co,&lt; &lt; Нам Ко &gt; &gt;
geo_source.csv,200,river,4,13,225.0,Drin,Длинная кость
located.csv,232,city,9,28,211.1,La Spezia,&lt; &lt; Ласпезия &gt; &gt;
geo_estuary.csv,136,river,4,13,225.0,Drin,Длинная кость
city.csv,77,name,8,29,262.5,Albacete,&lt; &lt; Альбацете &gt; &gt;
geo_island.csv,216,island,12,47,291.7,Grande Terre,Организация &lt; &lt; Новая Каледония &gt; &gt;
islandin.csv,201,island,12,47,291.7,Grande Terre,Организация &lt; &lt; Новая Каледония &gt; &gt;
islandin.csv,290,island,12,47,291.7,Grande Terre,Организация &lt; &lt; Новая Каледония &gt; &gt;
geo_desert.csv,127,desert,6,62,933.3,Qaidam,Организация &lt; &lt; Организация Объединенных Нац...
river.csv,138,river,4,13,225.0,Drin,Длинная кость
geo_lake.csv,115,lake,6,26,333.3,Nam Co,&lt; &lt; Нам Ко &gt; &gt;
desert.csv,46,name,6,62,933.3,Qaidam,Организация &lt; &lt; Организация Объединенных Нац...
organization.csv,37,name,14,43,207.1,United Nations,В настоящий отчет могут вноситься поправки.
