constructorstandingsid,raceid,constructorid,points,position,positiontext,wins
146,31,9,26.0,7,7,0
689,83,18,7.0,10,10,0
2456,227,18,0.0,11,11,0
2485,230,25,5.0,8,8,0
4744,282,18,7.0,7,7,0
5253,207,20,2.0,4,4,0
5277,209,25,0.0,8,8,0
5451,176,6,18.0,1,1,1
5467,177,20,1.0,8,8,0
5667,145,3,18.0,3,3,1
6076,117,7,5.0,9,9,0
6177,94,6,82.0,1,1,5
6190,95,16,40.0,3,3,0
6209,97,3,36.0,4,4,0
7816,331,3,42.0,3,3,2
8474,317,26,1.0,12,12,0
8515,320,22,38.5,4,4,1
8950,364,39,1.0,15,15,0
9236,376,44,0.0,16,16,0
9253,377,39,0.0,16,16,0
9643,401,39,0.0,13,13,0
9944,422,50,0.0,11,11,0
9960,423,21,6.0,5,5,0
10076,427,3,23.0,4,4,1
10140,431,3,25.0,4,4,1
10178,433,53,0.0,15,15,0
10460,450,34,37.0,4,4,2
10616,460,45,0.0,15,15,0
10622,461,21,4.0,9,9,0
11216,492,32,13.0,7,7,0
11239,494,51,3.0,11,11,0
17790,769,105,3.0,5,5,0
19039,747,104,0.0,6,6,0
19086,751,118,0.0,11,11,0
19108,753,106,0.0,11,11,0
19134,755,106,0.0,9,9,0
19325,738,95,2.0,3,3,0
19887,726,172,51.0,1,1,5
19891,726,170,21.0,4,4,0
20167,718,183,30.0,4,4,2
20397,702,186,0.0,12,12,0
20634,691,66,9.0,2,2,1
20795,683,194,3.0,10,10,0
20934,668,191,4.0,4,4,0
21755,639,66,21.0,3,3,1
22822,588,63,0.0,14,14,0
22882,562,58,4.0,4,4,0
22943,565,63,2.0,11,11,0
23082,572,27,20.0,4,4,0
23098,573,67,19.0,6,6,1
23121,574,70,0.0,16,16,0
23218,548,32,24.0,3,3,2
23300,553,32,47.0,2,2,4
23387,557,69,0.0,20,20,0
23431,527,3,0.0,12,12,0
23461,528,60,0.0,15,15,0
24218,526,21,5.0,9,9,0
24222,526,59,0.0,14,14,0
24260,339,10,18.0,6,6,0
24271,340,131,60.0,4,4,0
24355,346,131,126.0,4,4,0
24666,841,205,0.0,7,7,0
25065,875,6,290.0,2,2,3
25202,886,6,145.0,2,2,2
25416,217,6,74.0,1,1,3
26426,945,131,703.0,1,1,16
26428,945,3,257.0,3,3,0
26562,948,10,6.0,6,6,0
26583,959,210,28.0,8,8,0
26858,981,5,40.0,6,6,0
