driverid,driverref,number,code,forename,surname,dob,nationality,url
2,Хайдфельд,,Привет.,Ник,Хайдфельд,1977-05-10,Немецкий,http://en.wikipedia.org/wiki/Nick_Heidfeld
3,Росберг,6.0,ROS,Нико,Росберг,1985-06-27,Немецкий,http://en.wikipedia.org/wiki/Nico_Rosberg
22,Баррихелло,,БАР,Рубены,Баррихелло,1972-05-23,Бразилия,http://en.wikipedia.org/wiki/Rubens_Barrichello
27,Альберы,,ALB,Кристиджан,Альберы,1979-04-16,Датч,http://en.wikipedia.org/wiki/Cristijan_Albers
31,Монтойя,,МОН,Хуан,Пабло Монтойя,1975-09-20,Колумбия,http://en.wikipedia.org/wiki/Juan_Pablo_Montoya
81,Болезни,,,Джанни,Морбиделли,1968-01-13,Итальянский,http://en.wikipedia.org/wiki/Gianni_Morbidelli
100,комы,,,Эрик,Кома,1963-09-28,Французский,http://en.wikipedia.org/wiki/%C3-89rik_Comas
108,Белмондо,,,Пол,Бельмондо,1963-04-23,Французский,http://en.wikipedia.org/wiki/Pol_Belmondo
128,poele,,,Эрик,Ван де Поле,1961-09-30,Бельгийский,http://en.wikipedia.org/wiki/Eric_van_de_Poele
150,Гэри_brabham,,,Гэри,Брэбхэм,1961-03-29,Австралия,http://en.wikipedia.org/wiki/Gary_Brabham
199,Рейтман,,,Карлос,Рейтманн,1942-04-12,Аргентина,http://en.wikipedia.org/wiki/Carlos_Reutemann
258,Нев,,,Патрик,Нев,1949-10-13,Бельгийский,http://en.wikipedia.org/wiki/Patrick_Neve
265,редварды,,,Парень,Эдвардс,1942-12-30,Британские,http://en.wikipedia.org/wiki/Guy_Edwards
275,Ломбарди,,,Лалла,Ломбарди,1941-03-26,Итальянский,http://en.wikipedia.org/wiki/Lella_Lombardi
287,хэми,,,Масахиро,Хасеми,1945-11-13,Японский,http://en.wikipedia.org/wiki/Masahiro_Hamemi
304,хульм,,,Дэнни,Хульме,1936-06-18,Новозеландец,http://en.wikipedia.org/wiki/Denny_Hulme
307,Хэнли,,,Howden,Гэнли,1941-12-24,Новозеландец,http://en.wikipedia.org/wiki/Howden_Ganley
355,Неожиданно,,,Джон,Пушки,1933-06-21,Канада,http://en.wikipedia.org/wiki/John_Cannon_(auto_racer)
367,Вестбери,,,Питер,Вестбери,1938-05-26,Британские,http://en.wikipedia.org/wiki/Peter_Westbury
375,Шрамфиотти,,,Людовико,Скарфиотти,1933-10-18,Итальянский,http://en.wikipedia.org/wiki/Ludovico_Scarfiotti
382,Солана,,,Моисе,Солана,1935-12-26,Мексика,http://en.wikipedia.org/wiki/Mois%C3%A9s_Solana
394,Багхетти,,,Джанкарло,Багетти,1934-12-25,Итальянский,http://en.wikipedia.org/wiki/Giancarlo_Baghetti
416,Клэпхем,,,Дэвид,Клэпхем,1931-05-18,Южная Африка,http://en.wikipedia.org/wiki/David_Clapham
429,andre_pilette,,,Андре,Пилетта,1918-10-06,Бельгийский,http://en.wikipedia.org/wiki/Andr%C3%A9_Pilette
431,бритва,,,Эдгар,Барт,1917-01-26,Немецкий,http://en.wikipedia.org/wiki/Edgar_Barth
435,Мадемуазель,,,Вилли,Мадемуазель,1928-10-01,Бельгийский,http://en.wikipedia.org/wiki/Willy_Mairesse
484,Нейлор,,,Брайан,Нейлор,1923-03-24,Британские,http://en.wikipedia.org/wiki/Brian_Naylor
515,орехи тенгельстада,,,Бад,Тингельстад,1928-04-04,Американцы,http://en.wikipedia.org/wiki/Bud_Tingelstad
545,Игра,,,Фред,Азартные игры,1932-03-17,Американцы,http://en.wikipedia.org/wiki/Fred_Gamble_(gacing_driver)
566,Шелби,,,Кэррол,Шелби,1923-01-11,Американцы,http://en.wikipedia.org/wiki/Carroll_Shelby
568,Шрифты,,,Аздрубаль,Шрифты,1922-12-26,Уругвай,http://en.wikipedia.org/wiki/Azdrubal_Fontes
570,билль_мос,,,Билл,Мосс,1933-09-04,Британские,http://en.wikipedia.org/wiki/Bill_Moss_(gacing_driver)
572,Бланшёрд,,,Гарри,Бланшар,1929-06-13,Американцы,http://en.wikipedia.org/wiki/Harri_Blanchard
575,Сказал,,,Боб,Сказал,1932-05-05,Американцы,http://en.wikipedia.org/wiki/Bob_Said
599,Бифш,,,Искусство,Биш,1926-11-10,Американцы,http://en.wikipedia.org/wiki/Art_Bisch
603,Guelfi,,,Андре,Гельфи,1919-05-06,Французский,http://en.wikipedia.org/wiki/Andr%C3%A9_Guelfi
619,Жирдяй,,,Боб,Жерар,1914-01-19,Британские,http://en.wikipedia.org/wiki/Bob_Gerard
634,&lt; &lt; Скотти &gt; &gt;,,,Пьеро,Скотти,1909-11-11,Итальянский,http://en.wikipedia.org/wiki/Piero_Scotti
642,Фарина,,,Нино,Фарина,1906-10-30,Итальянский,http://en.wikipedia.org/wiki/Nino_Farina
653,Деви,,,Джимми,Дейвис,1929-08-08,Американцы,http://en.wikipedia.org/wiki/Jimmy_Davies
