raceid,year,round,circuitid,name,date,time,url
14,2009,14,15,Гран-при Сингапура,2009-09-27,12:00:00,http://en.wikipedia.org/wiki/2009_Сингапур_Grand_Prix
18,2008,1,1,Австралийский Гран-при,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix
25,2008,8,8,Гран-при Франции,2008-06-22,12:00:00,http://en.wikipedia.org/wiki/2008_French_Grand_Prix
30,2008,13,13,Гран-при Бельгии,2008-09-07,12:00:00,http://en.wikipedia.org/wiki/2008_Belgian_Grand_Prix
55,2006,3,1,Австралийский Гран-при,2006-04-02,14:00:00,http://en.wikipedia.org/wiki/2006_Australian_Grand_Prix
57,2006,5,20,Европейский Гран-при,2006-05-07,14:00:00,http://en.wikipedia.org/wiki/2006_European_Grand_Prix
63,2006,11,8,Гран-при Франции,2006-07-16,14:00:00,http://en.wikipedia.org/wiki/2006_France_Grand_Prix
70,2006,18,18,Гран-при Бразилии,2006-10-22,14:00:00,http://en.wikipedia.org/wiki/2006_Brazilian_Grand_Prix
90,2004,1,1,Австралийский Гран-при,2004-03-07,,http://en.wikipedia.org/wiki/2004_Australian_Grand_Prix
93,2004,4,21,Гран-при Сан-Марино,2004-04-25,,http://en.wikipedia.org/wiki/2004_San_Marino_Grand_Prix
102,2004,13,11,Гран-при Венгрии,2004-08-15,,http://en.wikipedia.org/wiki/2004_Hungarian_Grand_Prix
112,2003,5,4,Гран-при Испании,2003-05-04,,http://en.wikipedia.org/wiki/2003_испанский_Grand_Prix
142,2001,2,2,Гран-при Малайзии,2001-03-18,,http://en.wikipedia.org/wiki/2001_Малайзиян_Grand_Prix
200,1998,10,23,Австрийский Гран-при,1998-07-26,,http://en.wikipedia.org/wiki/1998_amustrian_Grand_Prix
202,1998,12,11,Гран-при Венгрии,1998-08-16,,http://en.wikipedia.org/wiki/1998_Hungarian_Grand_Prix
216,1997,10,10,Гран-при Германии,1997-07-27,,http://en.wikipedia.org/wiki/1997_nerman_Grand_Prix
244,1995,5,6,Гран-при Монако,1995-05-28,,http://en.wikipedia.org/wiki/1995_Monaco_Grand_Prix
259,1994,3,21,Гран-при Сан-Марино,1994-05-01,,http://en.wikipedia.org/wiki/1994_San_Marino_Grand_Prix
264,1994,8,9,Гран-при Великобритании,1994-07-10,,http://en.wikipedia.org/wiki/1994_British_Grand_Prix
295,1992,7,7,Гран-при Канады,1992-06-14,,http://en.wikipedia.org/wiki/1992_Canadian_Grand_Prix
298,1992,10,10,Гран-при Германии,1992-07-26,,http://en.wikipedia.org/wiki/1992_nerman_Grand_Prix
317,1991,13,27,Португальский Гран-при,1991-09-22,,http://en.wikipedia.org/wiki/1991_Portuguese_Grand_Prix
319,1991,15,22,Гран-при Японии,1991-10-20,,http://en.wikipedia.org/wiki/1991_Японский_Grand_Prix
332,1990,12,14,Гран-при Италии,1990-09-09,,http://en.wikipedia.org/wiki/1990_Italian_Grand_Prix
357,1989,2,21,Гран-при Сан-Марино,1989-04-23,,http://en.wikipedia.org/wiki/1989_San_Marino_Grand_Prix
362,1989,7,34,Гран-при Франции,1989-07-09,,http://en.wikipedia.org/wiki/1989_French_Grand_Prix
392,1987,5,37,Гран-при &lt; &lt; Детройт &gt; &gt;,1987-06-21,,http://en.wikipedia.org/wiki/1987_Detroit_Grand_Prix
433,1985,14,38,Европейский Гран-при,1985-10-06,,http://en.wikipedia.org/wiki/1985_European_Grand_Prix
447,1984,12,23,Австрийский Гран-при,1984-08-19,,http://en.wikipedia.org/wiki/1984_amustrian_Grand_Prix
451,1984,16,27,Португальский Гран-при,1984-10-21,,http://en.wikipedia.org/wiki/1984_portuguese_Grand_Prix
534,1978,8,47,Шведский Гран-при,1978-06-17,,http://en.wikipedia.org/wiki/1978_Swedish_Grand_Prix
557,1977,15,46,Гран-при Соединенных Штатов,1977-10-02,,http://en.wikipedia.org/wiki/1977_United_ States_Grand_Prix
588,1975,13,14,Гран-при Италии,1975-09-07,,http://en.wikipedia.org/wiki/1975_Italian_Grand_Prix
591,1974,2,18,Гран-при Бразилии,1974-01-27,,http://en.wikipedia.org/wiki/1974_Brazilian_Grand_Prix
594,1974,5,50,Гран-при Бельгии,1974-05-12,,http://en.wikipedia.org/wiki/1974_Belgian_Grand_Prix
600,1974,11,20,Гран-при Германии,1974-08-04,,http://en.wikipedia.org/wiki/1974_nerman_Grand_Prix
602,1974,13,14,Гран-при Италии,1974-09-08,,http://en.wikipedia.org/wiki/1974_Italian_Grand_Prix
623,1972,4,6,Гран-при Монако,1972-05-14,,http://en.wikipedia.org/wiki/1972_Monaco_Grand_Prix
631,1972,12,46,Гран-при Соединенных Штатов,1972-10-08,,http://en.wikipedia.org/wiki/1972_United_ States_Grand_Prix
640,1971,9,14,Гран-при Италии,1971-09-05,,http://en.wikipedia.org/wiki/1971_Italian_Grand_Prix
663,1969,8,14,Гран-при Италии,1969-09-07,,http://en.wikipedia.org/wiki/1969_Italian_Grand_Prix
664,1969,9,48,Гран-при Канады,1969-09-20,,http://en.wikipedia.org/wiki/1969_Canadian_Grand_Prix
674,1968,8,20,Гран-при Германии,1968-08-04,,http://en.wikipedia.org/wiki/1968_nerman_Grand_Prix
