constructorid,constructorref,name,nationality,url
1,Макларен,МакЛарен,Британские,http://en.wikipedia.org/wiki/McLaren
2,bmw_sauber,BMW Sauber,Немецкий,http://en.wikipedia.org/wiki/BMW_Sauber
4,resnault,Рено,Французский,http://en.wikipedia.org/wiki/Renault_F1
5,Torro_rosso,Торо Россо,Итальянский,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
7,Toyota,Тойота,Японский,http://en.wikipedia.org/wiki/Toyota_Racing
10,сила_индиа,Войдите в Индию,Индейцы,http://en.wikipedia.org/wiki/Force_India
12,Спайкер,Спайкер,Датч,http://en.wikipedia.org/wiki/Spyker_F1
13,mf1,MF1,Русский,http://en.wikipedia.org/wiki/Midland_F1_Racing
14,Spyker_mf1,Спайкер MF1,Датч,http://en.wikipedia.org/wiki/Midland_F1_Racing
24,Стюарт,Стюарт,Британские,http://en.wikipedia.org/wiki/Stewart_Grand_Prix
26,Лола,Лола,Британские,http://en.wikipedia.org/wiki/MasterCard_Lola
29,работа на ногах,Футболка,Британские,http://en.wikipedia.org/wiki/Footwork_Arrows
30,Мирный,Тихоокеанский регион,Британские,http://en.wikipedia.org/wiki/Pacific_Racing
31,Симтек,Симтек,Британские,http://en.wikipedia.org/wiki/Simtek
33,Личинка,Лорушка,Французский,http://en.wikipedia.org/wiki/Larrousse
34,Брабхем,Брэбхэм,Британские,http://en.wikipedia.org/wiki/Brabham
35,Даллара,Даллара,Итальянский,http://en.wikipedia.org/wiki/Dallara
36,eldimetal,Фондметалл,Итальянский,http://en.wikipedia.org/wiki/Fondmetal
38,Мода,Андреа Мода,Итальянский,http://en.wikipedia.org/wiki/Andrea_Moda_Formula
39,ags,AGS,Французский,http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives
40,Ламбо,Ламбо,Итальянский,http://en.wikipedia.org/wiki/Modena_(gacing_team)
46,Оникс,Оникс,Британские,http://en.wikipedia.org/wiki/Onyx_(гонка_team)
47,жизнь,Жизнь,Итальянский,http://en.wikipedia.org/wiki/Life_(Racing_Team)
48,риал,Rial,Немецкий,http://en.wikipedia.org/wiki/Rial_%28racing_team%29
50,баран,ВДА,Британские,http://en.wikipedia.org/wiki/RAM_Racing
59,Волк,Волк,Канада,http://en.wikipedia.org/wiki/Walter_Wolf_Racing
60,Мерзарио,Мерзарио,Итальянский,http://en.wikipedia.org/wiki/Merzario
61,kauhsen,Каухсен,Немецкий,http://en.wikipedia.org/wiki/Kauhsen
