constructorresultsid,raceid,constructorid,points,status
59,23,5,4.0,
78,25,2,4.0,
220,39,2,5.0,
359,51,8,0.0,
505,65,1,8.0,
644,78,17,0.0,
769,91,3,8.0,
778,92,6,18.0,
859,100,1,10.0,
933,107,15,1.0,
1048,119,3,10.0,
1097,123,18,0.0,
1204,133,4,0.0,
1420,153,22,0.0,
1498,160,3,0.0,
1612,171,3,4.0,
1916,198,18,0.0,
1927,199,20,0.0,
2097,215,1,3.0,
2159,220,24,0.0,
2171,221,17,0.0,
2243,228,1,0.0,
2264,230,1,2.0,
2471,248,30,0.0,
2496,250,18,0.0,
2657,263,22,10.0,
2668,263,17,0.0,
2775,271,29,0.0,
2805,273,33,0.0,
2828,275,33,0.0,
3038,291,18,0.0,
3055,292,37,0.0,
3245,305,6,6.0,
3297,307,42,0.0,
3895,8,6,6.0,
3957,14,23,7.0,
4005,357,3,3.0,
4053,359,35,0.0,
4274,370,27,0.0,
4837,404,1,0.0,
5033,419,22,0.0,
5040,420,6,9.0,
5202,431,32,5.0,
5217,432,1,4.0,
5296,437,3,0.0,
5451,448,1,15.0,
5495,451,53,4.0,
5860,474,56,0.0,
5997,483,34,4.0,
6005,483,27,0.0,
6049,486,4,0.0,
6083,488,55,0.0,
6175,493,57,0.0,
6215,496,6,4.0,
6232,497,51,4.0,
6329,503,54,0.0,
6380,507,4,9.0,
10025,749,66,4.0,
10033,750,66,0.0,
10355,732,176,0.0,
10395,737,66,9.0,
10933,702,176,0.0,
11140,697,187,2.0,
11349,675,191,0.0,
11756,647,198,0.0,
11791,651,37,0.0,
12429,596,34,0.0,
12444,597,80,0.0,
12796,583,56,0.0,
13108,574,25,6.0,
13138,543,6,4.0,
13246,550,63,0.0,
13314,555,59,4.0,
13360,557,4,0.0,
13725,516,6,3.0,
13859,524,58,0.0,
13922,338,164,0.0,
14122,355,15,0.0,
14393,863,131,11.0,
14453,868,208,18.0,
14579,878,5,0.0,
14909,909,3,18.0,
15118,937,3,10.0,
15354,961,3,10.0,
15431,968,10,10.0,
15455,970,4,0.0,
