statusid,status
4,Столкновение
5,Двигатель
8,Сцепление
10,Электротехническое оборудование
11,+1 лап
12,+2 лапы
13,+3 лапы
17,+7 лапы
24,Дифференциальные
29,Прокол
32,Давление топлива
34,Давление воды
35,Заправка топливом
40,Электроника
41,Разбитое крыло
42,Пожар теплозащитных экранов
43,Выхлоп
44,Утечка нефти
45,+11 Лапы
47,Утечка воды
48,Топливный насос
49,Железнодорожный стержень
50,+17 Лапы
54,Снято
55,+12 лапы
61,Колесный орех
63,Пневматические
64,Обработка
65,Заднее крыло
66,Огонь
67,Колесный подшипник
68,Физическое
70,Нефтяная линия
71,Топливная установка
72,Контроль за запуском
73,Раненые
75,Потеря мощности
76,Вибрации
78,Безопасность
79,Водитель
80,3.2 Зажигание
81,Не отвечает требованиям
82,Увечье
83,Шасси
86,Полуслойный
87,Кранкшафт
88,+10 лапы
93,Ремень безопасности
95,Утечка топлива
97,Не проходил предквалификационный отбор
103,Водонасыщенный насос
106,Топливная труба
107,Повреждение глаз
108,Нефтяная труба
111,+14 лап
112,+15 лапы
113,+25 лап
114,+18 Лапы
115,+22 лапы
116,+16 лапы
117,+24 лапы
118,+29 лап
120,+21 лап
121,Магнито
123,+30 лап
128,+42 лапы
130,Ущерб от столкновения
132,ERS
133,+49 лап
135,Тормозной трубопровод
136,Сиденье
