year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1971,NHL,CHI,8,4,4,0,23,25,129.0,,3.0,,2.0,4.0,,2.0
1937,NHL,BOS,3,0,3,0,3,6,28.0,,,,,,,
2011,NHL,CHI,6,2,4,0,12,17,89.0,0.0,1.0,19.0,0.0,4.0,19.0,0.0
1969,NHL,NYR,6,2,4,0,16,25,169.0,,7.0,,2.0,6.0,,0.0
1946,NHL,DET,5,1,4,0,14,18,72.0,,,,,,,
1932,NHL,NYR,8,6,1,1,25,13,103.0,,,,,,,
1981,NHL,QUE,16,7,9,0,48,60,414.0,8.0,15.0,66.0,4.0,15.0,74.0,2.0
1927,NHL,BOS,2,0,1,1,2,5,32.0,,,,,,,
1985,NHL,TOR,10,6,4,0,40,33,284.0,0.0,12.0,48.0,1.0,9.0,45.0,0.0
1962,NHL,TOR,10,8,2,0,31,16,93.0,,,,,,,
1994,NHL,NYR,10,4,6,0,35,37,138.0,2.0,13.0,46.0,3.0,5.0,50.0,1.0
2011,NHL,LAK,20,16,4,0,57,30,238.0,6.0,12.0,94.0,0.0,6.0,76.0,5.0
2011,NHL,BOS,7,3,4,0,15,16,52.0,0.0,2.0,23.0,0.0,3.0,19.0,0.0
1918,NHL,MTL,5,4,1,0,26,18,87.0,,,,,,,
2000,NHL,DAL,10,4,6,0,22,26,116.0,2.0,5.0,43.0,1.0,6.0,47.0,0.0
1977,NHL,CHI,4,0,4,0,9,19,33.0,0.0,4.0,15.0,0.0,4.0,9.0,0.0
2003,NHL,COL,11,6,5,0,26,24,154.0,4.0,9.0,48.0,0.0,9.0,47.0,2.0
1982,NHL,VAN,4,1,3,0,14,17,136.0,0.0,2.0,20.0,0.0,4.0,18.0,0.0
1995,NHL,PIT,18,11,7,0,57,52,351.0,2.0,16.0,100.0,0.0,14.0,96.0,2.0
1963,NHL,TOR,14,8,6,0,39,31,262.0,,,,,,,
1938,NHL,TOR,10,5,5,0,22,20,86.0,,,,,,,
1930,NHL,BOS,5,2,3,0,13,13,66.0,,,,,,,
1945,NHL,CHI,4,0,4,0,7,26,68.0,,,,,,,
1987,NHL,EDM,19,16,2,1,87,56,635.0,8.0,32.0,117.0,,20.0,117.0,2.0
1982,NHL,MTL,3,0,3,0,2,8,51.0,0.0,1.0,13.0,0.0,2.0,7.0,0.0
1974,WHA,NEW,6,2,4,0,17,28,,,,,,,,
