playerid,coachid,hofid,firstname,lastname,namenote,namegiven,namenick,height,weight,shootcatch,legendsid,ihdbid,hrefid,firstnhl,lastnhl,firstwha,lastwha,pos,birthyear,birthmon,birthday,birthcountry,birthstate,birthcity,deathyear,deathmon,deathday,deathcountry,deathstate,deathcity
rileyja01,,,Джек,Райли,,Джон,,71.0,160.0,L,14122,14186.0,rileyja01,1932.0,1935.0,,,C,1910.0,12.0,29.0,Италия,,Беркенла,1994.0,,,,,
smithbr01,,,Брайан,Смит,,Брайан Стюарт,,72.0,180.0,L,14354,10560.0,smithbr01,1957.0,1960.0,,,L,1937.0,12.0,6.0,Канада,ВО ВСТРЕЧЕ,Крайтонная шахта,,,,,,
batyrru01,,,Руслан,Батыршин,,Руслан,,73.0,185.0,L,14880,18610.0,batyrru01,1995.0,1995.0,,,D,1975.0,2.0,19.0,Россия,,Москва,,,,,,
caronja01,,,Жак,Кэрон,,Жак Джозеф,,74.0,185.0,L,18460,833.0,caronja01,1967.0,1973.0,1975.0,1976.0,G,1940.0,4.0,21.0,Канада,QC,Руин-Норанда,,,,,,
kellype02,,,Пит,Келли,,Питер Кэмерон,Красный,71.0,170.0,Р,13176,14663.0,kellype01,1934.0,1941.0,,,Р,1913.0,5.0,22.0,Канада,БМ,Сент-Валенсия,2004.0,3.0,22.0,,,
devrigr01,,,Грег,Де Врис,,Грегори,,74.0,215.0,L,10208,10719.0,devrigr01,1995.0,2008.0,,,D,1973.0,1.0,4.0,Канада,ВО ВСТРЕЧЕ,Сундридж,,,,,,
bollada01,,,Дэйв,Болланд,,,,72.0,176.0,Р,21290,71780.0,bollada01,2006.0,2011.0,,,C,1986.0,6.0,5.0,Канада,ВО ВСТРЕЧЕ,Торонто,,,,,,
comeare01,,,Рэй,Комо,,Рейнальд Ксавье,,68.0,190.0,L,12302,1061.0,comeare01,1971.0,1979.0,,,C,1948.0,10.0,25.0,Канада,QC,Монреаль,,,,,,
tardima01,,,Марк,Тардиф,,Марк,,72.0,195.0,L,14507,5308.0,tardima01,1969.0,1982.0,1973.0,1978.0,L,1949.0,6.0,12.0,Канада,QC,Бабушка,,,,,,
conacpa01,,,Пэт,Концерт,,Патрик Джон,,68.0,190.0,L,10281,1069.0,conacpa01,1979.0,1995.0,,,L,1959.0,5.0,1.0,Канада,AB,Эдмонтон,,,,,,
robergo02,,robergo02h,Горд,Робертс,,Гордон Уильям,Док,71.0,180.0,L,P197102,,robergo01,,,,,L,1891.0,9.0,5.0,Канада,ВО ВСТРЕЧЕ,Оттава,1966.0,9.0,2.0,,,
travepa01,,,Патрик,Траверсная,,Патрик,,76.0,207.0,L,11656,6397.0,travepa01,1995.0,2005.0,,,D,1974.0,3.0,14.0,Канада,QC,Монреаль,,,,,,
sangubo01,,,Бобби,Сангинетти,,,,75.0,190.0,Р,,80230.0,sangubo01,2009.0,2011.0,,,D,1988.0,2.0,29.0,США,NJ,Трентон,,,,,,
cleghsp01,cleghsp01c,cleghsp01h,Спраг,Клегхорн,,Спрэг Хорейс,Пег,70.0,190.0,L,P195803,1024.0,cleghsp01,1918.0,1927.0,,,D,1890.0,3.0,11.0,Канада,QC,Монреаль,1956.0,7.0,12.0,Канада,QC,Монреаль
sheppja01,,,Джеймс,Шеппард,,,,74.0,210.0,L,21932,80487.0,sheppja01,2007.0,2009.0,,,C,1988.0,4.0,25.0,Канада,НС,Галифакс,,,,,,
zeniued01,,,Эд,Зеньюк,,Эдвард Уильям,,71.0,180.0,L,14748,11400.0,zeniued01,1954.0,1954.0,,,D,1933.0,3.0,8.0,Канада,SK,Лэндис,1996.0,4.0,14.0,Канада,AB,Эдмонтон
rockbha01,,,Харви,Рокбёрн,,Харви,Жесткий камень,70.0,180.0,L,14161,20346.0,rockbha01,1929.0,1932.0,,,D,1908.0,8.0,20.0,Канада,ВО ВСТРЕЧЕ,Оттава,1977.0,6.0,9.0,,,
,,tuttwi01h,Уильям,Татт,,Уильям Тайер,,,,,B197803,,,,,,,,1912.0,3.0,2.0,США,КА,Коронадо,1989.0,3.0,24.0,,,
scottla01,,,Лори,Скотт,,Лоуренс И.,,66.0,155.0,L,14259,22575.0,scottla01,1926.0,1927.0,,,L,1900.0,6.0,19.0,Канада,ВО ВСТРЕЧЕ,Южная река,1977.0,2.0,15.0,,,
deulija01,,,Ярретт,Деулирование,,Яррет Руфус,,72.0,205.0,L,10360,1348.0,deulija01,1995.0,1996.0,,,L,1974.0,3.0,4.0,Канада,БК,Вернон,,,,,,
playfji01,playfji01c,,Джим,Игровая ярмарка,,Джеймс,,76.0,200.0,L,11302,4317.0,playfji01,1983.0,1988.0,,,D,1964.0,5.0,22.0,Канада,БК,Вандерхуф,,,,,,
benzeji01,,,Джим,Бензелок,,Джеймс Джон,,70.0,185.0,Р,,8308.0,benzeji01,,,1972.0,1975.0,Р,1947.0,6.0,21.0,Канада,БМ,Виннипег,,,,,,
