type,code,fullname
Круглая,QF,Четверо-финал
Воспроизведение,AVC,Выиграл Кубок АВКО
Зал,WA,Конференция в Уэльсе
Отдел,Ред.,Восточный отдел
Отдел,Нет,Отдел Норриса
Отдел,АТ,Атлантический отдел
Воспроизведение,СКФ,Проиграл полуфинал Кубка Стэнли
Воспроизведение,SF,Потерянные полуфиналы NHL
Воспроизведение,CF,Проигранные итоговые документы конференции NHL
Отдел,АМ,Американский отдел
Воспроизведение,АВФ,Проиграл финал Кубка AVCO
Круглая,Предварительно,Предварительные данные
Воспроизведение,ЛСС,Вон Кубок Стэнли / Lost Challenge Series
Воспроизведение,ВТС,Серия &lt; &lt; Вон вызов &gt; &gt;
Круглая,СКФ,Кубок Стэнли Полуфинал
Отдел,ПК,Тихоокеанский отдел
Отдел,SM,Отдел Смайта
Воспроизведение,AVSF,Проиграл полуфинал Кубка АВКО
Круглая,РГ,Западный плейофф
Зал,КК,Конференция &quot; Кэмпбелл &quot;
Воспроизведение,WSF,Потерянные полуфиналы WCHL
Отдел,ХО,Отдел по делам женщин Канады
Воспроизведение,PRE,Проиграл предварительный раунд НХЛ
Зал,ЕС,Восточная конференция
Круглая,ПКФ,Финал Кубка Стэнли
Воспроизведение,ПК,Выиграл Кубок Стэнли
Воспроизведение,НФЧМ,Проигранные финалы NHL
Воспроизведение,AVQF,Проиграл четвертьфинала Кубка АВКО
Круглая,CQF,Квартира-финансы конференций
Круглая,РВК,Финал Кубка Авто
Круглая,DSF,Полуфинал
Отдел,WD,Западный отдел
Воспроизведение,DF,Проигранные финалы по разделу NHL
Воспроизведение,CQF,"Пропавшая конференция NHL, четверть финала"
Отдел,КА,Канадский отдел
Зал,ВК,Западная конференция
Круглая,CF,Заключительные документы Конференции
Воспроизведение,ПФ,Потерянные финалы PCHA
Отдел,НО,Северо-западный отдел
Воспроизведение,QF,Потерянный четвертьфинал NHL
Отдел,ЭВ,Восточная дивизия WHA
Круглая,F,Финал
Воспроизведение,WF,Потерянные финалы WCHL
Круглая,DF,Окончательные результаты по разделу
Отдел,WW,WHA West Division
Воспроизведение,ND,Финал Кубка Стэнли прекратился (эпидемия гриппа)
Отдел,PT,Отдел Патрика
Воспроизведение,DSF,Потерянные полуфиналы подкласса NHL
Воспроизведение,СФК,Пропавшие полуфиналы конференции NHL
Круглая,SF,Полуфинал
Отдел,Нет,Северо-восточный отдел
Воспроизведение,АВПРА,Проиграл предварительный раунд Кубка АВКО
Отдел,АД,Отдел Адамса
Отдел,SE,Юго-восточный отдел
Круглая,СФК,Полуфинал Конференции
Воспроизведение,НКАФ,Проигранные финалы NHA
Воспроизведение,F,Проиграл финал Кубка Стэнли
Отдел,СЕ,Центральный отдел
