year,hofid,name,category
1978,bathgan01h,Энди Батгейт,Игрок
1987,clarkbo01h,Бобби Кларк,Игрок
1962,humefr01h,Фред Хьюм,Строитель
2008,larioig01h,Игорь Ларионов,Игрок
1945,phillto01h,Томми Филлипс,Игрок
1978,plantja01h,Жак Планте,Игрок
1988,esposto01h,Тони Эспозито,Игрок
1979,howelha01h,Гарри Хоуэлл,Игрок
1966,brimsfr01h,Фрэнк Бримсек,Игрок
1983,sindeha01h,Гарри Синден,Строитель
2008,scapira01h,Рэй Скапинелло,Референт/Линсман
1949,bainda01h,Дэн Бейн,Игрок
1958,turnell01h,Ллойд Тёрнер,Строитель
2009,leetcbr01h,Брайан Литч,Игрок
2002,gillicl01h,Кларк Гиллис,Игрок
1985,cheevge01h,Джерри Чиверс,Игрок
1950,richage01h,Джордж Ричардсон,Игрок
1949,rossar01h,Арт Росс,Игрок
1947,taylocy01h,Циклон Тейлор,Игрок
1962,maxwest01h,Steamer Максвелл,Игрок
2001,gartnmi01h,Майк Гартнер,Игрок
1990,flamafe01h,Ферн Фламан,Игрок
2004,coffepa01h,Пол Коффи,Игрок
1993,lapoigu01h,Парень Лапойнт,Игрок
2000,mullejo01h,Джо Маллен,Игрок
2005,costemu01h,Мюррей Костелло,Строитель
2010,develji01h,Джим Девеллано,Строитель
1998,conacro01h,Рой Коначер,Игрок
2005,kharlva01h,Валери Харламов,Игрок
2004,fletccl01h,Клифф Флетчер,Строитель
2001,fetisvi01h,Виачеслав Фетисов,Игрок
1963,hewitbo01h,Бобби Хьюитсон,Референт/Линсман
1961,stuarbr02h,Брюс Стюарт,Игрок
1982,gilbero01h,Род Гилберт,Игрок
2009,yzermst01h,Стив Езерман,Игрок
1962,westwha01h,Гарри Вествик,Игрок
1950,malonjo01h,Джо Мэлоун,Игрок
1947,bowieru01h,Рассел Боуи,Игрок
1965,marshja02h,Джек Маршалл,Игрок
1960,kilpajo01h,Джон Килпатрик,Строитель
1969,hextabr01h,Брайан Хексалл,Игрок
2008,andergl01h,Гленн Андерсон,Игрок
1962,camerha01h,Гарри Кэмерон,Игрок
1988,parkbr01h,Брэд Парк,Игрок
1963,seibeea01h,Эрл Защищенный,Игрок
1981,ashlejo01h,Джон Эшли,Референт/Линсман
1964,campban01h,Ангус Кэмпбелл,Строитель
1974,coultar01h,Арт Коултер,Игрок
1968,hendyji01h,Джим Хенди,Строитель
1958,smythco01h,Конн Смайт,Строитель
1989,bauerda01h,Дэвид Бауэр,Строитель
1962,smithal03h,Альф Смит,Игрок
1962,roddemi01h,Майк Родден,Референт/Линсман
1976,gibsoja02h,Джек Гибсон,Строитель
2006,brookhe01h,Херб Брукс,Строитель
1965,hornere01h,Красный Хорнер,Игрок
1962,pitredi01h,Дидье Питр,Игрок
1993,shuttst01h,Стив Шатт,Игрок
1945,vezinge01h,Жорж Везина,Игрок
2007,gregoji01h,Джим Грегори,Строитель
1959,dennecy01h,Си Денни,Игрок
1993,knoxse01h,Сеймур Нокс,Строитель
1980,lumleha01h,Гарри Ламли,Игрок
2006,duffdi01h,Дик Дафф,Игрок
1964,stewaja01h,Джек Стюарт,Игрок
1945,gerared01h,Эдди Джерард,Игрок
1945,mcgeefr01h,Фрэнк МакГи,Игрок
1965,lockhth01h,Томми Локхарт,Строитель
2011,belfoed01h,Эд Белфур,Игрок
1987,pavelma03h,Мэтт Павелич,Референт/Линсман
1972,smithho01h,Хули Смит,Игрок
1963,goodfeb01h,Эбби Гудфеллоу,Игрок
1961,loicqpa01h,Пол Лойк,Строитель
1965,benedcl01h,Клинт Бенедикт,Игрок
1950,davidal01h,Скотти Дэвидсон,Игрок
1972,geoffbe01h,Берни Джеффрион,Игрок
1962,brownwa02h,Уолтер Браун,Строитель
2010,jamesan01h,Анжела Джеймс,Игрок
2006,hotchha01h,Харли Хотчкисс,Строитель
1985,mariujo01h,Джон Мариуччи,Строитель
1972,belivje01h,Жан Беливо,Игрок
2011,gilmodo01h,Даг Гилмур,Игрок
1991,armstne01h,Нил Армстронг,Референт/Линсман
1961,appssy01h,Syl Apps,Игрок
1982,cournyv01h,Иван Курнёйер,Игрок
1958,fredrfr01h,Фрэнк Фредриксон,Игрок
1984,esposph01h,Фил Эспозито,Игрок
1958,duttore01h,Красная Даттон,Игрок
2007,macinal01h,Аль МакИннис,Игрок
1962,mcgimbi01h,Билли МакГимси,Игрок
2005,neelyca01h,Кэм Нили,Игрок
1996,arboual01h,&lt; &lt; Арбур &gt; &gt;,Строитель
1960,bouchge01h,Джордж Бушер,Игрок
1958,clancki01h,Король Клэнси,Игрок
1962,gardnji01h,Джим Гарднер,Игрок
1966,blaketo01h,Носок Блейк,Игрок
1983,mikitst01h,Стэн Микита,Игрок
1978,bickejo01h,Джон Бикелл,Строитель
1974,tarasan01h,Анатолий Тарасов,Строитель
1958,irvindi01h,Дик Ирвин,Игрок
1950,grantmi01h,Майк Грант,Игрок
1947,sutheja01h,Джеймс Сазерленд,Строитель
1958,hayge01h,Джордж Хей,Игрок
1986,hanlebi01h,Билл Хэнли,Строитель
1975,pilotpi01h,Пьер Пилот,Игрок
1984,lemaija01h,Жак Лемер,Игрок
1994,watsoha02h,Гарри Ватсон,Игрок
1979,juckego01h,Гордон Джакс,Строитель
1950,drinkgr01h,Грэм Пить воду,Игрок
1971,jacksbu01h,Бушер Джексон,Игрок
1950,griffsi01h,Си Гриффис,Игрок
1962,hoopeto01h,Том Хупер,Игрок
1993,lapraed01h,Эдгар Лапраде,Игрок
1988,oconnbu01h,Приятель О'Коннор,Игрок
1995,torrebi01h,Билл Торри,Строитель
1975,bucklfr01h,Фрэнк Баклэнд,Строитель
1964,diliofr01h,Фрэнсис Дилио,Строитель
1976,wirtzwi01h,Уильям Вирц,Строитель
1970,lebelro01h,Боб Лебель,Строитель
1962,greensh01h,Короткий зелёный,Игрок
2000,savarde01h,Денис Савард,Игрок
1963,mclaufr01h,Фредерик Маклафлин,Строитель
1962,norrija03h,Джеймс Норрис,Строитель
1978,pronoma01h,Марсель Проновост,Игрок
1952,boondi01h,Дикки Бун,Игрок
1947,caldefr01h,Фрэнк Кальдер,Строитель
1960,selkefr01h,Фрэнк Селке,Строитель
1962,crawfru01h,Расти Кроуфорд,Игрок
1979,orrbo01h,Бобби Орр,Игрок
1947,joliaau01h,Аурел Джолиат,Игрок
1992,allenke01h,Кит Аллен,Строитель
1945,allanmo01h,Монтагу Аллан,Строитель
1962,broadpu01h,Удар по ширине,Игрок
1990,barbebi01h,Билл Барбер,Игрок
1985,olmstbe01h,Берт Ольмстед,Игрок
1945,stuarho01h,Ход Стюарт,Игрок
1961,schmimi01h,Милт Шмидт,Игрок
1971,wirtzar01h,Артур Вирц,Строитель
1966,kennete01h,Тед Кеннеди,Игрок
1958,raymodo01h,Донат Рэймонд,Строитель
1962,watsoha01h,Гарри Ватсон,Игрок
1958,bouchfr01h,Фрэнк Бушер,Игрок
1945,stanlfr01h,Фредерик Стэнли,Строитель
1961,brownge03h,Джордж Браун,Строитель
1965,russeer01h,Эрни Расселл,Игрок
1999,morriia01h,Скотти Моррисон,Строитель
1950,patrifr01h,Фрэнк Патрик,Строитель
1977,hortoti01h,Тим Хортон,Игрок
1995,robinla01h,Ларри Робинсон,Игрок
1962,obrieja01h,Амброуз О'Брайен,Строитель
1962,walshma01h,Марти Уолш,Игрок
1996,bauerbo01h,Бобби Бауэр,Игрок
2008,chynoed01h,Эд Чиновет,Строитель
1962,schrisw01h,Суини Шринер,Игрок
1974,ivanto01h,Томми Иван,Строитель
1980,worslgu01h,Гамп Уорсли,Игрок
2003,lafonpa01h,Пэт Лафонтен,Игрок
1960,walkeja01h,Джек Уокер,Игрок
2002,langwro01h,Род Лэнгвей,Игрок
1945,bakerho01h,Хоби Бейкер,Игрок
1974,burchbi01h,Билли Бёрч,Игрок
1974,dundeto01h,Томми Дандердейл,Игрок
1964,chadwbi01h,Билл Чедвик,Референт/Линсман
1991,bowmasc01h,Скотти Боуман,Строитель
