country_id,country,last_update
2,Алжир,"15 февраля 2006 года, среда"
4,Ангола,"15 февраля 2006 года, среда"
6,Аргентина,"15 февраля 2006 года, среда"
7,Армения,"15 февраля 2006 года, среда"
8,Австралия,"15 февраля 2006 года, среда"
9,Австрия,"15 февраля 2006 года, среда"
10,Азербайджан,"15 февраля 2006 года, среда"
11,Бахрейн,"15 февраля 2006 года, среда"
12,Бангладеш,"15 февраля 2006 года, среда"
13,Белоруссия,"15 февраля 2006 года, среда"
17,Болгария,"15 февраля 2006 года, среда"
18,Камбоджа,"15 февраля 2006 года, среда"
19,Камерун,"15 февраля 2006 года, среда"
21,Чад,"15 февраля 2006 года, среда"
22,Чили,"15 февраля 2006 года, среда"
24,Колумбия,"15 февраля 2006 года, среда"
25,"Конго, Демократическая Республика","15 февраля 2006 года, среда"
27,Доминиканская Республика,"15 февраля 2006 года, среда"
28,Эквадор,"15 февраля 2006 года, среда"
30,Эстония,"15 февраля 2006 года, среда"
31,Эфиопия,"15 февраля 2006 года, среда"
32,Фарерские острова,"15 февраля 2006 года, среда"
33,Финляндия,"15 февраля 2006 года, среда"
34,Франция,"15 февраля 2006 года, среда"
35,Французская Гвиана,"15 февраля 2006 года, среда"
37,Гамбия,"15 февраля 2006 года, среда"
38,Германия,"15 февраля 2006 года, среда"
39,Греция,"15 февраля 2006 года, среда"
40,Гренландия,"15 февраля 2006 года, среда"
41,Ватикан (Государство Ватикан),"15 февраля 2006 года, среда"
42,Гонконг,"15 февраля 2006 года, среда"
43,Венгрия,"15 февраля 2006 года, среда"
44,Индия,"15 февраля 2006 года, среда"
45,Индонезия,"15 февраля 2006 года, среда"
46,Иран,"15 февраля 2006 года, среда"
47,Ирак,"15 февраля 2006 года, среда"
48,Израиль,"15 февраля 2006 года, среда"
49,Италия,"15 февраля 2006 года, среда"
50,Япония,"15 февраля 2006 года, среда"
52,Кения,"15 февраля 2006 года, среда"
53,Кувейт,"15 февраля 2006 года, среда"
54,Латвия,"15 февраля 2006 года, среда"
55,Лихтенштейн,"15 февраля 2006 года, среда"
56,Литва,"15 февраля 2006 года, среда"
57,Мадагаскар,"15 февраля 2006 года, среда"
59,Малайзия,"15 февраля 2006 года, среда"
61,Молдавия,"15 февраля 2006 года, среда"
63,Мозамбик,"15 февраля 2006 года, среда"
64,Мьянма,"15 февраля 2006 года, среда"
65,Науру,"15 февраля 2006 года, среда"
66,Непал,"15 февраля 2006 года, среда"
67,Нидерланды,"15 февраля 2006 года, среда"
68,Новая Зеландия,"15 февраля 2006 года, среда"
69,Нигерия,"15 февраля 2006 года, среда"
70,Северная Корея,"15 февраля 2006 года, среда"
72,Пакистан,"15 февраля 2006 года, среда"
73,Парагвай,"15 февраля 2006 года, среда"
74,Перу,"15 февраля 2006 года, среда"
75,Филиппины,"15 февраля 2006 года, среда"
76,Польша,"15 февраля 2006 года, среда"
77,Пуэрто-Рико,"15 февраля 2006 года, среда"
78,Румыния,"15 февраля 2006 года, среда"
79,Рюнион,"15 февраля 2006 года, среда"
80,Российская Федерация,"15 февраля 2006 года, среда"
81,Сент-Винсент и Гренадины,"15 февраля 2006 года, среда"
83,Сенегал,"15 февраля 2006 года, среда"
84,Словакия,"15 февраля 2006 года, среда"
86,Южная Корея,"15 февраля 2006 года, среда"
87,Испания,"15 февраля 2006 года, среда"
88,Шри-Ланка,"15 февраля 2006 года, среда"
89,Судан,"15 февраля 2006 года, среда"
90,Швеция,"15 февраля 2006 года, среда"
91,Швейцария,"15 февраля 2006 года, среда"
92,Тайвань,"15 февраля 2006 года, среда"
93,Танзания,"15 февраля 2006 года, среда"
94,Таиланд,"15 февраля 2006 года, среда"
95,Тонга,"15 февраля 2006 года, среда"
96,Тунис,"15 февраля 2006 года, среда"
97,Турция,"15 февраля 2006 года, среда"
98,Туркмения,"15 февраля 2006 года, среда"
100,Украина,"15 февраля 2006 года, среда"
102,Соединенное Королевство,"15 февраля 2006 года, среда"
103,Соединенные Штаты Америки,"15 февраля 2006 года, среда"
105,Вьетнам,"15 февраля 2006 года, среда"
106,"Виргинские острова, США","15 февраля 2006 года, среда"
107,Ямен,"15 февраля 2006 года, среда"
108,Югославия,"15 февраля 2006 года, среда"
109,Замбия,"15 февраля 2006 года, среда"
