inventory_id,film_id,store_id,last_update
101,20,1,"15 февраля 2006 года, среда, 4:09 утра"
123,24,1,"15 февраля 2006 года, среда, 4:09 утра"
153,31,2,"15 февраля 2006 года, среда, 4:09 утра"
157,34,2,"15 февраля 2006 года, среда, 4:09 утра"
165,35,2,"15 февраля 2006 года, среда, 4:09 утра"
185,42,2,"15 февраля 2006 года, среда, 4:09 утра"
215,48,2,"15 февраля 2006 года, среда, 4:09 утра"
231,51,2,"15 февраля 2006 года, среда, 4:09 утра"
247,55,2,"15 февраля 2006 года, среда, 4:09 утра"
275,61,1,"15 февраля 2006 года, среда, 4:09 утра"
279,62,2,"15 февраля 2006 года, среда, 4:09 утра"
324,72,2,"15 февраля 2006 года, среда, 4:09 утра"
389,86,1,"15 февраля 2006 года, среда, 4:09 утра"
423,93,2,"15 февраля 2006 года, среда, 4:09 утра"
454,100,1,"15 февраля 2006 года, среда, 4:09 утра"
459,101,1,"15 февраля 2006 года, среда, 4:09 утра"
484,107,2,"15 февраля 2006 года, среда, 4:09 утра"
520,115,1,"15 февраля 2006 года, среда, 4:09 утра"
523,115,2,"15 февраля 2006 года, среда, 4:09 утра"
554,121,1,"15 февраля 2006 года, среда, 4:09 утра"
557,121,2,"15 февраля 2006 года, среда, 4:09 утра"
562,122,1,"15 февраля 2006 года, среда, 4:09 утра"
602,131,1,"15 февраля 2006 года, среда, 4:09 утра"
617,134,2,"15 февраля 2006 года, среда, 4:09 утра"
619,135,1,"15 февраля 2006 года, среда, 4:09 утра"
623,135,2,"15 февраля 2006 года, среда, 4:09 утра"
636,138,2,"15 февраля 2006 года, среда, 4:09 утра"
737,161,1,"15 февраля 2006 года, среда, 4:09 утра"
757,165,2,"15 февраля 2006 года, среда, 4:09 утра"
776,169,2,"15 февраля 2006 года, среда, 4:09 утра"
783,172,1,"15 февраля 2006 года, среда, 4:09 утра"
816,177,2,"15 февраля 2006 года, среда, 4:09 утра"
847,186,1,"15 февраля 2006 года, среда, 4:09 утра"
988,220,1,"15 февраля 2006 года, среда, 4:09 утра"
1033,231,2,"15 февраля 2006 года, среда, 4:09 утра"
1035,231,2,"15 февраля 2006 года, среда, 4:09 утра"
1120,248,2,"15 февраля 2006 года, среда, 4:09 утра"
1144,253,1,"15 февраля 2006 года, среда, 4:09 утра"
1188,265,1,"15 февраля 2006 года, среда, 4:09 утра"
