playerid,yearid,stint,teamid,lgid,pos,g,gs,innouts,po,a,e,dp,pb,wp,sb,cs,zr
lowebo01,1905,1,DET,AL,ОФ,24,,,45.0,5.0,1.0,0.0,,,,,
vaughfa01,1896,1,CIN,NL,1Б,57,,,572.0,29.0,10.0,35.0,,,,,
watkida01,1969,1,PHI,NL,3В,1,0.0,18.0,0.0,2.0,0.0,0.0,,,,,
edwarma01,1982,1,ML4,AL,ОФ,54,46.0,1253.0,119.0,2.0,2.0,1.0,,,,,
sheetla01,1985,1,BAL,AL,1Б,1,1.0,24.0,5.0,1.0,0.0,1.0,,,,,
loftoke01,1999,1,CLE,AL,ОФ,119,115.0,2974.0,256.0,11.0,3.0,3.0,,,,,
strinni01,1948,1,PIT,NL,П,3,,,1.0,1.0,0.0,0.0,,,,,
harribr01,2007,1,TBA,AL,Две-В,47,45.0,1212.0,75.0,96.0,1.0,26.0,,,,,
jeterjo01,1973,1,CHA,AL,RF,28,23.0,610.0,54.0,0.0,3.0,0.0,,,,,
bonege01,1901,1,MLA,AL,С,12,,,24.0,29.0,8.0,6.0,,,,,
lowese01,1999,1,CHA,AL,П,64,0.0,287.0,5.0,14.0,0.0,1.0,,,,,
grillja01,2000,1,FLO,NL,П,1,1.0,20.0,0.0,1.0,0.0,0.0,,,,,
katolja01,1901,1,CHA,AL,П,27,,,11.0,71.0,8.0,1.0,,,,,
braunst01,1983,1,SLN,NL,RF,5,4.0,96.0,5.0,0.0,0.0,0.0,,,,,
weisswa01,1998,1,ATL,NL,С,96,95.0,2368.0,97.0,257.0,12.0,63.0,,,,,
linzph01,1962,1,NYA,AL,Две-В,5,1.0,69.0,8.0,6.0,2.0,1.0,,,,,
pryorgr01,1984,1,KCA,AL,С,2,1.0,27.0,0.0,2.0,0.0,0.0,,,,,
johnsro02,1937,1,NYA,AL,ОФ,12,,,21.0,0.0,4.0,0.0,,,,,
postwa01,1960,1,PHI,NL,لف,18,15.0,358.0,34.0,1.0,0.0,0.0,,,,,
bolgeji01,1955,1,CHN,NL,ОФ,51,44.0,1156.0,125.0,1.0,6.0,0.0,,,,,
highan01,1925,1,BRO,NL,Две-В,11,,,27.0,34.0,4.0,6.0,,,,,
lathaar01,1888,1,SL4,AA,3В,133,,,178.0,287.0,62.0,19.0,,,,,
reeseke01,2006,1,NYA,AL,RF,2,1.0,33.0,1.0,0.0,0.0,0.0,,,,,
lagami01,1988,1,SLN,NL,1Б,37,24.0,721.0,293.0,17.0,0.0,26.0,,,,,
harriea01,1953,1,CHA,AL,П,7,,,1.0,1.0,1.0,0.0,,,,,
nixonru01,1963,1,BOS,AL,С,76,72.0,1935.0,483.0,22.0,4.0,1.0,5.0,21.0,19.0,9.0,0.0
pennybr01,2008,1,LAN,NL,П,19,17.0,284.0,6.0,17.0,1.0,2.0,,,,,
kilroma01,1887,1,BL2,AA,П,69,,,37.0,157.0,20.0,2.0,,,,,
incavpe01,1994,1,PHI,NL,لف,63,58.0,1407.0,90.0,2.0,2.0,0.0,,,,,
reedje03,2006,1,SEA,AL,CF,64,55.0,1522.0,129.0,3.0,1.0,0.0,,,,,
thronfa01,1956,1,BOS,AL,CF,2,0.0,39.0,5.0,0.0,0.0,0.0,,,,,
pettian01,2002,1,NYA,AL,П,22,22.0,404.0,8.0,27.0,2.0,0.0,,,,,
timmooz01,1999,1,SEA,AL,ОФ,17,8.0,234.0,12.0,0.0,0.0,0.0,,,,,
heldwo01,1958,2,CLE,AL,CF,37,25.0,701.0,78.0,3.0,3.0,1.0,,,,,
willima04,1992,1,SFN,NL,3В,144,140.0,3744.0,105.0,289.0,23.0,33.0,,,,,
labincl01,1961,1,PIT,NL,П,56,1.0,278.0,12.0,12.0,1.0,0.0,,,,,
nashbi01,1897,1,PHI,NL,С,19,,,51.0,51.0,13.0,6.0,,,,,
murraed02,1977,1,BAL,AL,لف,3,3.0,69.0,6.0,0.0,0.0,0.0,,,,,
francte01,1986,1,CHN,NL,لف,20,3.0,175.0,18.0,0.0,0.0,0.0,,,,,
goldeji01,1962,1,HOU,NL,П,37,18.0,459.0,10.0,29.0,2.0,1.0,,,,,
johnsja01,1966,1,CAL,AL,CF,13,10.0,289.0,30.0,0.0,0.0,0.0,,,,,
lazzeto01,1930,1,NYA,AL,1Б,1,,,3.0,0.0,0.0,1.0,,,,,
rosepe01,1970,1,CIN,NL,لف,1,0.0,9.0,0.0,0.0,0.0,0.0,,,,,
manniji01,1889,1,KC2,AA,Две-В,63,,,119.0,184.0,31.0,23.0,,,,,
sorenla01,1984,1,OAK,AL,П,46,21.0,550.0,15.0,18.0,1.0,3.0,,,,,
wiseca01,1960,1,DET,AL,Две-В,17,10.0,321.0,21.0,37.0,1.0,8.0,,,,,
ozunapa01,2008,2,LAN,NL,Две-В,27,3.0,245.0,17.0,32.0,0.0,4.0,,,,,
doyleja01,1892,1,CL4,NL,С,1,,,0.0,2.0,2.0,0.0,,,,,
getzgu01,1916,1,BRO,NL,С,7,,,12.0,20.0,1.0,2.0,,,,,
becklja01,1897,2,CIN,NL,1Б,97,,,830.0,45.0,19.0,56.0,,,,,
wisesa01,1881,1,DTN,NL,3В,1,,,1.0,3.0,3.0,0.0,,,,,
lakerti01,2005,1,TBA,AL,С,1,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jacksda04,2002,1,DET,AL,ДХ,4,,,,,,,,,,,
isbelfr01,1901,1,CHA,AL,1Б,137,,,1387.0,101.0,31.0,79.0,,,,,
incavpe01,1990,1,TEX,AL,RF,1,0.0,3.0,0.0,0.0,0.0,0.0,,,,,
stranpa01,1914,1,BSN,NL,П,16,,,0.0,13.0,3.0,1.0,,,,,
grantge01,1924,1,CHN,NL,3В,6,,,4.0,16.0,4.0,0.0,,,,,
snellch02,2007,2,OAK,AL,لف,1,1.0,27.0,1.0,0.0,0.0,0.0,,,,,
olivefr01,1990,1,SFN,NL,П,33,2.0,166.0,1.0,5.0,0.0,1.0,,,,,
fischbi01,1960,1,WS1,AL,П,20,7.0,231.0,5.0,18.0,0.0,3.0,,,,,
smith01,1884,1,BLU,UA,ОФ,1,,,0.0,0.0,0.0,0.0,,,,,
myettaa01,2001,1,TEX,AL,П,19,15.0,242.0,5.0,7.0,1.0,0.0,,,,,
gromest01,1955,1,DET,AL,П,28,25.0,542.0,12.0,22.0,1.0,2.0,,,,,
bennech01,1878,1,ML2,NL,С,35,,,176.0,31.0,42.0,4.0,25.0,,,,
robinfr02,1961,1,CIN,NL,ОФ,150,149.0,3906.0,284.0,15.0,3.0,3.0,,,,,
parkch01,2005,2,SDN,NL,П,10,9.0,137.0,4.0,6.0,0.0,0.0,,,,,
muldomi01,1885,1,BL2,AA,3В,101,,,103.0,184.0,43.0,16.0,,,,,
heldwo01,1967,2,CAL,AL,Две-В,3,1.0,45.0,2.0,6.0,0.0,1.0,,,,,
