yearid,round,teamidwinner,lgidwinner,teamidloser,lgidloser,wins,losses,ties
1999,НЛЦС,ATL,NL,NYN,NL,4,2,0
1976,НЛЦС,CIN,NL,PHI,NL,3,0,0
1999,ALDS1,BOS,AL,CLE,AL,3,2,0
1983,АЛКС,BAL,AL,CHA,AL,3,1,0
1990,НЛЦС,CIN,NL,PIT,NL,4,2,0
1926,ВВС,SLN,NL,NYA,AL,4,3,0
2001,НЛЦС,ARI,NL,ATL,NL,4,1,0
1943,ВВС,NYA,AL,SLN,NL,4,1,0
1997,НЛЦС,FLO,NL,ATL,NL,4,2,0
2009,ALDS1,NYA,AL,MIN,AL,3,0,0
1970,НЛЦС,CIN,NL,PIT,NL,3,0,0
1998,АЛКС,NYA,AL,CLE,AL,4,2,0
1922,ВВС,NY1,NL,NYA,AL,4,0,0
1984,АЛКС,DET,AL,KCA,AL,3,0,0
2009,АЛКС,NYA,AL,LAA,AL,4,2,0
2003,АЛДС-2,BOS,AL,OAK,AL,3,2,0
1986,НЛЦС,NYN,NL,HOU,NL,4,2,0
1929,ВВС,PHA,AL,CHN,NL,4,1,0
1982,ВВС,SLN,NL,ML4,AL,4,3,0
1996,АЛКС,NYA,AL,BAL,AL,4,1,0
2003,НЛЦС,FLO,NL,CHN,NL,4,3,0
1981,НЕДИВ,MON,NL,PHI,NL,3,2,0
2007,АЛДС-2,CLE,AL,NYA,AL,3,1,0
1968,ВВС,DET,AL,SLN,NL,4,3,0
1963,ВВС,LAN,NL,NYA,AL,4,0,0
2002,АЛКС,ANA,AL,MIN,AL,4,1,0
1993,НЛЦС,PHI,NL,ATL,NL,4,2,0
1973,НЛЦС,NYN,NL,CIN,NL,3,2,0
1983,ВВС,BAL,AL,PHI,NL,4,1,0
1976,АЛКС,NYA,AL,KCA,AL,3,2,0
2004,АЛДС-2,NYA,AL,MIN,AL,3,1,0
2009,НЛДС-2,PHI,NL,COL,NL,3,1,0
1978,АЛКС,NYA,AL,KCA,AL,3,1,0
2001,ВВС,ARI,NL,NYA,AL,4,3,0
2002,ALDS1,ANA,AL,NYA,AL,3,1,0
2012,ALDS1,NYA,AL,BAL,AL,3,2,0
1986,АЛКС,BOS,AL,CAL,AL,4,3,0
2003,НЛДС-2,CHN,NL,ATL,NL,3,2,0
1964,ВВС,SLN,NL,NYA,AL,4,3,0
1969,АЛКС,BAL,AL,MIN,AL,3,0,0
1945,ВВС,DET,AL,CHN,NL,4,3,0
1942,ВВС,SLN,NL,NYA,AL,4,1,0
1956,ВВС,NYA,AL,BRO,NL,4,3,0
2006,ALDS1,DET,AL,NYA,AL,3,1,0
2007,АЛКС,BOS,AL,CLE,AL,4,3,0
2000,ALDS1,NYA,AL,OAK,AL,3,2,0
2001,НЛДС-2,ARI,NL,SLN,NL,3,2,0
1905,ВВС,NY1,NL,PHA,AL,4,1,0
1975,ВВС,CIN,NL,BOS,AL,4,3,0
1921,ВВС,NY1,NL,NYA,AL,5,3,0
1918,ВВС,BOS,AL,CHN,NL,4,2,0
1971,ВВС,PIT,NL,BAL,AL,4,3,0
1985,ВВС,KCA,AL,SLN,NL,4,3,0
2000,НЛЦС,NYN,NL,SLN,NL,4,1,0
1991,ВВС,MIN,AL,ATL,NL,4,3,0
1984,ВВС,DET,AL,SDN,NL,4,1,0
1970,АЛКС,BAL,AL,MIN,AL,3,0,0
1987,АЛКС,MIN,AL,DET,AL,4,1,0
2000,НЛДС1,SLN,NL,ATL,NL,3,0,0
1971,АЛКС,BAL,AL,OAK,AL,3,0,0
1992,ВВС,TOR,AL,ATL,NL,4,2,0
2001,НЛДС1,ATL,NL,HOU,NL,3,0,0
1940,ВВС,CIN,NL,DET,AL,4,3,0
1972,ВВС,OAK,AL,CIN,NL,4,3,0
1981,АЛКС,NYA,AL,OAK,AL,3,0,0
