managerid,awardid,yearid,lgid,tie,notes
alstowa01m,TSN Manager of the Year,1959,ML,,
guilloz01m,BBWAA Manager of the year,2005,AL,,
bowala01m,BBWAA Manager of the year,2001,NL,,
torboje01m,BBWAA Manager of the year,1990,AL,,
lasorto01m,BBWAA Manager of the year,1988,NL,,
andersp01m,BBWAA Manager of the year,1987,AL,,
oatesjo01m,TSN Manager of the Year,1993,AL,,
penato01m,BBWAA Manager of the year,2003,AL,,
bakerdu01m,BBWAA Manager of the year,1997,NL,,
melvibo01m,TSN Manager of the Year,2007,NL,,
hodgegi01m,TSN Manager of the Year,1969,ML,,
torboje01m,TSN Manager of the Year,1990,AL,,
blackbu02m,BBWAA Manager of the year,2010,NL,,
foxch01m,TSN Manager of the Year,1971,ML,,
murtada01m,TSN Manager of the Year,1960,ML,,
oatesjo01m,TSN Manager of the Year,1996,AL,,
pinielo01m,BBWAA Manager of the year,2008,NL,,
leylaji99m,TSN Manager of the Year,1992,NL,,
southbi01m,TSN Manager of the Year,1942,ML,,
kellyto01m,BBWAA Manager of the year,1991,AL,,
coxbo01m,BBWAA Manager of the year,2004,NL,,
virdobi01m,TSN Manager of the Year,1980,ML,,
rolfere01m,TSN Manager of the Year,1950,ML,,
gardero01m,BBWAA Manager of the year,2010,AL,,
coxbo01m,BBWAA Manager of the year,1985,AL,,
meyerbi01m,TSN Manager of the Year,1948,ML,,
leylaji99m,TSN Manager of the Year,1988,NL,,
bauerha01m,TSN Manager of the Year,1966,ML,,
rodgebu01m,TSN Manager of the Year,1987,NL,,
tebbebi01m,TSN Manager of the Year,1956,ML,,
mckecbi01m,TSN Manager of the Year,1940,ML,,
pinielo01m,TSN Manager of the Year,2001,AL,,
freyji99m,BBWAA Manager of the year,1984,NL,,
ozarkda99m,TSN Manager of the Year,1976,ML,,
williji03m,TSN Manager of the Year,1999,AL,,
mckeoja99m,BBWAA Manager of the year,1999,NL,,
durocle01m,TSN Manager of the Year,1939,ML,,
johnsda02m,TSN Manager of the Year,1997,AL,,
leylaji99m,TSN Manager of the Year,2006,AL,,
wedgeer01m,TSN Manager of the Year,2007,AL,,
gibsoki01m,BBWAA Manager of the year,2011,NL,,
aloufe01m,BBWAA Manager of the year,1994,NL,,
virdobi01m,TSN Manager of the Year,1974,ML,,
lasorto01m,BBWAA Manager of the year,1983,NL,,
coxbo01m,BBWAA Manager of the year,1991,NL,,
hargrmi01m,TSN Manager of the Year,1995,AL,,
mccarjo99m,TSN Manager of the Year,1938,ML,,
leylaji99m,BBWAA Manager of the year,1992,NL,,
bakerdu01m,TSN Manager of the Year,2000,NL,,
coxbo01m,TSN Manager of the Year,2002,NL,,
girarjo01m,TSN Manager of the Year,2006,NL,,
baylodo01m,TSN Manager of the Year,1995,NL,,
hutchfr01m,TSN Manager of the Year,1957,ML,,
coxbo01m,TSN Manager of the Year,1993,NL,,
coxbo01m,BBWAA Manager of the year,2005,NL,,
stengca01m,TSN Manager of the Year,1949,ML,,
lasorto01m,TSN Manager of the Year,1988,NL,,
andersp01m,TSN Manager of the Year,1987,AL,,
southbi01m,TSN Manager of the Year,1941,ML,,
herzowh01m,TSN Manager of the Year,1982,ML,,
freyji99m,TSN Manager of the Year,1984,ML,,
larusto01m,BBWAA Manager of the year,1992,AL,,
melvibo01m,BBWAA Manager of the year,2007,NL,,
melesa01m,TSN Manager of the Year,1965,ML,,
johnsda02m,BBWAA Manager of the year,1997,AL,,
manueje01m,BBWAA Manager of the year,2000,AL,,
johnsda01m,TSN Manager of the Year,1975,ML,,
mckeoja99m,BBWAA Manager of the year,2003,NL,,
larusto01m,TSN Manager of the Year,1992,AL,,
coxbo01m,TSN Manager of the Year,1999,NL,,
lamonge01m,BBWAA Manager of the year,1993,AL,,
houkra01m,TSN Manager of the Year,1961,ML,,
coxbo01m,TSN Manager of the Year,1985,ML,,
showabu99m,BBWAA Manager of the year,1994,AL,,
leylaji99m,TSN Manager of the Year,1990,NL,,
mccarjo99m,TSN Manager of the Year,1936,ML,,
leylaji99m,BBWAA Manager of the year,2006,AL,,
manueje01m,TSN Manager of the Year,2000,AL,,
larusto01m,TSN Manager of the Year,1988,AL,,
smithma01m,TSN Manager of the Year,1968,ML,,
rodgebu01m,BBWAA Manager of the year,1987,NL,,
melvibo01m,BBWAA Manager of the year,2012,AL,,
zimmedo01m,TSN Manager of the Year,1989,NL,,
sewellu01m,TSN Manager of the Year,1944,ML,,
durocle01m,TSN Manager of the Year,1954,ML,,
