schoolid,schoolname,schoolcity,schoolstate,schoolnick
azusapac,Университет Азуны Пакфика,Азуза,Калифорния,Песчаные тигры
biolaca,Университет Биола,Ла Мирада,Калифорния,Орлы
california,Калифорнийский университет,Беркли,Калифорния,Золотая медведица
calpoly,"Калифорнийский политехнический университет, Сан-Луис-Обисло",Сан-Луис-Обиспо,Калифорния,Мустанги
calpolypom,Калифорнийский политехнический университет в Помбоне,Помона,Калифорния,Бонеры
calstfull,Калифорнийский государственный университет в Фулертоне,Фулертон,Калифорния,Титанами
calstla,Калифорнийский государственный университет в Лос-Анджелесе,Лос-Анджелес,Калифорния,Золотые орлы
calstnorth,Калифорнийский университет в Нортриже,Нордридж,Калифорния,Матадоры
calutheran,Калифорнийский лутеранский университет,Тысяча дубов,Калифорния,"""Форсаж"""
chapmanca,Университет Чапмана,Оранжевый,Калифорния,Пантеры
chicost,Калифорнийский университет в Чико,Шико,Калифорния,Дикие коты
clrmuddscr,Клемент-Макена Колледж,Клармонт,Калифорния,Обыкновенные олени
csdomhills,Калифорнийский государственный университет в Домингес-Хиллз,Кэрсон,Калифорния,Торы
cshayward,Калифорнийский университет в Хейварде,Хайвуд,Калифорния,Пионеры
csstanisl,Калифорнийский государственный университет в Стэнисоне,Тёрлок,Калифорния,Воины
fresnost,Калифорнийский университет штата Фресно,Фресно,Калифорния,Бульдоги
grossmont,Колледж Гроссмонт,Эль-Кахон,Калифорния,
humboldtst,Гумбольдский государственный университет,Арката,Калифорния,Лумберяды
laverneca,Университет Ла-Верн,Ла Верн,Калифорния,Леопарды
longbeach,Калифорнийский государственный университет в Лонг-Бич,Долгий пляж,Калифорния,"""Нинерс"""
loyolamary,Университет Лойолы Мэримунт,Лос-Анджелес,Калифорния,Львы
mastersca,Колледж Мастера,Санта-Кларита,Калифорния,Мустанги
occidental,Западный колледж,Лос-Анджелес,Калифорния,Тигры
pacific,Тихоокеанский университет,Стоуктон,Калифорния,Тигры
pepperdine,Университет Пеппердин,Малибу,Калифорния,Волны
pompitzer,Колледж Помона,Клармонт,Калифорния,Сажень
ptlomanaz,Университет Пойнт-Лома Назарен,Сан-Диего,Калифорния,Морские львы
sacstate,"Калифорнийский государственный университет, Сакраменто",Сарато,Калифорния,Пчёлы
sandiego,Университет Сан-Диего,Сан-Диего,Калифорния,Тореро
sandiegost,Государственный университет Сан-Диего,Сан-Диего,Калифорния,Ацтеки
sanfran,Университет Сан-Франциско,Сан-Франциско,Калифорния,Доны
sanfranst,Сан-Франциско Государственный Университет,Сан-Франциско,Калифорния,Алигаторы
sanjosest,Сан-Хосе Стейт Университет,Сан-Хосе,Калифорния,Спартанцы
santaclara,Университет Санта-Клары,Сан-Клара,Калифорния,Бонеры
sdcity,Сан-Диего Колледж города,Сан-Диего,Калифорния,Рыцари
sonomast,Сонора Скалет-Стейт-Университи,Рохнет-Парк,Калифорния,Морские волки
stanford,Стэнфордский университет,Пало-Альто,Калифорния,Кардинал
stmarysca,Колледж Святого Марии в Калифорнии,Морага,Калифорния,Гэлы
ucdavis,"Университет Калифорнии, Дейвис",Дэвис,Калифорния,Аггиз
ucirvine,"Университет Калифорнии, Ирвин",Ирвин,Калифорния,Лори́цы
ucla,Калифорнийский университет в Лос-Анджелесе,Лос-Анджелес,Калифорния,Брюинз
ucriver,Калифорнийский университет в Риверсайде,Риверсайд,Калифорния,Хайлендеры
ucsb,Университет Калифорнии в Санта-Барбаре,Санта-Барбара,Калифорния,Гуачи
ucsd,"Университет Калифорнии, Сан-Диего",Ла-Хойя,Калифорния,Тритоны
usc,Университет Южной Калифорнии,Лос-Анджелес,Калифорния,Троянские кони
vanguardca,Университет Вангарда Южной Калифорнии,Коста-Меса,Калифорния,Львы
westmontca,Западно-Монтажский колледж,Санта-Барбара,Калифорния,Воины
whittierca,Колледж Уиттиер,Уиттиер,Калифорния,поэты
abilchrist,Университет Абилена Кристиана,Абилин,ТХ,Дикие коты
adelphi,Университет Адельфи,Городской сад,НУ,Пантеры
adrianmi,Адрианский колледж,Адриан,МИ,Бульдоги
airforce,Академия ВВС США,Колорадо-Спрингс,КЛ,Соколы
akron,Университет Акрона,Акарон,О,Зипы
alabama,Университет Алабамы,Тускалуза,АЛ,Кримсон Тайд
alabamaam,Университет Алабамы А&М,Добрый день! Как я могу вам помочь?,АЛ,Бульдоги
