franchid,franchname,active,naassoc
DTN,Детройт Вулверинс,"Нет, я не могу предоставить вам перевод, потому что у вас нет запроса на перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью его выполню.",
KCN,Канзас-Сити Ковбои,"Нет, я не могу предоставить вам перевод, потому что у вас нет запроса на перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью его выполню.",
BUF,Баффало Бильз,"Нет, я не могу предоставить вам перевод, потому что у вас нет запроса на перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью его выполню.",
BFL,Баффало Бильз,"Нет, я не могу предоставить вам перевод, потому что у вас нет запроса на перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью его выполню.",
CPI,Чикаго/Питтсбург (Союзная лига),"Нет, я не могу предоставить вам перевод, потому что у вас нет запроса на перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью его выполню.",
WST,Вашингтон Стейтменс,"Нет, я не могу предоставить вам перевод, потому что у вас нет запроса на перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью его выполню.",
BLO,Балтимор Ориолс,"Нет, я не могу предоставить вам перевод, потому что у вас нет запроса на перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью его выполню.",
CNA,"Чикаго ""Белые стокинги""",Н/Д,ХСГ
NYY,Нью-Йорк Янкиз,Да,
KCC,Канзас-Сити Ковбои,"Нет, я не могу предоставить вам перевод, потому что у вас нет запроса на перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью его выполню.",
BWW,Вдохновленные Бруклином Вард,"Нет, я не могу предоставить вам перевод, потому что у вас нет запроса на перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью его выполню.",
SEA,"""Сиэтл Маринерс""",Да,
COR,Цинциннати Оутлар Редз,"Нет, я не могу предоставить вам перевод, потому что у вас нет запроса на перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью его выполню.",
CNR,"""Цинциннати Редс""","Нет, я не могу предоставить вам перевод, потому что у вас нет запроса на перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью его выполню.",
WES,Кёокк Уэстернз,Н/Д,
CHC,Чикаго Кабс,Да,КНБ
TBD,Тампа Бэй Рейс,Да,
BRD,Бостон Редс,"Нет, я не могу предоставить вам перевод, потому что у вас нет запроса на перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью его выполню.",
ARI,Аризона Даймондбэкс,Да,
PHQ,Филадельфийские Атлетики,"Нет, я не могу предоставить вам перевод, потому что у вас нет запроса на перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью его выполню.",
OLY,Олимпийские игры в Вашингтоне,Н/Д,
CFC,Кливленд Форест Сити́з,Н/Д,
WIL,Уильямингтон Квикстепс,"Нет, я не могу предоставить вам перевод, потому что у вас нет запроса на перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью его выполню.",
BLU,Балтиморские монументальные скульптуры,"Нет, я не могу предоставить вам перевод, потому что у вас нет запроса на перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью его выполню.",
PHI,Филадельфийские Филлис,Да,
WNT,Вашингтон Нэшнлс,Н/Д,
ATH,Филадельфийские Атлетики,"Нет, я не могу предоставить вам перевод, потому что у вас нет запроса на перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью его выполню.",НПЗ
TRT,Тройцы Трои,"Нет, я не могу предоставить вам перевод, потому что у вас нет запроса на перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью его выполню.",
ROC,Бронкос Рочестер,"Нет, я не могу предоставить вам перевод, потому что у вас нет запроса на перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью его выполню.",
BNA,Бостон Ред Стокингс,Н/Д,Атл
KCR,Канзас-Сити Роялс,Да,
TOR,Торонто Блю Джейс,Да,
LOU,Луизвилл Колонелы,"Нет, я не могу предоставить вам перевод, потому что у вас нет запроса на перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью его выполню.",
CEN,Филадельфийские столетия,Н/Д,
SLR,Сент-Луис Ред Стокингс,Н/Д,
BTT,Бруклин Тип-Топс,"Нет, я не могу предоставить вам перевод, потому что у вас нет запроса на перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью его выполню.",
RIC,Ричмондские Виргинияны,"Нет, я не могу предоставить вам перевод, потому что у вас нет запроса на перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью его выполню.",
CBK,Коламбус Бакс,"Нет, я не могу предоставить вам перевод, потому что у вас нет запроса на перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью его выполню.",
CLV,Кливленд Спиддеры,"Нет, я не могу предоставить вам перевод, потому что у вас нет запроса на перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью его выполню.",
SLM,Сент-Луис Маравонс,"Нет, я не могу предоставить вам перевод, потому что у вас нет запроса на перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью его выполню.",
CIN,"""Цинциннати Редс""",Да,
MIN,Миннесота Дувс,Да,
HNA,Хартфорд Дарк Блюз,Н/Д,ХАР
IND,Индиана Хузерз,"Нет, я не могу предоставить вам перевод, потому что у вас нет запроса на перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью его выполню.",
MLG,Милвоки Грейс,"Нет, я не могу предоставить вам перевод, потому что у вас нет запроса на перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью его выполню.",
STL,Сент-Луис Кардиналс,Да,
SBS,Сент-Луис Браун Стокинги,"Нет, я не могу предоставить вам перевод, потому что у вас нет запроса на перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью его выполню.",СНА
RES,Элизабет решает,Н/Д,
CBL,Кливленд Блюз,"Нет, я не могу предоставить вам перевод, потому что у вас нет запроса на перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью его выполню.",
