yearid,teamid,lgid,playerid,g_all,g_batting,g_defense,g_p,g_c,g_1b,g_2b,g_3b,g_ss,g_lf,g_cf,g_rf,g_of,g_dh,g_ph,g_pr
1912,PIT,NL,milledo02,148,,148,148,0,0,147,0,0,0,0,0,0,0,,
1925,PHI,NL,fribebe01,91,,91,91,1,1,0,77,14,0,0,0,0,0,,
1931,CHN,NL,grimmch01,146,,146,146,0,0,144,0,0,0,0,0,0,0,,
1983,BOS,AL,gedmari01,81,53.0,81,69,0,69,0,0,0,0,0,0,0,0,0.0,23.0
2005,COL,NL,dayza01,5,3.0,5,5,5,0,0,0,0,0,0,0,0,0,0.0,0.0
1987,TEX,AL,meridro01,11,0.0,0,11,11,0,0,0,0,0,0,0,0,0,0.0,0.0
1949,CIN,NL,corbicl01,44,,44,44,0,0,0,17,1,18,0,0,0,0,,
1930,CHA,AL,bergmo01,20,,20,20,0,20,0,0,0,0,0,0,0,0,,
2007,DET,AL,seaybo01,58,0.0,4,58,58,0,0,0,0,0,0,0,0,0,0.0,0.0
1939,BSN,NL,hillol01,2,,2,2,0,0,0,0,0,0,0,0,0,0,,
1900,PHI,NL,delahed01,131,,131,131,0,0,130,0,0,0,0,0,0,0,,
2003,ARI,NL,koplomi01,31,0.0,29,31,31,0,0,0,0,0,0,0,0,0,0.0,0.0
1981,SEA,AL,sernapa01,30,28.0,30,28,0,0,0,7,0,23,0,0,0,0,0.0,0.0
1977,ML4,AL,folkeri01,3,0.0,0,3,3,0,0,0,0,0,0,0,0,0,0.0,0.0
1979,HOU,NL,kniceal01,7,0.0,7,4,0,3,0,0,1,0,0,0,0,0,0.0,5.0
1965,NYA,AL,stottme01,37,,37,37,37,0,0,0,0,0,0,0,0,0,,
1958,PIT,NL,kluszte01,100,,100,100,0,0,72,0,0,0,0,0,0,0,,
2005,ATL,NL,francje02,70,65.0,70,67,0,0,0,0,0,0,0,0,67,67,0.0,2.0
1881,CL2,NL,moynami01,33,,33,33,0,0,0,0,1,0,32,0,0,32,,
2006,BOS,AL,ramirma02,130,128.0,130,123,0,0,0,0,0,0,123,0,0,123,5.0,2.0
2004,CIN,NL,bongju01,3,2.0,2,3,3,0,0,0,0,0,0,0,0,0,0.0,0.0
1990,SFN,NL,mitchke01,140,138.0,140,138,0,0,0,0,0,0,138,0,0,138,0.0,2.0
2000,LAN,NL,loducpa01,34,15.0,34,29,0,20,0,0,1,0,7,0,2,8,0.0,5.0
1975,SFN,NL,phillmi01,10,8.0,10,10,0,0,0,6,6,0,0,0,0,0,0.0,0.0
1918,SLA,AL,houckby01,27,,27,27,27,0,0,0,0,0,0,0,0,0,,
1975,BOS,AL,tiantlu01,35,0.0,1,35,35,0,0,0,0,0,0,0,0,0,0.0,0.0
1971,SLN,NL,torremi01,9,,9,9,9,0,0,0,0,0,0,0,0,0,,
1979,SDN,NL,dadepa01,76,68.0,76,72,0,0,0,0,70,0,1,3,0,4,0.0,5.0
1911,DET,AL,tutwigu01,13,,13,13,0,0,0,6,0,0,3,0,0,3,,
1978,CIN,NL,lacosmi01,17,15.0,17,16,16,0,0,0,0,0,0,0,0,0,0.0,1.0
1907,BOS,AL,youngcy01,46,,46,46,43,0,0,0,0,0,0,0,0,0,,
2002,NYA,AL,hitchst01,20,0.0,2,20,20,0,0,0,0,0,0,0,0,0,0.0,0.0
1927,SLN,NL,douthta01,130,,130,130,0,0,0,0,0,0,1,122,1,125,,
2004,CHN,NL,grievbe01,15,2.0,15,4,0,0,0,0,0,0,1,0,3,4,0.0,12.0
1996,SEA,AL,klinkjo01,3,0.0,0,3,3,0,0,0,0,0,0,0,0,0,0.0,0.0
2003,FLO,NL,nunezvl01,14,0.0,14,14,14,0,0,0,0,0,0,0,0,0,0.0,0.0
1913,CHA,AL,bergejo01,79,,79,79,0,0,0,71,1,4,0,0,0,0,,
1905,BRO,NL,mcintha01,45,,45,45,40,0,0,0,0,0,0,0,5,5,,
1988,HOU,NL,fishejo01,19,2.0,19,6,0,0,0,0,0,0,5,0,2,6,0.0,16.0
