playerid,yearid,teamid,lgid,round,pos,g,gs,innouts,po,a,e,dp,tp,pb,sb,cs
truckvi01,1945,DET,AL,ВВС,П,2,2,40,1,1,0,0,0,,0.0,0.0
guillca01,2006,DET,AL,АЛКС,1Б,4,3,93,27,2,1,4,0,,,
hunteto01,2002,MIN,AL,АЛКС,CF,5,5,123,11,0,0,0,0,,,
stanlmi02,1995,NYA,AL,АЛДС-2,С,4,4,105,30,0,1,0,0,0.0,3.0,0.0
oliveda02,2006,NYN,NL,НЛЦС,П,1,0,18,0,2,0,0,0,,0.0,0.0
mullige01,1907,DET,AL,ВВС,П,2,2,51,1,5,0,0,0,,7.0,2.0
ramirma02,2004,BOS,AL,ALDS1,لف,3,3,84,8,0,0,0,0,,,
johnsra05,2006,NYA,AL,ALDS1,П,1,1,17,0,2,0,0,0,,1.0,1.0
gonzaal01,2003,CHN,NL,НЛЦС,С,7,7,189,12,18,1,2,0,,,
coppiro01,1996,BAL,AL,АЛКС,П,1,1,16,1,1,0,0,0,,0.0,0.0
whitejo01,1934,DET,AL,ВВС,CF,7,7,186,21,0,1,0,0,,,
rogerke01,2006,DET,AL,ALDS1,П,1,1,23,1,1,0,0,0,,0.0,0.0
howarel01,1961,NYA,AL,ВВС,С,5,5,135,31,0,0,0,0,1.0,0.0,0.0
smithlo01,1985,KCA,AL,АЛКС,لف,7,7,164,8,3,1,0,0,,,
lopezhe01,1964,NYA,AL,ВВС,RF,1,0,3,0,0,0,0,0,,,
roberbi01,1997,CLE,AL,ВВС,لف,2,2,45,1,0,0,0,0,,,
webbsk01,1945,DET,AL,ВВС,С,7,7,180,9,24,0,2,0,,,
hallabi01,1934,SLN,NL,ВВС,П,1,1,25,1,3,1,0,0,,0.0,0.0
murraed02,1995,CLE,AL,ВВС,1Б,3,3,66,27,0,0,3,0,,,
peskyjo01,1946,BOS,AL,ВВС,С,7,7,183,13,17,4,5,0,,,
muldema01,2002,OAK,AL,АЛДС-2,П,2,2,39,0,4,0,0,0,,0.0,0.0
saberbr01,1985,KCA,AL,АЛКС,П,2,2,22,2,1,0,0,0,,0.0,0.0
cappsma01,2010,MIN,AL,АЛДС-2,П,1,0,3,0,0,0,0,0,,1.0,0.0
gonzaal02,2009,BOS,AL,АЛДС-2,С,3,3,69,3,4,1,0,0,,,
dimagjo01,1937,NYA,AL,ВВС,CF,5,5,132,18,0,0,0,0,,,
nixonot01,1992,ATL,NL,НЛЦС,CF,7,7,174,16,0,0,0,0,,,
