awardid,yearid,lgid,managerid,pointswon,pointsmax,votesfirst
Mgr of the year,1986,AL,corrapa01m,18,140,1
Mgr of the year,1998,NL,valenbo02m,5,160,0
Mgr of the year,1997,AL,collite99m,24,140,4
Mgr of the year,1997,NL,francte01m,2,140,0
Mgr of the year,1995,NL,johnsda02m,89,140,8
Mgr of the year,1994,NL,collite99m,31,140,0
Mgr of the year,2005,AL,torrejo01m,43,140,4
Mgr of the year,1989,NL,craigro01m,62,120,1
Mgr of the year,2008,NL,larusto01m,11,160,1
Mgr of the Year,2001,AL,howear01m,77,140,5
Mgr of the year,1994,AL,lamonge01m,17,140,0
Mgr of the Year,2001,NL,brenlbo01m,43,160,3
Mgr of the year,1994,NL,greenda02m,12,140,1
Mgr of the year,2004,NL,garneph01m,27,160,2
Mgr of the year,1988,AL,morgajo01m,89,140,9
Mgr of the year,1995,AL,kenneke99m,74,140,11
Mgr of the year,2004,NL,larusto01m,62,160,4
Mgr of the year,2000,AL,garneph01m,2,140,0
Mgr of the year,2008,NL,manuech01m,67,160,8
Mgr of the year,2010,NL,manuech01m,20,160,1
Mgr of the Year,2002,AL,torrejo01m,3,140,0
Mgr of the year,2009,AL,washiro01m,19,140,1
Mgr of the year,2004,NL,aloufe01m,4,160,0
Mgr of the year,2012,AL,washiro01m,2,140,0
Mgr of the year,1996,AL,howear01m,3,140,0
Mgr of the year,1993,AL,kenneke99m,28,140,3
Mgr of the year,2009,AL,leylaji99m,2,140,0
Mgr of the year,1994,AL,hargrmi01m,86,140,4
Mgr of the Year,2001,NL,tracyji01m,48,160,4
Mgr of the Year,2001,AL,pinielo01m,128,140,22
Mgr of the year,1992,AL,larusto01m,132,140,25
Mgr of the year,1991,NL,leylaji99m,74,120,9
Mgr of the Year,2003,AL,gardero01m,44,140,4
Mgr of the year,2000,AL,torrejo01m,5,140,0
Mgr of the year,1995,NL,collite99m,11,140,0
Mgr of the year,1984,NL,johnsda02m,72,120,4
Mgr of the year,2004,NL,tracyji01m,52,160,4
Mgr of the year,2011,NL,collite99m,1,160,0
Mgr of the year,1990,AL,torboje01m,128,140,23
Mgr of the year,2011,AL,girarjo01m,14,140,0
Mgr of the year,1997,NL,valenbo02m,7,140,0
Mgr of the year,1992,AL,gastoci01m,13,140,1
Mgr of the year,2010,AL,gastoci01m,5,140,1
Mgr of the year,2005,NL,yostne01m,7,160,0
Mgr of the year,2011,NL,manuech01m,10,160,0
Mgr of the year,1991,AL,kellyto01m,138,140,27
Mgr of the year,2008,NL,manueje01m,10,160,0
Mgr of the year,1993,NL,coxbo01m,27,140,0
Mgr of the Year,2002,AL,gardero01m,59,140,2
Mgr of the year,1990,NL,leylaji99m,99,120,17
Mgr of the year,2012,AL,showabu99m,108,140,12
Mgr of the year,1988,AL,kellyto01m,6,140,0
Mgr of the year,1993,AL,oatesjo01m,5,140,0
Mgr of the year,2000,NL,coxbo01m,41,160,1
Mgr of the year,1990,AL,lefebji01m,1,140,0
Mgr of the year,1991,AL,morgajo01m,16,140,0
Mgr of the year,1987,AL,edwardo01m,1,140,0
Mgr of the year,2008,NL,sveumda01m,1,160,0
Mgr of the Year,2001,AL,kellyto01m,25,140,1
Mgr of the year,2006,NL,narroje01m,6,160,0
Mgr of the year,2005,AL,wedgeer01m,71,140,6
