lahmanid,playerid,managerid,hofid,birthyear,birthmonth,birthday,birthcountry,birthstate,birthcity,deathyear,deathmonth,deathday,deathcountry,deathstate,deathcity,namefirst,namelast,namenote,namegiven,namenick,weight,height,bats,throws,debut,finalgame,college,lahman40id,lahman45id,retroid,holtzid,bbrefid
15,abbotky01,,,1968,2,18,США,МЭ,Ньюбери-Порт,,,,,,,Кайл,Аботт,,Лоуренс Кайл,,200,76,Добро пожаловать в ресторан «Секретное место»! Как я могу вам помочь?,Добро пожаловать в ресторан «Секретное место»! Как я могу вам помочь?,9/10/1991,8/24/1996,Каль-Стейт-Лонг-Бич,abbotky01,abbotky01,abbok001,abbotky01,abbotky01
52,adamsbo04,,,1952,1,6,США,ПА,Питтсбург,,,,,,,Боб,Адамс,,Роберт Мелвин,,200,74,r,r,7/10/1977,9/29/1977,УЦЛ,adamsbo04,adamsbo04,adamb105,adamsbo04,adamsbo04
72,adamswi02,,,1972,10,8,США,НМ,Галуп,,,,,,,Уилли,Адамс,,Уильям Эдвард,,215,79,r,r,6/11/1996,8/14/1997,Стэнфорд,adamswi02,adamswi02,adamw001,adamswi02,adamswi02
74,adamsmi01,,,1947,9,13,США,Калифорния,Сан-Диего,,,,,,,Майк,Адамсон,,Джон Майкл,,185,74,r,r,7/1/1967,5/7/1969,,adamsmi01,adamsmi01,adamm101,adamsmi01,adamsmi01
98,ahearpa01,,,1969,12,10,США,Калифорния,Сан-Франциско,,,,,,,Пэт,Ахерн,,Патрик Говард,,195,75,r,r,6/14/1995,6/30/1995,Пеппердин,ahearpa01,ahearpa01,aheap001,ahearpa01,ahearpa01
118,albrija01,,,1921,6,30,США,ФЛ,Санкт-Петербург,1991.0,7.0,22.0,США,Калифорния,Сан-Диего,Джек,Албрайт,,Гарольд Джон,,175,69,r,r,5/19/1947,7/27/1947,,albrija01,albrija01,albrj101,albrija01,albrija01
126,aldremi01,,,1961,1,29,США,Калифорния,Кармель,,,,,,,Майк,Альдрете,,Майкл Питер,,180,71,Добро пожаловать в ресторан «Секретное место»! Как я могу вам помочь?,Добро пожаловать в ресторан «Секретное место»! Как я могу вам помочь?,5/28/1986,9/29/1996,Стэнфорд,aldremi01,aldremi01,aldrm001,aldremi01,aldremi01
154,allendu01,,,1972,8,9,США,Хорошо.,Оклахома-Сити,,,,,,,Пыльный,Аллен,,,,215,76,r,r,7/1/2000,10/1/2000,,allendu01,allendu01,alled001,allendu01,allendu01
165,allenki01,,,1953,4,5,США,Калифорния,Фонтана,,,,,,,Ким,Аллен,,Ким Брайант,,175,71,r,r,9/2/1980,9/29/1981,Каль-Раскин,allenki01,allenki01,allek101,allenki01,allenki01
218,alvarga01,,,1974,3,6,Мексика,26,Навахо,,,,,,,Габе,Альварес,,,,185,73,r,r,6/22/1998,9/30/2000,,alvarga01,alvarga01,alvag001,alvarga01,alvarga01
229,amalfjo01,amalfjo01m,,1934,1,23,США,Калифорния,Сан-Педро,,,,,,,Джоэ,Амальфитан,,Джон Джозеф,,175,71,r,r,5/3/1954,6/27/1967,,amalfjo01,amalfjo01,amalj101,amalfjo01,amalfjo01
230,amarari01,,,1962,4,1,США,Калифорния,Висалия,,,,,,,Богатый,Амарал,,Ричард Луис,,175,72,r,r,5/27/1991,6/14/2000,УЦЛ,amarari01,amarari01,amarr001,amarari01,amarari01
232,amaroru02,,,1965,2,12,США,ПА,Филиадельфиа,,,,,,,Рuben,Ама́ро,,Рубен (младший),,170,70,Б,r,6/8/1991,9/27/1998,Стэнфорд,amaroru02,amaroru02,amarr002,amaroru02,amaroru02
234,amelued01,,,1959,4,13,США,Калифорния,Фулертон,,,,,,,Эд,Амеленг,,Эдвард Аллен,,180,71,Добро пожаловать в ресторан «Секретное место»! Как я могу вам помочь?,Добро пожаловать в ресторан «Секретное место»! Как я могу вам помочь?,7/28/1984,7/7/1986,Сан-Диего Стейт,amelued01,amelued01,amele001,amelued01,amelued01
246,anderbr01,,anderbr01h,1964,1,18,США,МД,Серебряная Весна,,,,,,,Бреди,Андерсен,,Бреди Кевин,,170,73,Добро пожаловать в ресторан «Секретное место»! Как я могу вам помочь?,Добро пожаловать в ресторан «Секретное место»! Как я могу вам помочь?,4/4/1988,5/20/2002,Каль-Ирвайн,anderbr01,anderbr01,andeb001,anderbr01,anderbr01
288,andrejo02,,,1949,2,9,США,Калифорния,Монтерей-Парк,,,,,,,Джон,Андровы,,Джон Ричард,,175,70,Добро пожаловать в ресторан «Секретное место»! Как я могу вам помочь?,Добро пожаловать в ресторан «Секретное место»! Как я могу вам помочь?,4/8/1973,9/19/1973,,andrejo02,andrejo02,andrj101,andrejo02,andrejo02
312,apodabo01,,,1950,1,31,США,Калифорния,Лос-Анджелес,,,,,,,Боб,Аподака,,Роберт Джон,,170,71,r,r,9/18/1973,9/18/1977,,apodabo01,apodabo01,apodb101,apodabo01,apodabo01
328,ardelda01,,,1941,5,27,США,Ва,Сеаттл,,,,,,,Дэн,Арделл,,Даниэль Мирс,,190,74,Добро пожаловать в ресторан «Секретное место»! Как я могу вам помочь?,Добро пожаловать в ресторан «Секретное место»! Как я могу вам помочь?,9/14/1961,9/27/1961,Университет Южной Калифорнии,ardelda01,ardelda01,arded101,ardelda01,ardelda01
332,arellfr01,,,1882,1,28,США,Калифорния,Сан-Круз,1918.0,12.0,13.0,США,Калифорния,Сан-Хосе,Франк,Ареланес,,Франк Джулian,,180,72,r,r,7/28/1908,8/14/1910,,arellfr01,arellfr01,arelf101,arellfr01,arellfr01
372,asadora01,,,1962,10,20,США,Калифорния,Фресно,,,,,,,Рэнди,Аса́дор,,Рэндалл Карл,,185,73,r,r,9/14/1986,10/5/1986,Фресно Стейт,asadora01,asadora01,asadr001,asadora01,asadora01
405,augusdo01,,,1963,7,3,США,Калифорния,Инглвуд,,,,,,,Дон,Август,,Дональд Гленн,,190,75,r,r,6/2/1988,10/1/1991,Чапман,augusdo01,augusdo01,augud001,augusdo01,augusdo01
416,austije01,,,1976,10,19,США,Калифорния,Сан-Бердандино,,,,,,,Джефф,Остин,,,,185,72,r,r,6/26/2001,5/28/2003,Стэнфорд,austije01,austije01,austj002,austije01,austije01
455,badgrre01,,,1902,12,1,США,Ва,Ориллия,1998.0,7.0,13.0,США,Ва,Кент,красный,Бадгро,,Моррис Хирам,,190,72,Добро пожаловать в ресторан «Секретное место»! Как я могу вам помочь?,r,6/20/1929,9/18/1930,,badgrre01,badgrre01,badgr101,badgrre01,badgrre01
499,bakerch02,,,1952,12,6,США,Ва,Сеаттл,,,,,,,Чак,Пекарь,,Шарль Жозеф,,180,71,r,r,4/7/1978,10/4/1981,Лойола Мэримонт,bakerch02,bakerch02,bakec101,bakerch02,bakerch02
500,bakerda01,,,1957,11,25,США,Я,Лаконика,,,,,,,Дэйв,Пекарь,,Дэвид Гленн,,185,72,Добро пожаловать в ресторан «Секретное место»! Как я могу вам помочь?,r,9/12/1982,9/29/1982,УЦЛ,bakerda01,bakerda01,baked101,bakerda01,bakerda01
548,ballje01,,,1969,4,17,США,Калифорния,Мерседа,,,,,,,Джефф,Мяч,,,,185,70,r,r,6/10/1998,6/16/1998,Сакраменто Си-си,ballje01,ballje01,ballj003,ballje01,ballje01
551,ballaje01,,,1963,8,13,США,МТ,Билингс,,,,,,,Джефф,Баллард,,Джеффри Скотт,,195,75,Добро пожаловать в ресторан «Секретное место»! Как я могу вам помочь?,Добро пожаловать в ресторан «Секретное место»! Как я могу вам помочь?,5/9/1987,7/8/1994,Стэнфорд,ballaje01,ballaje01,ballj002,ballaje01,ballaje01
590,barbest02,,,1948,3,13,США,МИ,Гран-Рапидс,,,,,,,Шэв,Барбер,,Стивен Ли,,190,73,r,r,4/9/1970,5/6/1971,,barbest02,barbest02,barbs101,barbest02,barbest02
593,barbebr01,,,1967,8,16,США,Калифорния,Долгий пляж,,,,,,,Бретт,Барбери,,Брет Эдвард,,185,71,Б,r,6/16/1991,6/22/1996,Университет Южной Калифорнии,barbebr01,barbebr01,barbb001,barbebr01,barbebr01
632,barnela01,,,1974,7,23,США,Калифорния,Бакерсфилд,,,,,,,Лэрри,Бернс,,,,195,73,Добро пожаловать в ресторан «Секретное место»! Как я могу вам помочь?,Добро пожаловать в ресторан «Секретное место»! Как я могу вам помочь?,4/11/2001,7/31/2003,,barnela01,barnela01,barnl001,barnela01,barnela01
653,barrji01,,barrji01h,1948,2,10,США,Калифорния,Линвуд,,,,,,,Джим,Барр,,Джеймс Лэндс,,205,75,r,r,7/31/1971,10/2/1983,,barrji01,barrji01,barrj101,barrji01,barrji01
656,barracu01,,,1932,6,20,США,Калифорния,Сарато,,,,,,,Куньо,Бараган,,Фаустино Энтони,,180,71,r,r,9/1/1961,4/21/1963,,barracu01,barracu01,barrc101,barracu01,barracu01
682,barryha01,,,1891,3,26,США,Калифорния,Сусэнвилл,1969.0,11.0,5.0,США,НВ,Карсон-Сити,Хардин,Барри,,Хардин,Финн,185,72,r,r,6/21/1912,7/13/1912,,barryha01,barryha01,barrh101,barryha01,barryha01
684,barryje01,,,1969,9,22,США,О'Р,Медфорд,,,,,,,Джефф,Барри,,Джеффри Финас,,190,73,Б,r,6/9/1995,10/3/1999,Сан-Диего Стейт,barryje01,barryje01,barrj001,barryje01,barryje01
712,bassno01,,,1939,1,21,США,Мएस,Лилек,,,,,,,Норма,Басс,,Норман Делани (мл.),,205,75,r,r,4/23/1961,4/26/1963,,bassno01,bassno01,bassn101,bassno01,bassno01
731,bathebi01,,,1960,10,14,США,Калифорния,Доуни,,,,,,,Билл,Омул,,Уильям Дэвид,,200,74,r,r,4/12/1986,10/3/1990,Пеппердин,bathebi01,bathebi01,bathb001,bathebi01,bathebi01
