city,province,country,island
Taitung,Taiwan,RC,Taiwan
Sancti Spiritus,Sancti Spiritus,C,Cuba
Blackpool,Lancashire,GB,Great Britain
Stanley,Falkland Islands,FALK,East Falkland
Southend on Sea,Essex,GB,Great Britain
Victoria,Seychelles,SY,Mahe
Truro,Cornwall,GB,Great Britain
Newark on Trent,Nottinghamshire,GB,Great Britain
Salford,Greater Manchester,GB,Great Britain
Funafuti,Tuvalu,TUV,Fongafale
Catania,Sicilia,I,Sicilia
Stockport,Greater Manchester,GB,Great Britain
Samarinda,Indonesia,RI,Borneo
Kolonia,Micronesia,FSM,Ponape
Suva,Fiji,FJI,Viti Levu
Manchester,Greater Manchester,GB,Great Britain
Kanazawa,Ishikawa,J,Honshu
Hsintien,Taiwan,RC,Taiwan
Tokyo,Tokyo,J,Honshu
Kediri,Indonesia,RI,Java
Oxford,Oxfordshire,GB,Great Britain
