country,organization,type
EAU,UNESCO,member
BS,UPU,member
MS,Intelsat,member
BS,UNESCO,member
S,IMF,member
Z,IOC,National Olympic Committee
CZ,ZC,member
LAR,IDB,member
BD,UPU,member
GQ,FZ,member
M,ICFTU,member
PNG,ACP,member
YE,IFRCS,member
USA,G-2,member
MK,UNIDO,member
JA,WFTU,member
UA,UNPREDEP,member
CAM,WTrO,member
ES,BCIE,member
RWA,IFAD,Category III
HR,Interpol,member
AZ,UNIDO,member
EC,NAM,member
SLO,PFP,member
MD,IDA,Part II
ZRE,Intelsat,member
NZ,IFAD,Category I
SA,Intelsat,member
DZ,Intelsat,member
IRL,IFRCS,member
F,ESCAP,member
CZ,FAO,member
NEP,Intelsat,member
HR,NAM,observer
MYA,ICRM,National Society
RCA,UPU,member
ET,WIPO,member
D,OAS,observer
