mountain,country,province
Changbai Shan,NOK,North Korea
Tupungato,RA,Mendoza
Humphreys Peak,USA,Arizona
Snaefell,IS,Iceland
Mt Elbert,USA,Colorado
Bjelucha,KAZ,Shyghys Qazaqstan
Makalu,TJ,Tibet
Ruwenzori,EAU,Uganda
Granite Peak,USA,Montana
Gran Sasso,I,Abruzzo
Ojos del Salado,RA,Tucuman
Kilimanjaro,EAT,Kilimanjaro
Monte Rosa,I,Valle dAosta
Sabalan,IR,Azarbayian e Sharqi
Mawenzi,EAT,Kilimanjaro
Illimani,BOL,Bolivia
Rinjani,RI,Indonesia
Tubkhal,MA,Morocco
Monte Falterona,I,Toscana
Pik Lenina,KGZ,Kyrgyzstan
Mauna Kea,USA,Hawaii
Ben Nevis,GB,Highland
K2,TJ,Xinjiang Uygur
Pik Chan-Tengri,KGZ,Kyrgyzstan
Kanlaon,RP,Philippines
Makalu,NEP,Nepal
Finsteraarhorn,CH,BE
Pik Pobeda,KGZ,Kyrgyzstan
Mt Mitchell,USA,North Carolina
Mt. Giluwe,PNG,Papua New Guinea
Kailash,TJ,Tibet
Monte Pissis,RA,Tucuman
Karisimbi,ZRE,Kivu
Grand Ballon,F,Lorraine
Kings Peak,USA,Utah
Tambora,RI,Indonesia
Kasbek,R,Rep. of North Ossetiya
