country,gdp,agriculture,service,industry,inflation
DK,112800.0,3.0,23.5,73.5,2.4
F,1173000.0,2.4,26.5,71.1,1.7
NL,301900.0,3.4,26.9,69.7,2.25
PL,226700.0,7.0,38.0,55.0,21.6
RN,5500.0,38.5,17.9,43.6,35.6
L,10000.0,1.4,33.7,64.9,3.6
BD,144500.0,,,,4.5
HCA,10800.0,30.0,20.0,50.0,30.0
PA,13600.0,10.0,16.0,74.0,1.1
MW,6900.0,31.0,14.0,55.0,83.3
K,7000.0,52.0,13.5,34.5,6.0
B,197000.0,2.0,28.0,70.0,1.6
UZB,54700.0,,,,7.7
SYR,91200.0,30.0,25.0,45.0,15.1
NOK,21500.0,25.0,60.0,15.0,
AZ,11500.0,,,,85.0
THA,416700.0,10.2,30.6,59.2,5.8
GBJ,,,,,
PK,274200.0,24.0,27.0,49.0,13.0
TO,228.0,40.0,,,3.0
MD,10400.0,33.0,36.0,31.0,24.0
AXA,53.0,,,,4.0
WD,200.0,26.0,,,0.4
WAFU,60.0,,,,
EC,44600.0,13.0,39.0,48.0,25.0
BHT,1300.0,,,,8.6
NZ,62300.0,7.3,25.9,66.8,2.0
MNE,4515.0,,,,3.4
MYA,47000.0,60.0,10.0,30.0,38.0
DZ,108700.0,12.0,50.0,38.0,28.0
MAL,193600.0,8.0,25.0,67.0,5.3
KGZ,5400.0,,,,32.0
A,152000.0,2.0,34.0,64.0,2.3
FPOL,6100.0,3.5,20.4,76.1,1.1
UA,174600.0,31.0,43.0,26.0,9.0
YE,37100.0,21.0,24.0,55.0,71.3
USA,7247700.0,2.0,23.0,75.0,2.5
BRN,7300.0,,,,3.0
CZ,106200.0,5.8,40.7,53.5,9.1
D,1452200.0,1.0,34.2,64.8,
BF,7400.0,32.0,24.0,44.0,5.0
BZ,575.0,30.0,,,2.3
GBZ,205.0,,,,
PY,17000.0,25.7,25.8,48.5,10.5
SGP,66100.0,,28.0,72.0,1.7
TUCA,216.0,,,,4.0
COM,370.0,,,,15.0
RO,105700.0,19.6,36.3,44.1,25.0
MOC,12200.0,33.0,12.0,55.0,50.0
RSM,380.0,,,,5.5
SD,3600.0,25.0,40.0,35.0,14.7
CR,18400.0,,,,22.5
CY,7800.0,5.6,24.9,69.5,
OM,19100.0,3.0,60.0,37.0,-0.7
MEX,721400.0,8.5,28.4,63.1,52.0
I,1088600.0,2.9,31.6,65.5,5.4
GNB,1000.0,44.0,8.0,48.0,15.0
MNTS,29.0,1.2,23.1,75.7,2.6
RH,6500.0,34.8,23.0,42.2,14.5
PNG,10200.0,,,,15.0
SK,39000.0,6.7,47.6,45.7,7.5
NIC,7100.0,,,,11.4
CI,21900.0,37.0,24.0,39.0,10.0
AND,1000.0,,,,
