river,country,province
Murrumbidgee River,AUS,New South Wales
Pjandsh,AFG,Afghanistan
Dnepr,R,Smolenskaya oblast
Kwa,ZRE,Bandundu
Umeaelv,S,Vasterbotten
Wurm,D,Bayern
Syrdarja,TAD,Khujand
Argun,TJ,Heilongjiang
Luapula,Z,Luapula
Mackenzie River,CDN,Northwest Territories
Oulujoki,SF,Oulu
Saint Lawrence River,CDN,Quebec
Theiss,UA,Chernivetska
Thjorsa,IS,Iceland
Ubangi,ZRE,Equateur
Goetaaelv,S,Alvsborg
Missouri,USA,Montana
Truckee River,USA,California
Lukenie,ZRE,Kasai Oriental
Colorado,USA,Colorado
Bomu,RCA,Central African Republic
Niger,RG,Guinea
Lualaba,ZRE,Shaba/Katanga
Enns,A,Lower Austria
Rio Desaguadero,BOL,Bolivia
Lomami,ZRE,Shaba/Katanga
Loire,F,Rhone Alpes
Werra,D,Thuringen
Isere,F,Rhone Alpes
Murat,TR,Agri
Lukuga,ZRE,Shaba/Katanga
Bahr el-Djebel/Albert-Nil,EAU,Uganda
Vaal,RSA,Mpumalanga
Cuilo,ANG,Lunda Sul
Maas,F,Champagne Ardenne
Donau,D,Baden Wurttemberg
Nile,SUD,al Khartum
Merrimack River,USA,New Hampshire
Cuango,ANG,Malanje
