name,mountains,height,type,longitude,latitude
Alpamayo,Cordillera Blanca,5947.0,,-77.7,-8.9
Barbeau Peak,British Empire Range,2616.0,,-75.0,81.9
Pelee,,1397.0,volcano,-61.15,14.8
Snaefell,,1833.0,volcanic,-15.2,64.5
Piton des Neiges,,3069.0,volcanic,55.5,-21.1
Humphreys Peak,Rocky Mountains,3850.0,volcanic,-111.65,35.3
Nevado de Colima,Cordillera Volcanica,4330.0,volcano,-104.0,20.0
Gran Sasso,Apennin,2912.0,,13.55,42.5
Mount Everest,Himalaya,8848.0,,86.9,28.0
Silisili,,1858.0,volcanic,-172.4,-13.6
Mt Hood,Cascade Range,3424.0,volcano,-121.5,45.2
Mt. Babel,,952.0,,-68.7,51.45
Mauna Loa,Hawaii,4170.0,volcano,-155.6,19.5
Pik Pobeda,Tien Shan,7439.0,,80.1,42.0
Gunung Agung,,3142.0,volcano,115.5,-8.3
Tupungato,Andes,6550.0,volcano,-69.87,-33.35
Psiloritis,Crete,2456.0,,24.7,35.2
Meru,East African Rift,4567.0,volcano,36.8,-3.2
Mount Apo,,2954.0,volcanic,125.45,7.0
Feldberg,Schwarzwald,1493.0,,7.5,47.5
Kljutschewskaja Sopka,Kamchatka,4750.0,volcano,160.6,56.1
Mawenzi,East African Rift,5148.0,volcano,37.45,-3.1
Iztaccihuatl,Cordillera Volcanica,5286.0,volcanic,-98.6,19.2
Pik Chan-Tengri,Tien Shan,6995.0,,80.0,43.0
GerlachovskyStit,Beskides,2655.0,,20.1,49.2
Mont Orohena,,2241.0,volcanic,-149.5,-17.6
GranParadiso,Alps,4061.0,,7.25,45.5
Jabal Marra,Darfur,3088.0,volcanic,24.6,13.0
Sulitjelma,,1914.0,,16.2,67.1
Piz Bernina,Alps,4048.0,,9.9,46.4
Morne Diablotins,,1447.0,volcano,-61.4,15.5
Mt. Bogong,Snowy Mountains,1986.0,,147.5,-37.0
Zugspitze,Alps,2963.0,,11.1,47.3
Pinatubo,,1486.0,volcano,120.3,15.1
Mt. Kosciuszko,Snowy Mountains,2228.0,,148.0,-36.5
Finsteraarhorn,Alps,4274.0,,8.1,46.5
Mt Elbert,Rocky Mountains,4401.0,,-106.4,39.1
Haleakala,Hawaii,3055.0,volcano,-156.25,20.7
Lhotse,Himalaya,8516.0,,86.9,28.0
Boundary Peak,Sierra Nevada California,4006.0,,-118.3,37.9
Llullaillaco,Andes,6739.0,volcano,-68.5,-24.7
Schneekoppe,Sudety Mountains,1602.0,,15.7,50.7
Harney Peak,Rocky Mountains,2207.0,,-103.4,44.0
Illampu,Cordillera Real,6368.0,granite,-68.5,-15.8
La Soufriere,,1467.0,volcano,-61.65,16.05
Wheeler Peak,Rocky Mountains,4011.0,,-105.4,36.55
Pulog,,2928.0,volcanic,121.0,17.0
Nevado de Toluca,Cordillera Volcanica,4558.0,volcano,-99.0,19.0
Grand Ballon,Vosges,1424.0,,7.1,47.9
Sabalan,Kurdistan,4811.0,volcanic,47.8,38.3
Kerinci,,3805.0,volcano,101.45,-1.7
Kings Peak,Rocky Mountains,4123.0,,-110.4,40.5
Tahat,Ahaggar,3003.0,volcanic,5.5,23.3
