mountain,island
Yu Shan,Taiwan
Silisili,Savaii
Fogo,Fogo
La Soufriere,Basse-Terre
Mt.Victoria,Viti Levu
Mt. Babel,Rene Levasseur Island
Ruapehu,Te Ika-a-Maui (North Island)
Tambora,Sumbawa
Merapi,Java
Popomanaseu,Guadalcanal
Pico Turquino,Cuba
Mt. Wilhelm,New Guinea
Piton des Neiges,Reunion
Soufriere Hills,Montserrat
Piton de la Fournaise,Reunion
Tsiafajavona,Madagaskar
Gunung Binaiya,Ceram
Psiloritis,Kreta
Semeru,Java
Mt. Giluwe,New Guinea
Gunung Agung,Bali
Zhima,Olkhon
Andringitra,Madagaskar
Pinatubo,Luzon
Snaefell,Iceland
Mont Orohena,Tahiti
Monte Cinto,Corse
Pico Basile,Bioko
Concepcion,Isla da Ometepe
Puncak Jaya,New Guinea
Tsaratanana,Madagaskar
Cerro de Punta,Puerto Rico
Mt. Balbi,Bougainville
Mauna Loa,Hawaii
Haleakala,Maui
Pico de Sao Tome,Sao Tome
Ben Nevis,Great Britain
Pelee,Martinique
Rinjani,Lombok
Oraefajokull,Iceland
Kinabalu,Borneo
Queen Marys Peak,Tristan Da Cunha
Blue Mountain Peak,Jamaica
Mt. Odin,Baffin Island
Kanlaon,Negros
Etna,Sicilia
Barbeau Peak,Ellesmere Island
Soufriere,Saint Vincent
Rantekombola,Sulawesi
Mount Apo,Mindanao
Kerinci,Sumatra
Pico de Teide,Teneriffa
