island,sea,lake,river
Gheschm,Persian Gulf,,
Corse,Mediterranean Sea,,
Tongatapu,Pacific Ocean,,
Rhodos,Mediterranean Sea,,
Kreta,Mediterranean Sea,,
Corvo,Atlantic Ocean,,
Negros,Sulawesi Sea,,
Juist,North Sea,,
Saint Thomas,Atlantic Ocean,,
Aruba,Caribbean Sea,,
Greenland,Arctic Ocean,,
Sumatra,South China Sea,,
Nantucket,Atlantic Ocean,,
Shikoku,Pacific Ocean,,
Miquelon-Langlade,Atlantic Ocean,,
Vulcano,Mediterranean Sea,,
Cuba,Gulf of Mexico,,
Linosa,Mediterranean Sea,,
Langeoog,North Sea,,
Great Britain,Atlantic Ocean,,
Grande Terre,Pacific Ocean,,
Sao Tome,Atlantic Ocean,,
Norderney,North Sea,,
Great Britain,North Sea,,
Saint Kitts,Atlantic Ocean,,
Taiwan,South China Sea,,
Ponape,Pacific Ocean,,
Providenciales,Atlantic Ocean,,
Principe,Atlantic Ocean,,
Hokkaido,Sea of Okhotsk,,
Mahe,Indian Ocean,,
Martha s Vineyard,Atlantic Ocean,,
Iceland,Norwegian Sea,,
New Guinea,Pacific Ocean,,
South Uist,Atlantic Ocean,,
Borneo,South China Sea,,
Lundy,Atlantic Ocean,,
Newfoundland,Atlantic Ocean,,
Rota,Pacific Ocean,,
Antigua,Atlantic Ocean,,
Bangka,South China Sea,,
Falster,Baltic Sea,,
Singapore,South China Sea,,
Filicudi,Mediterranean Sea,,
South Ronaldsay,North Sea,,
Cangaroo Island,Indian Ocean,,
Gotland,Baltic Sea,,
Korfu,Mediterranean Sea,,
Lipari,Mediterranean Sea,,
Panay,Sulawesi Sea,,
Flores,Atlantic Ocean,,
Vanua Levu,Pacific Ocean,,
Zakinthos,Mediterranean Sea,,
Osterinsel,Pacific Ocean,,
Cyprus,Mediterranean Sea,,
Amrum,North Sea,,
Bishop Rock,Atlantic Ocean,,
Grand Cayman,Caribbean Sea,,
Bornholm,Baltic Sea,,
Pico,Atlantic Ocean,,
Tasmania,Indian Ocean,,
Tortola,Atlantic Ocean,,
