country,target
GBZ,Christian
RCB,Christian
SF,Christian
NAU,Christian
FPOL,Christian
COCO,non-Christian
FSM,Christian
KIR,Christian
MNG,non-Christian
COOK,Christian
NEP,non-Christian
RM,Christian
BS,Christian
SP,non-Christian
RCH,Christian
N,Christian
DZ,non-Christian
TUCA,Christian
WS,Christian
MAYO,non-Christian
PITC,Christian
PK,non-Christian
D,Christian
RB,Christian
RN,non-Christian
S,Christian
MACX,non-Christian
ETH,non-Christian
G,Christian
RO,Christian
LS,Christian
RSM,Christian
WAL,non-Christian
K,non-Christian
LB,non-Christian
SUD,non-Christian
BIH,non-Christian
P,Christian
SME,non-Christian
SPMI,Christian
HCA,Christian
MNE,Christian
PL,Christian
SA,non-Christian
LAR,non-Christian
THA,non-Christian
BRU,non-Christian
TT,Christian
RI,non-Christian
CAYM,Christian
CAM,Christian
M,Christian
COM,non-Christian
AXA,Christian
BOL,Christian
RA,Christian
V,Christian
WL,Christian
