country,independence,dependent,government
,,NL,part of the Dutch realm
SRB,2006-06-05,,parliamentary democracy
FPOL,,F,overseas territory of France since 1946
COCO,,AUS,territory of Australia
WAL,1961-04-27,,constitutional democracy
VN,1945-09-02,,Communist state
LV,1991-09-06,,republic
BIH,1992-04-01,,emerging democracy
AZ,1991-08-30,,republic
LAO,1949-07-19,,Communist state
IS,1944-06-17,,republic
E,1492-01-01,,parliamentary monarchy
GB,1801-01-01,,constitutional monarchy
RIM,1960-11-28,,republic
RT,1960-04-27,,republic under transition to multiparty democratic rule
TR,1923-10-29,,republican parliamentary democracy
SF,1917-12-06,,republic
RA,1816-07-09,,republic
TJ,,,Communist state
SP,1960-07-01,,none
WG,1974-02-07,,parliamentary democracy
CV,1975-07-05,,republic
NIC,1821-09-15,,republic
TT,1962-08-31,,parliamentary democracy
GUAM,,USA,organized
KGZ,1991-08-31,,republic
NEP,1768-01-01,,parliamentary democracy as of 12 May 1991
IND,1947-08-15,,federal republic
GNB,1974-09-10,,republic
MC,1419-01-01,,constitutional monarchy
RG,1958-10-02,,republic
IR,1979-04-01,,theocratic republic
ETH,,,federal republic
ARU,,NL,part of the Dutch realm
ZW,1980-04-18,,parliamentary democracy
NIUE,1974-10-19,,self governing territory in free association with New Zealand
MOC,1975-06-25,,republic
VIRG,,,organized
CAM,1960-01-01,,unitary republic
BRN,1971-08-15,,traditional monarchy
SK,1993-01-01,,parliamentary democracy
FARX,,DK,part of the Danish realm
YV,1811-07-05,,republic
S,,,constitutional monarchy
WAFU,,F,overseas territory of France
SLB,1978-07-07,,parliamentary democracy
CH,,,federal republic
GUAD,,F,overseas department of France
LAR,1951-12-24,,Jamahiriya in theory
USA,1776-07-04,,federal republic
CR,1821-09-15,,democratic republic
BI,1962-07-01,,republic
GR,1829-01-01,,parliamentary republic
TUCA,,GB,British Overseas Territories
AUS,1901-01-01,,federal parliamentary state
BDS,1966-11-30,,parliamentary democracy
RSM,0301-01-01,,republic
