name,area,depth,altitude,type,river,longitude,latitude
Storuman,173.0,139.0,419.0,,Umeaelv,16.88,65.22
Great Slave Lake,28568.0,614.0,156.0,,Mackenzie River,-113.9,61.7
Chickamauga Lake,147.0,,,,Tennessee,-85.0,35.4
Lago de Chapala,1685.0,12.0,1520.0,,Rio Lerma,-103.05,20.22
Salar de Uyuni,10582.0,0.0,3650.0,salt,,-67.5,-20.1
Chew Bahir,800.0,7.5,520.0,salt,,36.85,4.7
Lake Manitou,104.0,,,,,-82.0,45.76
Lago di Garda ,370.0,346.0,65.0,,Mincio,10.65,45.6
Balaton,594.0,12.5,104.0,,,17.6,46.8
Lake Mead,640.0,180.0,372.0,artificial,Colorado,-114.75,36.05
Makarikari Salt Pan,12000.0,0.0,,salt,,21.0,-25.5
Lake Managua,1035.0,20.0,39.0,,Rio San Juan,-86.4,12.35
Laacher Maar,3.3,53.0,275.0,caldera,,7.3,50.4
Lake Nipigon,4848.0,165.0,260.0,,,-88.5,49.83
Laguna Mar Chiquita,5770.0,19.0,71.0,salt,,-62.67,-30.5
Poopo,1340.0,4.0,3686.0,salt,,-67.1,-18.55
Lake Huron,59600.0,229.0,176.0,,Detroit River,-82.44,44.795
Lake Champlain,1130.0,121.0,30.0,,Riviere Richelieu,-73.35,44.56
Lake Kivu,2650.0,450.0,1462.0,,Ruzizi,29.2,-1.8
Issyk-Kul,6236.0,668.0,1609.0,salt,,77.2,42.4
Fort Peck Lake,981.0,67.0,,artificial,Missouri,-106.4,48.0
Lake Hume,202.0,,,,Murray River,147.0,-36.1
Lake Eyasi,1050.0,,1030.0,salt,,35.0,-3.6
Saimaa,4370.0,85.0,76.0,,Vuoksi,28.0,61.3
Lago di Bolsena,114.0,151.0,335.0,caldera,,11.9,42.6
Lake Bangweulu,10000.0,4.0,1140.0,,Luapula,29.7,-11.2
Lake Bosumtwi,49.0,81.0,107.0,impact,,-1.4,6.5
Lake Genezareth,165.0,46.0,-212.0,,Jordan,35.6,32.81
Lake Ontario,18960.0,244.0,75.0,,Saint Lawrence River,-77.96,43.695
Barrage de Mbakaou,,,,artificial,Sanaga,12.75,6.4
Lake Toba,1103.0,505.0,905.0,caldera,Asahan,98.8,2.6
Lac Leman,581.0,310.0,372.0,,Rhone,6.5,46.5
Lake Cabora-Bassa,2800.0,,326.0,artificial,Zambezi,32.7,-15.6
Lake Maracaibo,13000.0,50.0,0.0,,,-71.55,9.72
Lake Erie,25745.0,64.0,174.0,,Niagara River,-81.27,42.16
Vierwaldstattersee,113.7,214.0,434.0,,Reuss,8.4,47.0
Etoscha Salt Pan,6133.0,0.0,1000.0,salt,,16.0,-18.8
Ozero Tschany,2500.0,106.0,10.0,,,77.5,54.9
Lake Kioga,1720.0,5.7,914.0,,Victoria Nile,33.0,1.5
