desert,country,province
Rub Al Chali,UAE,Abu Dhabi
Kalahari,NAM,Namibia
Kysylkum,UZB,Qaraqalpoghiston
Sonora,USA,California
Great Basin,USA,Utah
Azaouad,RMM,Mali
Gobi,MNG,Mongolia
Ferlo,SN,Louga
Sturt Desert,AUS,Northern Territory
Thar,IND,Gujarat
Erg Chech,RMM,Mali
Sonora,USA,Arizona
Libyan Desert,LAR,Libya
Kalahari,Z,Western
TaklaMakan,TJ,Xinjiang Uygur
Chihuahua,USA,Texas
Great Sandy Desert,AUS,Western Australia
Gobi,TJ,Nei Monggol
Rub Al Chali,UAE,Al Fujayrah
Ferlo,SN,Saint Louis
Ust Urt,KAZ,Aqtobe
Libyan Desert,SUD,Darfur
Nullarbor Plain,AUS,South Australia
Libyan Desert,ET,El Wadi el Jadid
Erg Chech,DZ,Algeria
Erg Maqteir,RIM,Mauritania
Rub Al Chali,OM,Oman
Dascht-e-Lut,IR,Esfahan
Gobi,TJ,Ningxia Huizu
Sonora,MEX,Sonora
Rub Al Chali,YE,Yemen
Erg Igidi,RIM,Mauritania
Thar,IND,Haryana
Talak,RN,Niger
Thar,PK,Pakistan
Erg Igidi,RMM,Mali
Simpson Desert,AUS,Northern Territory
Tenere,TCH,Chad
Chihuahua,USA,New Mexico
Qaidam,TJ,Qinghai
Erg Ouarane,RIM,Mauritania
Ust Urt,UZB,Qaraqalpoghiston
Dascht-e-Kavir,IR,Khorasan
Karakum,UZB,Qaraqalpoghiston
Rub Al Chali,SA,Saudi Arabia
Gibson Desert,AUS,Western Australia
Baja California Desert,MEX,Baja California
Kysylkum,UZB,Samarqand
Grand Erg Est,DZ,Algeria
Great Salt Lake Desert,USA,Utah
