sea1,sea2
East China Sea,Pacific Ocean
East China Sea,Sea of Japan
Atlantic Ocean,Mediterranean Sea
Arctic Ocean,Atlantic Ocean
Malakka Strait,South China Sea
Barents Sea,Sibirian Sea
Atlantic Ocean,North Sea
Gulf of Aden,Red Sea
East China Sea,South China Sea
Indian Ocean,Pacific Ocean
Atlantic Ocean,The Channel
Sea of Japan,Yellow Sea
Black Sea,Sea of Azov
Indian Ocean,Sunda Sea
North Sea,Skagerrak
North Sea,The Channel
Pacific Ocean,Sunda Sea
Andaman Sea,Gulf of Bengal
South China Sea,Sunda Sea
Baltic Sea,North Sea
Pacific Ocean,Sea of Okhotsk
Arabian Sea,Gulf of Aden
Pacific Ocean,South China Sea
Gulf of Bengal,Sunda Sea
Andaman Sea,Malakka Strait
Atlantic Ocean,Norwegian Sea
Black Sea,Mediterranean Sea
Pacific Ocean,Sea of Japan
Arctic Ocean,Sibirian Sea
Sea of Japan,Sea of Okhotsk
East China Sea,Yellow Sea
Andaman Sea,Indian Ocean
Atlantic Ocean,Pacific Ocean
Arabian Sea,Gulf of Oman
Atlantic Ocean,Gulf of Mexico
Arabian Sea,Indian Ocean
Atlantic Ocean,Caribbean Sea
Kattegat,Skagerrak
Gulf of Bengal,Pacific Ocean
Bering Sea,Pacific Ocean
South China Sea,Sulawesi Sea
Pacific Ocean,Sulawesi Sea
Gulf of Aden,Indian Ocean
Caribbean Sea,Gulf of Mexico
Sulawesi Sea,Sunda Sea
Atlantic Ocean,Irish Sea
