sea,country,province
Pacific Ocean,J,Mie
Gulf of Bengal,BD,Bangladesh
Atlantic Ocean,CAM,Sudoueste
Mediterranean Sea,I,Toscana
Pacific Ocean,FJI,Fiji
Atlantic Ocean,RCH,Chile
Atlantic Ocean,GQ,Equatorial Guinea
Sea of Japan,J,Aomori
Gulf of Aden,SP,Somalia
Gulf of Bengal,IND,West Bengal
Mediterranean Sea,GR,Ionioi Nisoi
Atlantic Ocean,BR,Espirito Santo
Pacific Ocean,R,Magadanskaya oblast
Atlantic Ocean,GB,Northern Ireland
Pacific Ocean,PE,Piura
Mediterranean Sea,M,Malta
Atlantic Ocean,FALK,Falkland Islands
South China Sea,VN,Vietnam
Andaman Sea,MYA,Mon
Norwegian Sea,GROX,Greenland
Atlantic Ocean,SME,Suriname
Pacific Ocean,USA,Washington
Mediterranean Sea,GR,Thessalia
Atlantic Ocean,C,Holguin
Pacific Ocean,MEX,Baja California Sur
Pacific Ocean,CDN,British Columbia
South China Sea,MACX,Macau
Skagerrak,DK,Denmark
Atlantic Ocean,IS,Iceland
Atlantic Ocean,P,Algarve
Mediterranean Sea,SLO,Slovenia
Sunda Sea,RI,Indonesia
Pacific Ocean,J,Aomori
Atlantic Ocean,MA,Morocco
Kattegat,S,Malmohus
Mediterranean Sea,TR,Adana
Caribbean Sea,MNTS,Montserrat
The Channel,F,Basse Normandie
Atlantic Ocean,WV,Saint Vincent and the Grenadines
Atlantic Ocean,G,Gabon
Skagerrak,N,Vestfold
Pacific Ocean,HCA,Choluteca
Atlantic Ocean,E,Canary Islands
Caribbean Sea,PA,Bocas del Toro
