river,country,province
Maas,NL,Noord Brabant
Detroit River,CDN,Ontario
Saint Lawrence River,CDN,Quebec
Douro,P,Porto
Kwa,ZRE,Bandundu
Rio Magdalena,CO,Atlantico
Joekulsa a Fjoellum,IS,Iceland
Newa,R,Leningradskaya oblast
Ebro,E,Catalonia
Kasai,ZRE,Bandundu
Benue,WAN,Nigeria
Oulujoki,SF,Oulu
Paraguay,RA,Chaco
Oka,R,Nizhegorodskaya oblast
Lualaba,ZRE,Haut Zaire
Nile,ET,El Buhayra
Dalaelv,S,Uppsala
Murray River,AUS,South Australia
Vaal,RSA,Northern Cape
Adda,I,Lombardia
Atbara,SUD,ash Shamaliyah
Missouri,USA,Missouri
Seine,F,Haute Normandie
