country,name,percentage
PA,Protestant,15.0
OM,Muslim,75.0
COCO,Christian,20.0
ES,Roman Catholic,75.0
Z,Christian,60.0
TT,Muslim,6.0
NL,Protestant,25.0
PL,Roman Catholic,95.0
ANG,Roman Catholic,38.0
KAZ,Christian Orthodox,44.0
AMSA,Roman Catholic,20.0
BVIR,Roman Catholic,10.0
ARU,Protestant,9.0
UAE,Muslim,96.0
IRL,Anglican,3.0
RCA,Muslim,15.0
TO,Christian,100.0
MA,Christian,1.1
AFG,Muslim,99.0
CH,Protestant,44.3
GAZA,Jewish,0.6
RH,Protestant,16.0
CH,Roman Catholic,47.6
ZW,Christian,25.0
WEST,Jewish,17.0
NORF,Uniting Church Australia,16.4
CL,Christian,8.0
GR,Muslim,1.3
RP,Roman Catholic,83.0
SLB,Anglican,34.0
EAK,Protestant,38.0
BS,Protestant,12.0
RSM,Roman Catholic,100.0
FPOL,Protestant,54.0
RT,Muslim,10.0
B,Roman Catholic,75.0
BERM,African Methodist Episcopal,11.0
A,Protestant,6.0
CI,Muslim,60.0
CDN,Roman Catholic,45.0
TT,Roman Catholic,32.2
BG,Christian Orthodox,85.0
AXA,Roman Catholic,5.7
CI,Christian,12.0
WAN,Christian,40.0
JOR,Muslim,92.0
MC,Roman Catholic,95.0
BRU,Muslim,63.0
GE,Muslim,11.0
FSM,Roman Catholic,50.0
BDS,Roman Catholic,4.0
VIRG,Roman Catholic,34.0
UZB,Muslim,88.0
RB,Christian,50.0
DK,Protestant,91.0
PNG,Evangelical Alliance,4.0
DZ,Muslim,99.0
WSA,Muslim,100.0
KAZ,Protestant,2.0
NEP,Muslim,3.0
THA,Christian,0.5
BRU,Buddhist,14.0
SN,Muslim,92.0
TCH,Christian,25.0
AUS,Roman Catholic,26.0
GUAD,Roman Catholic,95.0
AL,Roman Catholic,10.0
MART,Hindu,5.0
RT,Christian,20.0
SP,Muslim,100.0
MD,Christian Orthodox,98.5
BZ,Roman Catholic,62.0
