city,province,country,river,lake,sea
Anqing,Anhui,TJ,Jangtse,,
Miami,Florida,USA,,,Atlantic Ocean
El Arish,Sina ash Shamaliyah,ET,,,Mediterranean Sea
Nagoya,Aichi,J,,,Pacific Ocean
Bratislava,Slovakia,SK,Donau,,
Yinchuan,Ningxia Huizu,TJ,Hwangho,,
Sukkur,Pakistan,PK,Indus,,
Omsk,Omskaya oblast,R,Irtysch,,
Patrai,Dhytiki Ellas,GR,,,Mediterranean Sea
Saint Peter Port,Guernsey,GBG,,,The Channel
Jersey City,New Jersey,USA,Hudson River,,
Edmonton,Alberta,CDN,Saskatchewan River,,
Jinan,Shandong,TJ,Hwangho,,
Hammerfest,Finnmark,N,,,Barents Sea
Karlstad,Varmland,S,Klaraelv,Vaenern,
Suva,Fiji,FJI,,,Pacific Ocean
Reynosa,Tamaulipas,MEX,Rio Grande,,
Firenze,Toscana,I,Arno,,
Charlotte Amalie,Virgin Islands,VIRG,,,Caribbean Sea
Can Tho,Vietnam,VN,Mekong,,
Budapest,Budapest (munic.),H,Donau,,
Manado,Indonesia,RI,,,Sulawesi Sea
Bangui,Central African Republic,RCA,Ubangi,,
Juba,al Istiwaiyah,SUD,Bahr el-Djebel/Albert-Nil,,
Kassel,Hessen,D,Fulda,,
Rosario,Santa Fe,RA,Parana,,
Yueyang,Hunan,TJ,Jangtse,,
Matadi,Bas Zaire,ZRE,Zaire,,
Onitsha,Nigeria,WAN,Niger,,
Rome,Lazio,I,Tiber,,
Goteborg,Goteborg och Bohus,S,Goetaaelv,,Kattegat
Qostanay,Qostanay,KAZ,Tobol,,
Saint Helier,Jersey,GBJ,,,The Channel
Sao Vicente,Sao Paulo,BR,,,Atlantic Ocean
Bridgeport,Connecticut,USA,,,Atlantic Ocean
Aden,Yemen,YE,,,Gulf of Aden
Comodoro Rivadavia,Chubut,RA,,,Atlantic Ocean
Hakodate,Hokkaido,J,,,Sea of Japan
Panaji,Goa,IND,,,Arabian Sea
Helwan,El Qahira,ET,Nile,,
Tegal,Indonesia,RI,,,Sunda Sea
The Valley,Anguilla,AXA,,,Atlantic Ocean
Khartoum North,al Khartum,SUD,Nile,,
Nagasaki,Nagasaki,J,,,East China Sea
Charlottetown,Prince Edward Island,CDN,,,Atlantic Ocean
Djibouti,Djibouti,DJI,,,Gulf of Aden
Formosa,Formosa,RA,Paraguay,,
Kremenchuk,Poltavska,UA,Dnepr,,
Pangkal Pinang,Indonesia,RI,,,South China Sea
Los Angeles,California,USA,,,Pacific Ocean
Salzburg,Salzburg,A,Salzach,,
Lulea,Norrbotten,S,,,Baltic Sea
Kiel,Schleswig Holstein,D,,,Baltic Sea
Sydney,New South Wales,AUS,,,Pacific Ocean
Flying Fish Cove,Christmas Island,XMAS,,,Indian Ocean
Corpus Christi,Texas,USA,,,Gulf of Mexico
Xianning,Hubei,TJ,Jangtse,,
Porto Velho,Rondonia,BR,Rio Madeira,,
Grand Turk,Turks and Caicos Islands,TUCA,,,Atlantic Ocean
Rybinsk,Yaroslavskaya oblast,R,Volga,,
Penang,Pulau Pinang,MAL,,,Malakka Strait
El Uqsur,Qena,ET,Nile,,
Hartford,Connecticut,USA,Connecticut River,,
Baghdad,Baghdad,IRQ,Tigris,,
Piraeus,Attiki,GR,,,Mediterranean Sea
Al Hillah,Babil,IRQ,Euphrat,,
Hamar,Hedmark,N,,Mjoesa-See,
Fukuoka,Fukuoka,J,,,Sea of Japan
Khabarovsk,Khabarovskiy kray,R,Amur,,
Sao Luis,Maranhao,BR,,,Atlantic Ocean
Pisa,Toscana,I,Arno,,
Takamatsu,Kagawa,J,,,Pacific Ocean
Akita,Akita,J,,,Sea of Japan
Kirkwall,Orkneys,GB,,,North Sea
Tours,Centre,F,Loire,,
Olomouc,Severomoravsky,CZ,March,,
Wuhan,Hubei,TJ,Jangtse,,
Volos,Thessalia,GR,,,Mediterranean Sea
Saint-Pierre,Saint Pierre and Miquelon,SPMI,,,Atlantic Ocean
Bodoe,Nordland,N,,,Norwegian Sea
Khorugh,Badakhshoni Kuni,TAD,Pjandsh,,
Colombo,Sri Lanka,CL,,,Indian Ocean
Saskatoon,Saskatchewan,CDN,Saskatchewan River,,
Kavaratti,Lakshadweep Is.,IND,,,Arabian Sea
Belem,Para,BR,Tocantins,,Atlantic Ocean
Limon,Limon,CR,,,Caribbean Sea
