lake,country,province
Lake Michigan,USA,Indiana
Lake Rukwa,EAT,Mbeya
Lake Abbe,DJI,Djibouti
Lake Bosumtwi,GH,Ghana
Vaettern,S,Jonkoping
Balaton,H,Zala
Lac Leman,CH,VD
Lop Nor,TJ,Xinjiang Uygur
Lake Superior,USA,Michigan
Zurichsee,CH,GL
Lake Hume,AUS,Victoria
Ozero Balchash,KAZ,Almaty (munic.)
Chad Lake,CAM,Nord extreme
Storuman,S,Vasterbotten
Lake Eyre,AUS,South Australia
Paeijaenne,SF,Suomi
Barrage de Mbakaou,CAM,Adamaoua
Mjoesa-See,N,Hedmark
Salar de Uyuni,BOL,Bolivia
Lake Mead,USA,Arizona
Rutanzige/Eduardsee,ZRE,Kivu
Lake Nyos,CAM,Nordoueste
Lake Ohrid,AL,Albania
Dead Sea,JOR,Jordan
Lake Hume,AUS,New South Wales
Vierwaldstattersee,CH,NW
Saimaa,SF,Mikkeli
Lake Huron,CDN,Ontario
Lake Skutari,AL,Albania
Lake Irazu,CR,Cartago
Vaettern,S,Ostergotland
Lake Van,TR,Van
Lake Okeechobee,USA,Florida
Great Bear Lake,CDN,Northwest Territories
Lake Kivu,RWA,Rwanda
Lago di Garda ,I,Veneto
Lake Tahoe,USA,California
Lake Keban,TR,Tunceli
Lake Titicaca,PE,Puno
Ozero Balchash,KAZ,Zhambyl
Lake Chilwa,MW,Malawi
Loch Ness,GB,Central
Lake Victoria,EAK,Nyanza
Licancabur Crater Lake,RCH,Chile
Lac Assal,DJI,Djibouti
Lake Tanganjika,ZRE,Kivu
Lake Nasser,ET,Aswan
Arresoe,DK,Denmark
Kentucky Lake,USA,Kentucky
Dead Sea,IL,South
Lake Manicouagan,CDN,Quebec
Lake Ohrid,MK,Macedonia
Neusiedlersee,H,Gyor Sopron
Lake Bangweulu,Z,Northern
Vierwaldstattersee,CH,UR
Nam Co,TJ,Tibet
Siljan,S,Dalarna
Lake Abbe,ETH,Ethiopia
Poopo,BOL,Bolivia
Ozero Ladoga,R,Leningradskaya oblast
Lake Van,TR,Bitlis
Dead Sea,WEST,West Bank
Lago Maggiore,I,Lombardia
Lake Tanganjika,EAT,Mbeya
Crater Lake,USA,Oregon
Ozero Chanka,R,Primorsky kray
Lago di Bracciano,I,Lazio
Lake Abaya,ETH,Ethiopia
Franklin. D. Roosevelt Lake,USA,Washington
Chew Bahir,EAK,Eastern
Lago de Chapala,MEX,Jalisco
Lake Oahe,USA,North Dakota
Chad Lake,RN,Niger
Lake Genezareth,IL,North
Lake Mai Ndombe,ZRE,Bandundu
Lago Trasimeno,I,Toscana
Lake Keban,TR,Malatya
Lake Eyasi,EAT,Arusha
Ozero Aral,KAZ,Qyzylorda
Caspian Sea,KAZ,Mangghystau
Lago Maggiore,CH,TI
Ozero Ladoga,R,Rep. of Karelia
Lake Mead,USA,Nevada
Lake Nicaragua,NIC,Nicaragua
Lake Tahoe,USA,Nevada
Balaton,H,Fejer
Lake Michigan,USA,Illinois
