name,code,capital,province,area,population
Germany,D,Berlin,Berlin,356910.0,83536115
Swaziland,SD,Mbabane,Swaziland,17360.0,998730
Czech Republic,CZ,Prague,Praha,78703.0,10321120
Romania,RO,Bucharest,Bucuresti,237500.0,21657162
Mozambique,MOC,Maputo,Maputo (munic.),801590.0,17877927
Nepal,NEP,Kathmandu,Nepal,140800.0,22094033
Saint Helena,HELX,Jamestown,Saint Helena,413.0,7637
China,TJ,Beijing,Beijing (munic.),9596960.0,1210004956
Italy,I,Rome,Lazio,301230.0,57460274
Rwanda,RWA,Kigali,Rwanda,26340.0,6853359
Lithuania,LT,Vilnius,Lithuania,65200.0,3646041
Turkmenistan,TM,Ashgabat,Ahal,488100.0,4149283
Sudan,SUD,Khartoum,al Khartum,2505810.0,31547543
Ukraine,UA,Kiev,Kyyivska,603700.0,50864009
Guinea,RG,Conakry,Guinea,245860.0,7411981
Gabon,G,Libreville,Gabon,267670.0,1172798
South Korea,ROK,Seoul,South Korea,98480.0,45482291
Guatemala,GCA,Guatemala City,Guatemala,108890.0,11277614
Cambodia,K,Phnom Penh,Cambodia,181040.0,10861218
Saint Kitts and Nevis,KN,Basseterre,Saint Kitts and Nevis,269.0,41369
Vietnam,VN,Hanoi,Vietnam,329560.0,73976973
Aruba,ARU,Oranjestad,Aruba,193.0,103065
Cook Islands,COOK,Avarua,Cook Islands,240.0,11870
Tajikistan,TAD,Dushanbe,Dushanbe (munic.),143100.0,5916373
Argentina,RA,Buenos Aires,Distrito Federal,2766890.0,34672997
Liberia,LB,Monrovia,Liberia,111370.0,2109789
Singapore,SGP,Singapore,Singapore,632.6,3396924
Netherlands,NL,Amsterdam,Noord Holland,37330.0,15568034
Syria,SYR,Damascus,Syria,185180.0,15608648
Georgia,GE,Tbilisi,Georgia,69700.0,5219810
Central African Republic,RCA,Bangui,Central African Republic,622980.0,3274426
Iran,IR,Tehran,Tehran,1648000.0,66094264
Samoa,WS,Apia,Samoa,2860.0,214384
French Polynesia,FPOL,Papeete,French Polynesia,4167.0,287032
Yemen,YE,Sanaa,Yemen,527970.0,13483178
Saint Martin,SMAR,Marigot,Saint Martin,54.0,29820
Ethiopia,ETH,Addis Ababa,Ethiopia,1127130.0,57171662
Kenya,EAK,Nairobi,Nairobi,582650.0,28176686
Bosnia and Herzegovina,BIH,Sarajevo,Bosnia and Herzegovina,51233.0,2656240
Chad,TCH,NDjamena,Chad,1284000.0,6976845
Indonesia,RI,Jakarta,Indonesia,1919440.0,206611600
Colombia,CO,Bogota,"Santa Fe de Bogota, DC",1138910.0,36813161
Bangladesh,BD,Dhaka,Bangladesh,144000.0,123062800
Reunion,REUN,Saint-Denis,Reunion,2510.0,679198
Mayotte,MAYO,Mamoutzou,Mayotte,374.0,223765
New Caledonia,NCA,Noumea,New Caledonia,19060.0,227436
India,IND,New Delhi,Delhi,3287590.0,952107694
