country,continent,percentage
IRQ,Asia,100.0
KGZ,Asia,100.0
MV,Asia,100.0
PY,America,100.0
MACX,Asia,100.0
AG,America,100.0
AXA,America,100.0
IRL,Europe,100.0
WG,America,100.0
IR,Asia,100.0
PNG,Australia/Oceania,100.0
ER,Africa,100.0
GB,Europe,100.0
AMSA,Australia/Oceania,100.0
WS,Australia/Oceania,100.0
EAT,Africa,100.0
WD,America,100.0
RMM,Africa,100.0
MART,America,100.0
JOR,Asia,100.0
EW,Europe,100.0
GBJ,Europe,100.0
AUS,Australia/Oceania,100.0
REUN,Australia/Oceania,100.0
TM,Asia,100.0
ZRE,Africa,100.0
NAM,Africa,100.0
KOS,Europe,100.0
GUY,America,100.0
SMAR,America,100.0
SUD,Africa,100.0
GROX,America,100.0
WAFU,Australia/Oceania,100.0
HCA,America,100.0
MNTS,America,100.0
NAU,Australia/Oceania,100.0
ZW,Africa,100.0
SLB,Australia/Oceania,100.0
MNG,Asia,100.0
CH,Europe,100.0
BD,Asia,100.0
MD,Europe,100.0
MEX,America,100.0
COOK,Australia/Oceania,100.0
MAL,Asia,100.0
UA,Europe,100.0
WL,America,100.0
ROU,America,100.0
RI,Australia/Oceania,20.0
SP,Africa,100.0
GBG,Europe,100.0
MOC,Africa,100.0
SF,Europe,100.0
SPMI,America,100.0
CV,Africa,100.0
MC,Europe,100.0
FJI,Australia/Oceania,100.0
WAG,Africa,100.0
GNB,Africa,100.0
BOL,America,100.0
DZ,Africa,100.0
LB,Africa,100.0
KN,America,100.0
RCB,Africa,100.0
H,Europe,100.0
PE,America,100.0
SK,Europe,100.0
JA,America,100.0
N,Europe,100.0
CL,Asia,100.0
L,Europe,100.0
LAR,Africa,100.0
GBZ,Europe,100.0
RSA,Africa,100.0
RSM,Europe,100.0
