File,Row,Column,Length_Orig,Length_Trans,Diff_%,Original,Translated
players.csv,352,namelast,6,26,333.3,DeMars,&lt; &lt; Демарс &gt; &gt;
players.csv,389,namefirst,5,19,280.0,Truck,Грузовой автомобиль
players.csv,411,namelast,7,27,285.7,Estrada,&lt; &lt; Эстрада &gt; &gt;
players.csv,475,college,9,29,222.2,Merced CC,&lt; &lt; Мерсед CC &gt; &gt;
players.csv,494,namelast,6,35,483.3,Gearin,Тележка@ info: whatsthis: whatsthis
players.csv,532,deathcity,8,29,262.5,Altadena,&lt; &lt; Альтадена &gt; &gt;
players.csv,712,birthcity,5,28,460.0,Media,Средства массовой информации
players.csv,842,namelast,7,27,285.7,Mercado,&lt; &lt; Меркадо &gt; &gt;
players.csv,922,namelast,6,19,216.7,Office,Служебные помещения
players.csv,980,birthcity,8,29,262.5,LaMirada,&lt; &lt; Ла-Мирада &gt; &gt;
players.csv,1012,namelast,6,22,266.7,Reiber,Повторное рассмотрение
players.csv,1170,namelast,5,27,440.0,Stock,Товарно-материальные запасы
players.csv,1221,birthcity,8,29,262.5,LaMirada,&lt; &lt; Ла-Мирада &gt; &gt;
schools.csv,236,schoolnick,6,25,316.7,Pilots,Экспериментальные проекты
schools.csv,250,schoolnick,6,25,316.7,Pilots,Экспериментальные проекты
schools.csv,502,schoolnick,6,27,350.0,Miners,Горнодобывающие предприятия
