title_id,title,type,pub_id,price,advance,royalty,ytd_sales,notes,pubdate
BU1032,Гид по базам данных для бизнес-менеджера,бизнес,1389,19.99,5000.0,10.0,4095.0,Общая характеристика доступных систем базы данных с акцентом на общие бизнес-приложения. Иллюстрировано.,1991-06-12 00:00:00
BU1111,Программирование на Python: тайные балансовые отчеты,бизнес,1389,11.95,5000.0,10.0,3876.0,Советы по эффективному использованию электронных ресурсов.,1991-06-09 00:00:00
BU2075,Вы можете бороться со стрессом от компьютера!,бизнес,736,2.99,10125.0,24.0,18722.0,Последние медицинские и психологические техники для работы с электронным офисом. Простые в понимании объяснения.,1991-06-30 00:00:00
BU7832,Строгое разговор о компьютерах,бизнес,1389,19.99,5000.0,10.0,4095.0,"Аннотированный анализ того, что могут сделать компьютеры для вас: практическое руководство для критически настроенного пользователя.",1991-06-22 00:00:00
TC3218,"Лук, чеснок и луковица: секреты приготовления пищи Средиземноморья",trad_cook,877,20.95,7000.0,10.0,375.0,"Изображения в ярких цветах, эта прекрасная подарочная книга для друга, интересующегося кулинарией.",1991-10-21 00:00:00
MC3026,Психология компьютерного приготовления пищи,Неопределённо,877,,,,,,2014-11-07T10:39:37
MC3021,Гурмет-микроволновая печь,Мод_кук,877,2.99,15000.0,24.0,22246.0,"Традиционные французские изысканные рецепты, адаптированные для современного микроволнового приготовления.",1991-06-18 00:00:00
TC7777,"Суши, кто есть кто?",trad_cook,877,14.99,8000.0,10.0,4095.0,Детализированные инструкции по приготовлению настоящего японского суши в вашем свободное время.,1991-06-12 00:00:00
MC2222,Кулинарные изыски Кремниевой долины,Мод_кук,877,19.99,0.0,12.0,2032.0,"Любимые рецепты быстрых, простых и элегантных блюд.",1991-06-09 00:00:00
PS2106,Жизнь без страха,психология,736,7.0,6000.0,10.0,111.0,"Новый упражнения, медитации и пищевые приемы, которые могут смягчить шок повседневных взаимодействий. Популярная аудитория. В меню включены образцы блюд, видео с упражнениями доступно отдельно.",1991-10-05 00:00:00
TC4203,Пятьдесят лет в кухнях Букингемского дворца,trad_cook,877,11.95,4000.0,14.0,15096.0,"Больше анекдотов от любимого повара королевы, рассказывающих о жизни среди английской королевской семьи. Рецепты, техники, трогательные забавные истории.",1991-06-12 00:00:00
PS2091,Гнев - враг?,психология,736,10.95,2275.0,12.0,2045.0,тщательное исследование влияния сильных эмоций на организм. В нем представлены метаболические графики.,1991-06-15 00:00:00
PC8888,Тайны Силиконовой долины,популярный состав,1389,20.0,8000.0,10.0,4095.0,Исследовательская работа «Muckraking» о крупнейших в мире производителях компьютерного оборудования и программного обеспечения.,1994-06-12 00:00:00
PC9999,Интернет-етикита,популярный состав,1389,,,,,Нужно читать для компьютерной конференции.,2014-11-07T10:39:37
PC1035,Но удобно ли это для пользователя?,популярный состав,1389,22.95,7000.0,16.0,8780.0,Опрос программного обеспечения для неискушенного пользователя с акцентом на «дружелюбие» каждого из них.,1991-06-30 00:00:00
PS3333,Длительное лишение доступа к данным: четыре кейса,психология,736,19.99,2000.0,10.0,4072.0,"Что происходит, когда данные заканчиваются? Поиск оценок последствий нехватки информации.",1991-06-12 00:00:00
PS1372,Компьютерно-фобические и не-компьютерно-фобические личности: вариации поведения,психология,877,21.59,7000.0,10.0,375.0,"Необходимая специалисту книга, в которой исследуется разница между теми, кто ненавидит и боится компьютеры, и теми, кто этого не делает.",1991-10-21 00:00:00
PS7777,Эмоциональная безопасность: новый алгоритм,психология,736,7.99,4000.0,10.0,3336.0,Защита себя и своих близких от излишнего эмоционального стресса в современном мире. Использование компьютера и пищевых добавок подчеркнуто.,1991-06-12 00:00:00
