stor_id,ord_num,ord_date,qty,payterms,title_id
8042,423LL930 /Подумайте,14.09.1994 г.,10,Счёт-фактура,BU1032
7067,P2121,1992-06-15 00:00:00,20,Срок платежа 30 дней,TC7777
6380,6871,14.09.1994 г.,5,Нет 60,BU1032
7131,П3087а,1993-05-29 00:00:00,20,Нет 60,PS1372
7066,QA-7442.3,1994-09-13 00:00:00,75,Счёт-фактура,PS2091
7067,D4482,14.09.1994 г.,10,Нет 60,PS2091
8042,П723,11.03.1993 г.,25,Срок платежа 30 дней,BU1111
7131,Н914008,14.09.1994 г.,20,Срок платежа 30 дней,PS2091
7896,QQ2299,1993-10-28 00:00:00,15,Нет 60,BU7832
7131,П3087а,1993-05-29 00:00:00,25,Нет 60,PS2106
6380,722а,1994-09-13 00:00:00,3,Нет 60,PS2091
7896,X999,1993-02-21 00:00:00,35,Счёт-фактура,BU2075
7131,П3087а,1993-05-29 00:00:00,15,Нет 60,PS3333
7067,P2121,1992-06-15 00:00:00,20,Срок платежа 30 дней,TC4203
7131,П3087а,1993-05-29 00:00:00,25,Нет 60,PS7777
7131,N914014,14.09.1994 г.,25,Срок платежа 30 дней,MC3021
7067,P2121,1992-06-15 00:00:00,40,Срок платежа 30 дней,TC3218
8042,QА879.1,1993-05-22 00:00:00,30,Срок платежа 30 дней,PC1035
7066,А2976,1993-05-24 00:00:00,50,Срок платежа 30 дней,PC8888
8042,423ЛЛ922,14.09.1994 г.,15,Счёт-фактура,MC3021
7896,ТК456,1993-12-12 00:00:00,10,Нет 60,MC2222
