season,dayzero,regionw,regionx,regiony,regionz
1985,1984-10-29T00:00:00,East,West,Midwest,Southeast
1986,1985-10-28T00:00:00,East,Midwest,Southeast,West
1987,1986-10-27T00:00:00,East,Southeast,Midwest,West
1988,1987-11-02T00:00:00,East,Midwest,Southeast,West
1989,1988-10-31T00:00:00,East,West,Midwest,Southeast
1990,1989-10-30T00:00:00,East,Midwest,Southeast,West
1991,1990-10-29T00:00:00,East,Southeast,Midwest,West
1992,1991-11-04T00:00:00,East,West,Midwest,Southeast
1993,1992-11-02T00:00:00,East,Midwest,Southeast,West
1994,1993-11-01T00:00:00,East,Southeast,Midwest,West
1995,1994-10-31T00:00:00,East,West,Midwest,Southeast
1996,1995-10-30T00:00:00,East,Midwest,Southeast,West
1997,1996-10-28T00:00:00,East,Southeast,Midwest,West
1998,1997-10-27T00:00:00,East,West,Midwest,South
1999,1998-10-26T00:00:00,East,Midwest,South,West
2000,1999-11-01T00:00:00,East,South,Midwest,West
2001,2000-10-30T00:00:00,East,West,Midwest,South
2002,2001-10-29T00:00:00,East,Midwest,South,West
2003,2002-11-04T00:00:00,East,South,Midwest,West
2004,2003-11-03T00:00:00,Atlanta,Phoenix,EastRutherford,StLouis
2005,2004-11-01T00:00:00,Albuquerque,Chicago,Austin,Syracuse
2006,2005-10-31T00:00:00,Atlanta,Oakland,Minneapolis,WashingtonDC
2007,2006-10-30T00:00:00,East,South,Midwest,West
2008,2007-11-05T00:00:00,East,Midwest,South,West
2009,2008-11-03T00:00:00,East,South,Midwest,West
2010,2009-11-02T00:00:00,East,South,Midwest,West
2011,2010-11-01T00:00:00,East,West,Southeast,Southwest
2012,2011-10-31T00:00:00,East,Midwest,South,West
2013,2012-11-05T00:00:00,East,South,Midwest,West
2014,2013-11-04T00:00:00,East,South,Midwest,West
2015,2014-11-03T00:00:00,East,South,Midwest,West
