year,lgid,tmid,franchid,confid,divid,rank,playoff,g,w,l,t,otl,pts,sow,sol,gf,ga,name,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1981,NHL,LAK,LAK,CC,SM,4,DF,80,24,41,15.0,,63,,,314,369,Los Angeles Kings,1730.0,10.0,75.0,355.0,11.0,89.0,310.0,7.0
1967,NHL,CHI,CHI,,ED,4,SF,74,32,26,16.0,,80,,,212,222,Chicago Black Hawks,602.0,,37.0,234.0,6.0,37.0,218.0,9.0
1977,WHA,BIR,BIR,,,6,AVQF,80,36,41,3.0,,75,,,287,314,Birmingham Bulls,2177.0,18.0,60.0,286.0,13.0,84.0,355.0,8.0
1931,NHL,MTL,MTL,,CA,1,SF,48,25,16,7.0,,57,,,128,111,Montreal Canadiens,448.0,,,,,,,
1992,NHL,MTL,MTL,WA,AD,3,SC,84,48,30,6.0,,102,,,326,280,Montreal Canadiens,1788.0,8.0,79.0,430.0,13.0,77.0,427.0,8.0
1972,WHA,MFS,MFS,,WW,4,AVQF,78,38,37,3.0,,79,,,250,269,Minnesota Fighting Saints,1134.0,14.0,54.0,300.0,12.0,48.0,269.0,6.0
1922,NHL,HAM,BKN,,,4,,24,6,18,0.0,,12,,,81,110,Hamilton Tigers,188.0,,,,,,,
1990,NHL,QUE,COL,WA,AD,5,,80,16,50,14.0,,46,,,236,354,Quebec Nordiques,1741.0,22.0,51.0,328.0,11.0,98.0,368.0,10.0
1987,NHL,DET,DET,CC,NO,1,CF,80,41,28,11.0,,93,,,322,269,Detroit Red Wings,2391.0,22.0,72.0,383.0,8.0,73.0,453.0,20.0
1998,NHL,BUF,BUF,EC,NE,4,F,82,37,28,17.0,,91,,,207,175,Buffalo Sabres,1561.0,16.0,49.0,363.0,7.0,55.0,399.0,6.0
1960,NHL,TOR,TOR,,,2,SF,70,39,19,12.0,,90,,,234,176,Toronto Maple Leafs,844.0,,,,,,,
1981,NHL,MTL,MTL,WA,AD,1,DSF,80,46,17,17.0,,109,,,360,223,Montreal Canadiens,1463.0,6.0,72.0,297.0,5.0,57.0,286.0,9.0
1942,NHL,TOR,TOR,,,3,SF,50,22,19,9.0,,53,,,198,159,Toronto Maple Leafs,421.0,,,,,,,
2011,NHL,NAS,NAS,WC,CE,2,CSF,82,48,26,,8.0,104,5.0,5.0,237,210,Nashville Predators,689.0,12.0,54.0,250.0,4.0,40.0,244.0,5.0
1993,NHL,OTT,OTT,EC,NE,7,,84,14,61,9.0,,37,,,201,397,Ottawa Senators,1710.0,22.0,63.0,435.0,14.0,110.0,412.0,9.0
1995,NHL,TBL,TBL,EC,AT,5,CQF,82,38,32,12.0,,88,,,238,248,Tampa Bay Lightning,1628.0,14.0,83.0,400.0,13.0,68.0,439.0,6.0
1950,NHL,CHI,CHI,,,6,,70,13,47,10.0,,36,,,171,280,Chicago Black Hawks,615.0,,,,,,,
1925,NHL,PIP,PHQ,,,3,SF,36,19,16,1.0,,39,,,82,70,Pittsburgh Pirates,264.0,,,,,,,
1988,NHL,WIN,PHO,CC,SM,5,,80,26,42,12.0,,64,,,300,355,Winnipeg Jets,1843.0,10.0,79.0,357.0,13.0,82.0,374.0,15.0
1997,NHL,CHI,CHI,WC,CE,5,,82,30,39,13.0,,73,,,192,199,Chicago Blackhawks,1546.0,12.0,47.0,364.0,5.0,58.0,381.0,13.0
2006,NHL,EDM,EDM,WC,NW,5,,82,32,43,,7.0,71,3.0,3.0,195,248,Edmonton Oilers,1285.0,22.0,53.0,373.0,4.0,59.0,382.0,6.0
1975,NHL,VAN,VAN,CC,SM,2,PRE,80,33,32,15.0,,81,,,271,272,Vancouver Canucks,1122.0,14.0,68.0,345.0,9.0,71.0,291.0,6.0
1989,NHL,CHI,CHI,CC,NO,1,CF,80,41,33,6.0,,88,,,316,294,Chicago Blackhawks,2426.0,30.0,80.0,349.0,9.0,75.0,379.0,11.0
1994,NHL,BOS,BOS,EC,NE,3,CQF,48,27,18,3.0,,57,,,150,127,Boston Bruins,793.0,6.0,46.0,211.0,4.0,24.0,183.0,3.0
1928,NHL,DTC,DET,,AM,3,QF,44,19,16,9.0,,47,,,72,63,Detroit Cougars,381.0,,,,,,,
2010,NHL,COL,COL,WC,NW,4,,82,30,44,,8.0,68,6.0,1.0,227,288,Colorado Avalanche,1077.0,22.0,49.0,265.0,11.0,75.0,314.0,8.0
1963,NHL,MTL,MTL,,,1,SF,70,36,21,13.0,,85,,,209,167,Montreal Canadiens,982.0,,46.0,294.0,7.0,42.0,248.0,7.0
1941,NHL,BKN,BKN,,,7,,48,16,29,3.0,,35,,,133,175,Brooklyn Americans,427.0,,,,,,,
1987,NHL,VAN,VAN,CC,SM,5,,80,25,46,9.0,,59,,,272,320,Vancouver Canucks,2196.0,12.0,81.0,435.0,18.0,83.0,404.0,10.0
1999,NHL,STL,STL,WC,CE,1,CQF,82,51,19,11.0,1.0,114,,,248,165,St. Louis Blues,1139.0,22.0,61.0,342.0,3.0,42.0,345.0,13.0
2007,NHL,DET,DET,WC,CE,1,SC,82,54,21,,7.0,115,5.0,5.0,257,184,Detroit Red Wings,937.0,4.0,81.0,391.0,7.0,57.0,357.0,5.0
2001,NHL,NAS,NAS,WC,CE,4,,82,28,41,13.0,0.0,69,,,196,230,Nashville Predators,1071.0,20.0,48.0,337.0,8.0,50.0,354.0,6.0
2008,NHL,TBL,TBL,EC,SE,5,,82,24,40,,18.0,66,3.0,10.0,210,279,Tampa Bay Lightning,1306.0,26.0,61.0,343.0,9.0,89.0,405.0,4.0
1930,NHL,OTS,STE,,CA,5,,44,10,30,4.0,,24,,,91,142,Ottawa Senators,486.0,,,,,,,
1973,NHL,CHI,CHI,,WD,2,SF,78,41,14,23.0,,105,,,272,164,Chicago Black Hawks,877.0,4.0,55.0,255.0,5.0,26.0,208.0,8.0
2007,NHL,LAK,LAK,WC,PC,5,,82,32,43,,7.0,71,5.0,3.0,231,266,Los Angeles Kings,954.0,24.0,64.0,366.0,4.0,68.0,309.0,11.0
1933,NHL,OTS,STE,,CA,5,,48,13,29,6.0,,32,,,115,143,Ottawa Senators,352.0,,,,,,,
2003,NHL,OTT,OTT,EC,NE,3,CQF,82,43,23,10.0,6.0,102,,,262,189,Ottawa Senators,1270.0,20.0,80.0,370.0,8.0,57.0,347.0,6.0
1973,NHL,DET,DET,,ED,6,,78,29,39,10.0,,68,,,255,319,Detroit Red Wings,917.0,6.0,59.0,274.0,13.0,49.0,238.0,8.0
1991,NHL,HAR,CAR,WA,AD,4,DSF,80,26,41,13.0,,65,,,247,283,Hartford Whalers,1793.0,16.0,73.0,414.0,11.0,86.0,396.0,10.0
1978,NHL,ATF,CAL,CC,PT,4,PRE,80,41,31,8.0,,90,,,327,280,Atlanta Flames,1158.0,2.0,54.0,226.0,5.0,56.0,290.0,6.0
1963,NHL,DET,DET,,,4,F,70,30,29,11.0,,71,,,191,204,Detroit Red Wings,771.0,,42.0,240.0,5.0,36.0,267.0,2.0
1915,NHA,MOC,MTL,,,1,SC,24,16,7,1.0,,33,,,104,76,Montreal Canadiens,,,,,,,,
1993,NHL,ANA,ANA,WC,PC,4,,84,33,46,5.0,,71,,,229,251,Mighty Ducks of Anaheim,1507.0,24.0,54.0,376.0,13.0,67.0,388.0,9.0
2008,NHL,MIN,MIN,WC,NW,3,,82,40,33,,9.0,89,5.0,3.0,219,200,Minnesota Wild,889.0,20.0,66.0,328.0,6.0,36.0,291.0,9.0
1993,NHL,HAR,CAR,EC,NE,6,,84,27,48,9.0,,63,,,227,288,Hartford Whalers,1809.0,22.0,61.0,408.0,9.0,88.0,416.0,8.0
1959,NHL,DET,DET,,,4,SF,70,26,29,15.0,,67,,,186,197,Detroit Red Wings,538.0,,,,,,,
2001,NHL,OTT,OTT,EC,NE,3,CSF,82,39,27,9.0,7.0,94,,,243,208,Ottawa Senators,1347.0,16.0,55.0,331.0,5.0,48.0,307.0,11.0
1939,NHL,MTL,MTL,,,7,,48,10,33,5.0,,25,,,90,167,Montreal Canadiens,322.0,,,,,,,
1967,NHL,PHI,PHI,,WD,1,QF,74,31,32,11.0,,73,,,173,179,Philadelphia Flyers,979.0,,33.0,269.0,2.0,49.0,290.0,7.0
1997,NHL,VAN,VAN,WC,PC,7,,82,25,43,14.0,,64,,,224,273,Vancouver Canucks,2166.0,18.0,48.0,373.0,12.0,77.0,432.0,19.0
1923,WCHL,EDE,EDE,,,4,,30,11,15,4.0,,26,,,69,81,Edmonton Eskimos,,,,,,,,
1996,NHL,COL,COL,WC,PC,1,CF,82,49,24,9.0,,107,,,277,205,Colorado Avalanche,1361.0,24.0,83.0,403.0,12.0,42.0,339.0,14.0
1962,NHL,DET,DET,,,4,F,70,32,25,13.0,,77,,,200,194,Detroit Red Wings,964.0,,,,,,,
1975,NHL,NYR,NYR,CC,PT,4,,80,29,42,9.0,,67,,,262,333,New York Rangers,911.0,12.0,67.0,323.0,11.0,68.0,277.0,3.0
2011,NHL,OTT,OTT,EC,NE,2,CQF,82,41,31,,10.0,92,6.0,4.0,249,240,Ottawa Senators,1145.0,24.0,49.0,270.0,7.0,57.0,310.0,9.0
1923,WCHL,CAT,CAT,,,1,F,30,18,11,1.0,,37,,,83,72,Calgary Tigers,,,,,,,,
1932,NHL,NYR,NYR,,AM,3,SC,48,23,17,8.0,,54,,,135,107,New York Rangers,599.0,,,,,,,
2002,NHL,SJS,SJS,WC,PC,5,,82,28,37,9.0,8.0,73,,,214,239,San Jose Sharks,1112.0,30.0,68.0,375.0,10.0,68.0,358.0,5.0
1967,NHL,LAK,LAK,,WD,2,QF,74,31,33,10.0,,72,,,200,224,Los Angeles Kings,808.0,,33.0,241.0,3.0,54.0,274.0,5.0
1979,NHL,HAR,CAR,WA,NO,4,PRE,80,27,34,19.0,,73,,,303,312,Hartford Whalers,875.0,16.0,42.0,216.0,1.0,64.0,249.0,7.0
1937,NHL,DET,DET,,AM,4,,48,12,25,11.0,,35,,,99,133,Detroit Red Wings,262.0,,,,,,,
1989,NHL,MNS,DAL,CC,NO,4,DSF,80,36,40,4.0,,76,,,284,291,Minnesota North Stars,2041.0,28.0,81.0,386.0,16.0,74.0,397.0,14.0
1999,NHL,TBL,TBL,EC,SE,4,,82,19,47,9.0,7.0,54,,,204,310,Tampa Bay Lightning,1733.0,20.0,51.0,365.0,7.0,77.0,399.0,9.0
2005,NHL,MIN,MIN,WC,NW,5,,82,38,36,,8.0,84,5.0,3.0,231,215,Minnesota Wild,1209.0,20.0,77.0,454.0,7.0,55.0,436.0,11.0
1976,NHL,COR,NJD,CC,SM,5,,80,20,46,14.0,,54,,,226,307,Colorado Rockies,978.0,12.0,44.0,274.0,7.0,61.0,247.0,9.0
1978,NHL,PIT,PIT,WA,NO,2,QF,80,36,31,13.0,,85,,,281,279,Pittsburgh Penguins,1039.0,16.0,56.0,261.0,4.0,57.0,250.0,7.0
1914,NHA,TBS,TBS,,,4,,20,8,12,0.0,,16,,,66,84,Toronto Blueshirts,,,,,,,,
1991,NHL,VAN,VAN,CC,SM,1,DF,80,42,26,12.0,,96,,,285,250,Vancouver Canucks,2075.0,16.0,85.0,439.0,7.0,76.0,382.0,12.0
1970,NHL,PHI,PHI,,WD,3,QF,78,28,33,17.0,,73,,,207,225,Philadelphia Flyers,1060.0,8.0,42.0,272.0,8.0,50.0,305.0,3.0
1955,NHL,TOR,TOR,,,4,SF,70,24,33,13.0,,61,,,153,181,Toronto Maple Leafs,1051.0,,,,,,,
1995,NHL,NJD,NJD,EC,AT,6,,82,37,33,12.0,,86,,,215,202,New Jersey Devils,1486.0,4.0,55.0,368.0,9.0,49.0,319.0,11.0
1998,NHL,COL,COL,WC,NW,1,CF,82,44,28,10.0,,98,,,239,205,Colorado Avalanche,1619.0,14.0,71.0,375.0,12.0,63.0,386.0,7.0
1955,NHL,DET,DET,,,2,F,70,30,24,16.0,,76,,,183,148,Detroit Red Wings,788.0,,,,,,,
1928,NHL,NYR,NYR,,AM,2,F,44,21,13,10.0,,52,,,72,65,New York Rangers,382.0,,,,,,,
1982,NHL,CHI,CHI,CC,NO,1,CF,80,47,23,10.0,,104,,,338,268,Chicago Black Hawks,1185.0,10.0,86.0,316.0,6.0,71.0,304.0,4.0
1923,PCHA,VC1,VIC,,,3,,30,11,18,1.0,,23,,,78,103,Victoria Cougars,,,,,,,,
1999,NHL,BOS,BOS,EC,NE,5,,82,24,33,19.0,6.0,73,,,210,248,Boston Bruins,865.0,6.0,51.0,355.0,4.0,55.0,268.0,0.0
1993,NHL,PHI,PHI,EC,AT,6,,84,35,39,10.0,,80,,,294,314,Philadelphia Flyers,1697.0,32.0,80.0,385.0,14.0,80.0,414.0,9.0
